Category,App number,Native library usage number,Native library usage rate rate,Platform usage number,Platform usage rate rate,Mono usage number,Mono usage rate in all platform,React usage number,React usage rate in all platform,Flutter usage number,Flutter usage rate in all platform,Cordova usage number,Cordova usage rate in all platform,Capacitor usage number,Capacitor usage rate in all platform
Total,10624,5951,0.5601468373493976,1070,0.10071536144578314,136,0.12710280373831775,451,0.42149532710280374,81,0.07570093457943926,409,0.3822429906542056,5,0.004672897196261682
art_and_design,357,169,0.4733893557422969,15,0.046583850931677016,0,0,2,0.16666666666666666,6,0.4,7,0.5,0,0
auto_and_vehicles,368,267,0.7255434782608695,26,0.07103825136612021,7,0.2692307692307692,6,0.24,2,0.1111111111111111,11,0.55,0,0
beauty,385,191,0.4961038961038961,23,0.06318681318681318,3,0.13043478260869565,6,0.3,0,0,14,0.6363636363636364,0,0
books_and_reference,247,94,0.3805668016194332,10,0.04219409282700422,0,0,3,0.375,1,0.2,6,0.6,0,0
business,357,216,0.6067415730337079,63,0.17696629213483145,9,0.1875,29,0.4603174603174603,4,0.15384615384615385,23,0.3770491803278688,0,0
comics,356,296,0.8314606741573034,7,0.02040816326530612,0,0,2,0.5,3,0.5,2,0.2857142857142857,0,0
communication,308,223,0.724025974025974,20,0.06557377049180328,1,0.16666666666666666,11,0.55,1,0.1,7,0.3684210526315789,0,0
dating,263,131,0.5019157088122606,23,0.09126984126984126,0,0,7,0.3181818181818182,0,0,16,0.6956521739130435,0,0
education,356,167,0.4704225352112676,45,0.1282051282051282,5,0.11627906976744186,18,0.4090909090909091,2,0.07142857142857142,20,0.4444444444444444,1,0.03125
entertainment,214,149,0.6962616822429907,17,0.0845771144278607,1,0.2,9,0.5294117647058824,3,0.23076923076923078,4,1.0,0,0
events,374,172,0.45989304812834225,100,0.273972602739726,16,0.16494845360824742,31,0.3229166666666667,2,0.02531645569620253,51,0.51,0,0
family,11,11,1.0,2,0.4,0,0,2,1.0,0,0,0,0,0,0
finance,97,62,0.6391752577319587,23,0.23711340206185566,3,0.13043478260869565,7,0.3181818181818182,0,0,13,0.6190476190476191,0,0
food_and_drink,360,191,0.5335195530726257,74,0.20670391061452514,10,0.15384615384615385,34,0.4594594594594595,1,0.125,29,0.3972602739726027,2,0.03389830508474576
health_and_fitness,343,186,0.5422740524781341,35,0.10355029585798817,4,0.11764705882352941,19,0.5428571428571428,4,0.13793103448275862,8,0.24242424242424243,0,0
house_and_home,370,195,0.527027027027027,58,0.15760869565217392,4,0.0975609756097561,28,0.5,6,0.10526315789473684,20,0.3448275862068966,1,0.027777777777777776
libraries_and_demo,269,80,0.3007518796992481,15,0.058365758754863814,1,0.14285714285714285,3,0.25,1,0.16666666666666666,10,0.6666666666666666,0,0
lifestyle,343,175,0.5102040816326531,50,0.15337423312883436,4,0.08695652173913043,25,0.5,2,0.05263157894736842,19,0.3877551020408163,0,0
maps_and_navigation,364,200,0.5494505494505495,33,0.09116022099447514,5,0.23809523809523808,13,0.3939393939393939,5,0.15151515151515152,11,0.36666666666666664,0,0
medical,360,179,0.4986072423398329,68,0.1894150417827298,23,0.3382352941176471,16,0.24615384615384617,6,0.11764705882352941,24,0.3582089552238806,0,0
music_and_audio,358,222,0.6218487394957983,16,0.0463768115942029,0,0,10,0.6666666666666666,0,0,6,0.375,0,0
news_and_magazines,366,207,0.5655737704918032,39,0.11538461538461539,4,0.17391304347826086,21,0.5526315789473685,6,0.15384615384615385,8,0.27586206896551724,0,0
parenting,373,188,0.5122615803814714,48,0.1307901907356948,6,0.14634146341463414,18,0.375,3,0.08108108108108109,21,0.44680851063829785,0,0
personalization,359,149,0.4173669467787115,0,0,0,0,0,0,0,0,0,0,0,0
photography,357,283,0.7927170868347339,12,0.035398230088495575,2,0.5,7,0.6363636363636364,2,0.2222222222222222,1,0.08333333333333333,0,0
productivity,366,193,0.5287671232876713,23,0.06686046511627906,3,0.15789473684210525,11,0.4782608695652174,2,0.11764705882352941,7,0.3181818181818182,0,0
shopping,366,244,0.6684931506849315,79,0.21584699453551912,6,0.07692307692307693,48,0.6486486486486487,10,0.13333333333333333,18,0.22784810126582278,0,0
social,250,185,0.7429718875502008,28,0.11382113821138211,1,0.3333333333333333,18,0.6428571428571429,3,0.1111111111111111,6,0.25,0,0
sports,294,139,0.47278911564625853,31,0.10915492957746478,3,0.16666666666666666,15,0.5,3,0.0967741935483871,10,0.3448275862068966,0,0
tools,348,196,0.5632183908045977,8,0.024096385542168676,3,0.5,2,0.25,1,1.0,2,0.5,0,0
travel_and_local,354,219,0.6186440677966102,36,0.1016949152542373,6,0.1875,18,0.5,0,0,12,0.36363636363636365,1,0.25
video_players,359,252,0.7019498607242339,11,0.03235294117647059,3,0.375,4,0.4,2,0.18181818181818182,2,0.2222222222222222,0,0
weather,372,120,0.3252032520325203,32,0.08695652173913043,3,0.21428571428571427,8,0.26666666666666666,0,0,21,0.65625,0,0
