Category,App number,Native library usage number,Native library usage rate rate,Platform usage number,Platform usage rate rate,Mono usage number,Mono usage rate in all platform,React usage number,React usage rate in all platform,Flutter usage number,Flutter usage rate in all platform,Cordova usage number,Cordova usage rate in all platform,Capacitor usage number,Capacitor usage rate in all platform,Androidx usage number,Androidx usage rate
Total,10624,5951,0.5601468373493976,1070,0.10071536144578314,136,0.12710280373831775,451,0.42149532710280374,81,0.07570093457943926,409,0.3822429906542056,5,0.004672897196261682,7003,0.659167921686747
art_and_design,357,169,0.4733893557422969,15,0.042735042735042736,0,0,2,0.4,6,0.4,7,0.5,0,0,193,0.5451977401129944
auto_and_vehicles,368,267,0.7255434782608695,26,0.07282913165266107,7,0.3333333333333333,6,0.2608695652173913,2,0.10526315789473684,11,0.4230769230769231,0,0,217,0.5896739130434783
beauty,385,191,0.4973958333333333,23,0.06336088154269973,3,0.13636363636363635,6,0.3157894736842105,0,0,14,0.6086956521739131,0,0,207,0.5376623376623376
books_and_reference,247,94,0.3836734693877551,10,0.041666666666666664,0,0,3,0.5,1,0.125,6,0.6,0,0,170,0.6882591093117408
business,357,216,0.6067415730337079,63,0.17897727272727273,9,0.225,29,0.4603174603174603,4,0.06557377049180328,23,0.38333333333333336,0,0,256,0.7170868347338936
comics,356,296,0.8314606741573034,7,0.020172910662824207,0,0,2,0.3333333333333333,3,0.42857142857142855,2,0.4,0,0,194,0.5449438202247191
communication,308,223,0.7263843648208469,20,0.0706713780918728,1,0.3333333333333333,11,0.55,1,0.16666666666666666,7,0.3684210526315789,0,0,231,0.75
dating,263,131,0.49809885931558934,23,0.08745247148288973,0,0,7,0.3181818181818182,0,0,16,0.6956521739130435,0,0,181,0.688212927756654
education,356,167,0.4704225352112676,45,0.1271186440677966,5,0.16129032258064516,18,0.4090909090909091,2,0.04878048780487805,20,0.4444444444444444,1,0.0625,217,0.6095505617977528
entertainment,214,149,0.6962616822429907,17,0.08629441624365482,1,0.14285714285714285,9,0.5294117647058824,3,0.25,4,0.26666666666666666,0,0,161,0.7523364485981309
events,374,172,0.46236559139784944,100,0.26881720430107525,16,0.17204301075268819,31,0.3263157894736842,2,0.02564102564102564,51,0.51,0,0,200,0.5347593582887701
family,11,11,1.0,2,0.2222222222222222,0,0,2,1.0,0,0,0,0,0,0,6,0.6666666666666666
finance,97,62,0.6391752577319587,23,0.25,3,0.1875,7,0.3181818181818182,0,0,13,0.5652173913043478,0,0,73,0.7525773195876289
food_and_drink,360,191,0.5305555555555556,74,0.20670391061452514,10,0.14084507042253522,34,0.4657534246575342,1,0.022727272727272728,29,0.3918918918918919,2,0.0625,239,0.6638888888888889
health_and_fitness,343,186,0.5422740524781341,35,0.10294117647058823,4,0.15384615384615385,19,0.5588235294117647,4,0.11428571428571428,8,0.26666666666666666,0,0,236,0.6880466472303207
house_and_home,370,195,0.527027027027027,58,0.15675675675675677,4,0.06896551724137931,28,0.5,6,0.11538461538461539,20,0.3508771929824561,1,0.05555555555555555,230,0.6233062330623306
libraries_and_demo,269,80,0.29739776951672864,15,0.05905511811023622,1,0.08333333333333333,3,0.2,1,0.3333333333333333,10,0.7142857142857143,0,0,100,0.37174721189591076
lifestyle,343,175,0.5102040816326531,50,0.15151515151515152,4,0.08888888888888889,25,0.5,2,0.046511627906976744,19,0.3877551020408163,0,0,236,0.6880466472303207
maps_and_navigation,364,200,0.5494505494505495,33,0.09192200557103064,5,0.16129032258064516,13,0.3939393939393939,5,0.15151515151515152,11,0.34375,0,0,276,0.7582417582417582
medical,360,179,0.4986072423398329,68,0.18888888888888888,23,0.35384615384615387,16,0.32,6,0.09836065573770492,24,0.35294117647058826,0,0,200,0.5586592178770949
music_and_audio,358,222,0.6218487394957983,16,0.04833836858006042,0,0,10,0.625,0,0,6,0.42857142857142855,0,0,232,0.651685393258427
news_and_magazines,366,207,0.5686813186813187,39,0.10655737704918032,4,0.11428571428571428,21,0.5675675675675675,6,0.15789473684210525,8,0.20512820512820512,0,0,283,0.7753424657534247
parenting,373,188,0.5040214477211796,48,0.13114754098360656,6,0.125,18,0.391304347826087,3,0.07692307692307693,21,0.5,0,0,204,0.5483870967741935
personalization,359,149,0.4173669467787115,0,0,0,0,0,0,0,0,0,0,0,0,234,0.6518105849582173
photography,357,283,0.7927170868347339,12,0.04743083003952569,2,0.25,7,0.5833333333333334,2,0.18181818181818182,1,0.1,0,0,238,0.6666666666666666
productivity,366,193,0.5273224043715847,23,0.06460674157303371,3,0.14285714285714285,11,0.55,2,0.18181818181818182,7,0.30434782608695654,0,0,247,0.674863387978142
shopping,366,244,0.6703296703296703,79,0.2188365650969529,6,0.07792207792207792,48,0.6153846153846154,10,0.15625,18,0.22784810126582278,0,0,314,0.8579234972677595
social,250,185,0.74,28,0.11864406779661017,1,0.14285714285714285,18,0.6923076923076923,3,0.1111111111111111,6,0.21428571428571427,0,0,194,0.776
sports,294,139,0.47440273037542663,31,0.11071428571428571,3,0.1875,15,0.4838709677419355,3,0.17647058823529413,10,0.3448275862068966,0,0,225,0.7653061224489796
tools,348,196,0.5681159420289855,8,0.025236593059936908,3,0.5,2,0.25,1,0.2,2,1.0,0,0,236,0.6781609195402298
travel_and_local,354,219,0.6221590909090909,36,0.10619469026548672,6,0.2,18,0.5294117647058824,0,0,12,0.3333333333333333,1,0.041666666666666664,272,0.768361581920904
video_players,359,252,0.7039106145251397,11,0.03133903133903134,3,0.2727272727272727,4,0.4,2,0.2222222222222222,2,0.3333333333333333,0,0,243,0.6768802228412256
weather,372,120,0.32608695652173914,32,0.08672086720867209,3,0.6,8,0.26666666666666666,0,0,21,0.65625,0,0,258,0.6972972972972973
