Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.zazzle.apk,True,com.zazzle/smali/androidx/renderscript/RenderScript.smali,React,True
thoptv.no.ads.apk,False,N/A,N/A,True
appsnewlook.RemoveObject.apk,True,appsnewlook.RemoveObject/smali/com/advasoft/touchretouch/TouchRetouchLib.smali,N/A,True
com.liverymod.bussid.truckcanteridd.apk,True,com.liverymod.bussid.truckcanteridd/smali/com/liverymod/bussid/truckcanteridd/PTPlayer.smali,N/A,False
com.bytestorm.artflow.apk,True,com.bytestorm.artflow/smali/com/bytestorm/artflow/gallery/GalleryActivity.smali,N/A,True
com.modsbussid.modtruckcanter.apk,True,com.modsbussid.modtruckcanter/smali/com/modsbussid/modtruckcanter/PTPlayer.smali,N/A,False
com.indiafonts.android.indiafontsapp.apk,True,com.indiafonts.android.indiafontsapp/smali/cn/Ragnarok/ReliefFilter.smali,N/A,False
com.lionelmessihdwallpapers.lionelmessi.apk,False,N/A,N/A,True
com.modliverynew.modbussidl300.apk,True,com.modliverynew.modbussidl300/smali/com/modliverynew/modbussidl300/PTPlayer.smali,N/A,False
com.duwa.themax.apk,True,com.duwa.themax/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.adobe.spark.post.apk,True,com.adobe.spark.post/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.invitationcard.invitation.apk,True,com.invitationcard.invitation/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.cross.stitch.color.by.number.apk,True,com.cross.stitch.color.by.number/smali/com/eyewind/quant/Quantizer.smali,N/A,True
logo.animation.apk,True,logo.animation/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.hmdsajib0.Twitter.apk,False,N/A,N/A,False
com.livery.bussidjbhd.apk,True,com.livery.bussidjbhd/smali/com/livery/bussidjbhd/PTPlayer.smali,N/A,False
com.madcat.easyposer.apk,True,com.madcat.easyposer/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.vblast.flipaclip.apk,True,com.vblast.flipaclip/smali/com/vblast/fclib/Config.smali,N/A,True
com.infokombinat.coloringanime.apk,False,N/A,N/A,True
com.drawstadioart.animalsdrawingtutorials.apk,False,N/A,N/A,True
com.barilab.katalksketch.googlemarket.apk,True,com.barilab.katalksketch.googlemarket/smali/com/google/android/exoplayer2/j/g.smali,N/A,False
com.postermaker.tips.apk,False,N/A,N/A,False
com.mynamecubeapps.ball.apk,False,com.mynamecubeapps.ball/smali/com/threed/jpct/BufferUtilFactory.smali,N/A,True
com.burabura.FlyingLogo.apk,True,com.burabura.FlyingLogo/smali/com/everyplay/Everyplay/b.smali,N/A,False
com.sweetsugar.pencileffectfree.apk,False,com.sweetsugar.pencileffectfree/smali/com/sweetsugar/name_art_dynamic_feature/gles/GPUImageNativeLibrary.smali,N/A,True
freefirenickname.namecreator.namemaker.apk,False,N/A,N/A,True
com.modpremium.bussidsr2xhdtronton.apk,True,com.modpremium.bussidsr2xhdtronton/smali/com/modpremium/bussidsr2xhdtronton/PTPlayer.smali,N/A,False
com.workSPACE.Fraksl.apk,True,com.workSPACE.Fraksl/smali/com/yusufolokoba/natcam/rendering/RenderDispatch.smali,N/A,False
com.sweefitstudios.drawchristmas.apk,False,N/A,N/A,False
com.devloperpro.hijabmoslumahwallpaper.apk,False,N/A,N/A,True
com.iphone.xs.launcher.prime.ios12.theme.apk,True,com.iphone.xs.launcher.prime.ios12.theme/smali/com/enrique/stackblur/NativeBlurProcess.smali,N/A,False
com.septmod.modbussid.apk,True,com.septmod.modbussid/smali/com/septmod/modbussid/PTPlayer.smali,N/A,False
com.agascreative.elposer3d.apk,True,com.agascreative.elposer3d/smali/com/epicgames/ue4/GameActivity.smali,N/A,False
id.akusantri.artdrawingideas.apk,False,N/A,N/A,True
example.samplestickerapp.apk,True,example.samplestickerapp/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.infokombinat.origami.apk,True,com.infokombinat.origami/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.andiholani.designlogogaming.apk,False,N/A,N/A,False
