Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.seat.connectedcar.aa.driveapp.apk,True,com.seat.connectedcar.aa.driveapp/smali/wk.smali,N/A,False
com.appstogo.carmanual.apk,False,N/A,Cordova,False
com.bgs.offroad.driving.hill.driving.tractor.simulator.apk,True,com.bgs.offroad.driving.hill.driving.tractor.simulator/smali/com/google/games/bridge/NativeBridgeActivity.smali,N/A,True
com.napko.RealDash.apk,True,com.napko.RealDash/smali/com/napko/nuts/androidframe/NutsAndroidActivity.smali,N/A,True
com.toucangames.policedog.survival.apk,True,com.toucangames.policedog.survival/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.mega.ramp.monster.truck.racing.games.apk,True,com.mega.ramp.monster.truck.racing.games/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
org.prowl.torquedashboardplugin.apk,False,N/A,N/A,False
com.pg.police.car.simulator.apk,True,com.pg.police.car.simulator/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
com.gs360.counter.terrorist.shooting.games.apk,True,com.gs360.counter.terrorist.shooting.games/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
ph.com.yamahamotor.android.apk,False,N/A,N/A,True
com.modsbussid.garudamas.apk,True,com.modsbussid.garudamas/smali/com/modsbussid/garudamas/PTPlayer.smali,N/A,False
ru.starline.apk,True,ru.starline/smali_classes2/ru/yandex/core/CoreApplication.smali,N/A,True
id.co.dayagroup.alwaysdaya.dam.apk,False,N/A,N/A,False
com.application.vin01.vin01.apk,False,com.application.vin01.vin01/smali/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A,True
com.idutex.alonevehicle.E4.apk,True,com.idutex.alonevehicle.E4/smali/com/tencent/StubShell/TxAppEntry.smali,N/A,False
com.ch.snow.blower.simulator.apk,True,com.ch.snow.blower.simulator/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
com.starmods.antigosip.apk,True,com.starmods.antigosip/smali/com/starmods/antigosip/PTPlayer.smali,N/A,False
com.pk.taxoid.apk,True,com.pk.taxoid/smali/ru/yandex/core/CoreApplication.smali,N/A,True
com.livery.bussid.sepakbola.apk,True,com.livery.bussid.sepakbola/smali_classes2/com/livery/bussid/sepakbola/PTPlayer.smali,N/A,False
de.appomotive.bimmercode.apk,True,de.appomotive.bimmercode/smali/de/appomotive/bimmercode/external/ExternalLib.smali,N/A,True
ru.drom.numbers.apk,True,ru.drom.numbers/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.langit7.welovehonda.apk,True,N/A,N/A,True
com.etaxi.android.driverapp.apk,False,N/A,N/A,True
com.modpremium.modbussidbusdd.apk,True,com.modpremium.modbussidbusdd/smali/com/modpremium/modbussidbusdd/PTPlayer.smali,N/A,False
com.tm.tmcar.apk,True,com.tm.tmcar/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
com.fya.bulldozertransport.constructiontransport.transportgames.apk,True,com.fya.bulldozertransport.constructiontransport.transportgames/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
com.tpms3.apk,True,com.tpms3/smali/com/stub/StubApp.smali,N/A,False
com.aa.extreme.city.gt.car.stunts.apk,True,com.aa.extreme.city.gt.car.stunts/smali/com/google/games/bridge/NativeBridgeActivity.smali,N/A,False
com.las.crazy.traffic.police.car.parking.modern.simulator.apk,True,com.las.crazy.traffic.police.car.parking.modern.simulator/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.rr.citybus.apk,True,com.rr.citybus/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
com.oprex.nopol.apk,False,com.oprex.nopol/smali/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.fixdapp.two.apk,False,N/A,N/A,True
com.livery.mod.bussid.truckindo.apk,True,com.livery.mod.bussid.truckindo/smali_classes2/com/livery/mod/bussid/truckindo/PTPlayer.smali,N/A,False
de.hammtech.bestcarsounds.apk,False,N/A,N/A,True
com.ProcessGames.GranTurismoDriftSimulator.apk,True,com.ProcessGames.GranTurismoDriftSimulator/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
com.soft373.taptaxi.apk,True,com.soft373.taptaxi/smali_classes2/org/apache/log4j/nt/NTEventLogAppender.smali,N/A,True
com.boslivery.bussidbimasenasdd.apk,True,com.boslivery.bussidbimasenasdd/smali/com/boslivery/bussidbimasenasdd/PTPlayer.smali,N/A,False
com.devduo.carlicense.apk,True,com.devduo.carlicense/smali/b/d/a/i.smali,N/A,True
com.banyac.midrive.app.na.apk,True,com.banyac.midrive.app.na/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,True
