Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.makeup.photo.grid.salon.apk,True,com.makeup.photo.grid.salon/smali/com/xinlan/imageeditlibrary/editimage/fliter/PhotoProcessing.smali,N/A,False
beauty.panchdev.analog.magic.apk,True,beauty.panchdev.analog.magic/smali/com/hito/face/stretch/JNILibCurve.smali,N/A,True
com.hakik.photo.free.blender.pro.apk,True,com.hakik.photo.free.blender.pro/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.andromo.dev597108.app870921.apk,False,N/A,N/A,False
smalltattoos.buzzapps.mobi.apk,False,N/A,N/A,False
com.beiersdorf.skinly.apk,True,com.beiersdorf.skinly/smali_classes2/com/wonderkiln/camerakit/BitmapOperator.smali,N/A,True
net.braincake.pixl.pixl.apk,True,net.braincake.pixl.pixl/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.girlymthemes.me.apk,True,com.girlymthemes.me/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A,True
com.photofilter.filterformusically.apk,True,com.photofilter.filterformusically/smali_classes2/wseemann/media/FFmpegMediaMetadataRetriever.smali,N/A,True
com.agendapro.johnnavasstudio1400.apk,False,N/A,Cordova,False
com.tips.hairfalltips.apk,False,N/A,N/A,False
com.stickers.camera.photo.selfie.filter.editor.apk,False,N/A,N/A,True
com.schoolhairstyles.hairstylesgirls.hairstylesstepbystep.apk,True,com.schoolhairstyles.hairstylesgirls.hairstylesstepbystep/smali/com/facebook/soloader/SoLoader.smali,N/A,True
belleza.maquillaje.profesional.apk,False,N/A,N/A,False
com.Front.Beauty.Makeup.Camera.App.apk,True,com.Front.Beauty.Makeup.Camera.App/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
com.pictres.shbab.apk,True,com.pictres.shbab/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
com.vanford.FaceBlemishesClean.apk,True,com.vanford.FaceBlemishesClean/smali/com/adobe/creativesdk/aviary/internal/headless/utils/CameraUtils.smali,N/A,False
candy.sweet.camera.forselfie.apk,True,candy.sweet.camera.forselfie/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.BlondeHiso.MagicCameraHD.apk,True,com.BlondeHiso.MagicCameraHD/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.rkm95562.rkm95562.apk,False,N/A,N/A,True
com.mokalamat.sjl.postema.apk,False,N/A,N/A,False
com.NssaihJamalki.DaimFree.apk,False,N/A,N/A,False
com.tmon.gelato.android.apk,True,N/A,N/A,True
trends.art.photo.editor.collage_and_sticker.apk,True,trends.art.photo.editor.collage_and_sticker/smali/android/support/v8/renderscript/RenderScript.smali,N/A,True
com.mob1st.ikesaki.apk,True,com.mob1st.ikesaki/smali_classes2/com/vuforia/VuforiaUnityPlayer/VuforiaInitializer.smali,N/A,False
com.beautycam.selfiecamera.videosticker.apk,True,com.beautycam.selfiecamera.videosticker/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,False
com.bonibon.LongNails.apk,False,N/A,N/A,True
com.superdev.photoeditor.manhairstyle.apk,True,com.superdev.photoeditor.manhairstyle/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
bingobash.inc.selfie.photoeditor.makeupcamera.beautycamera.apk,True,bingobash.inc.selfie.photoeditor.makeupcamera.beautycamera/smali_classes25/bingobash/inc/selfie/photoeditor/makeupcamera/beautycamera/AppMain.smali,N/A,False
com.face.perfect.mrt.perfect.apk,True,com.face.perfect.mrt.perfect/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A,False
com.Tatto.Maker.Editor.ForMen.ForWomen.gophotoablelogix.free.apk,False,N/A,N/A,True
cas.sweet.snap.selfies.camera.apk,False,N/A,N/A,False
truefunapps.hairstyles.apk,False,N/A,N/A,True
unas.acrilicas.apk,True,unas.acrilicas/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A,True
com.sorbnatinsta.sorbnatinsta.apk,False,N/A,N/A,True
com.appinnovationstar.stylishfashionsunglasses.apk,True,com.appinnovationstar.stylishfashionsunglasses/smali/jp/newlib/gpuimage/GPUImageNativeLibrary.smali,N/A,False
com.NJPrinable.SelfieSnapCameraHDR.apk,True,com.NJPrinable.SelfieSnapCameraHDR/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.code3e.wsapp.apk,False,N/A,N/A,False
com.bi7ayo.change.voic22.apk,False,N/A,N/A,False
com.merry.christmas.snowfall.snowman.theme.apk,True,com.merry.christmas.snowfall.snowman.theme/smali/com/cm/a/k.smali,N/A,False
com.app.allmarketbd1.apk,False,N/A,N/A,False
com.andromo.dev657817.app762016.apk,False,N/A,N/A,False
photo.smile.hair.eyes.apk,True,photo.smile.hair.eyes/smali/com/badlogic/gdx/utils/e0.smali,N/A,True
com.trove.apk,True,com.trove/smali_classes2/com/tzutalin/dlib/FaceDet.smali,N/A,True
com.Nail.Art.Games.For.Girls.apk,True,com.Nail.Art.Games.For.Girls/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
best.photo.app.manhairstyles2018.apk,True,best.photo.app.manhairstyles2018/smali/com/aviary/android/feather/headless/media/ExifInterfaceWrapper.smali,N/A,False
com.manhair.editor.apk,True,com.manhair.editor/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,False
com.cheating.khiana.sdem.apk,False,N/A,N/A,True
com.africanwomenhairstyle.lonodev.apk,False,com.africanwomenhairstyle.lonodev/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.dondoo.za.urembo.apk,True,com.dondoo.za.urembo/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.bi7ayo.reco.fotoo.apk,False,N/A,N/A,False
trends.beauty.split.camera.collage.maker.apk,True,trends.beauty.split.camera.collage.maker/smali/android/support/v8/renderscript/RenderScript.smali,N/A,True
droid.youmakeupcam.youcam.apk,True,droid.youmakeupcam.youcam/smali_classes2/droid/youmakeupcam/youcam/StaterActivity.smali,N/A,False
cn.fimedia.storieapp.apk,True,cn.fimedia.storieapp/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,True
com.Simpatico.Light.Crown.Camera.Effect.apk,False,N/A,N/A,True
com.Voodamdee.Photos.Camera.B912SelfieCamera.apk,True,com.Voodamdee.Photos.Camera.B912SelfieCamera/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.shopping.fever.apk,True,com.shopping.fever/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
neon.light.photo.editor.apk,False,N/A,N/A,False
com.dexqon.soch.apk,False,N/A,N/A,False
com.rkm115562.rkm115562.apk,False,N/A,N/A,True
emoji.background.photochanger.facemoji.apk,False,N/A,N/A,True
com.app.dimple.face.editor.apk,True,com.app.dimple.face.editor/smali/org/opencv/osgi/OpenCVNativeLoader.smali,N/A,True
com.secretos.belleza.casera.curso.maquillaje.apk,False,N/A,N/A,True
com.beautyperfect.hanbokkoreanweddingdress.apk,False,N/A,N/A,False
com.shiseido.bareminerals.apk,True,com.shiseido.bareminerals/smali/com/facebook/soloader/SoLoader.smali,React,True
com.Wedding.Dress.Maker.Game.apk,True,com.Wedding.Dress.Maker.Game/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
com.beautycamera.candy.selfies.apk,True,com.beautycamera.candy.selfies/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
