Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.vodacommozambique.apk,True,com.vodacommozambique/smali/com/facebook/soloader/SoLoader.smali,React,True
com.microsoft.msapps.apk,True,com.microsoft.msapps/smali/com/facebook/soloader/SoLoader.smali,"Cordova, React",True
com.camscanner.pdfscanner.apk,True,com.camscanner.pdfscanner/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,False
com.uniview.app.smb.phone.en.ezview.apk,True,com.uniview.app.smb.phone.en.ezview/smali/com/uniview/app/smb/phone/en/ezview/MyWrapperProxyApplication.smali,N/A,False
com.document.manager.filedocumentmanager.apk,True,com.document.manager.filedocumentmanager/smali_classes2/com/viewer/office/fc/pdf/PDFLib.smali,N/A,True
com.gsrtc.mobileweb.apk,False,N/A,N/A,True
com.magzter.jumpstart.apk,True,com.magzter.jumpstart/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A,True
esimjo.com.app.apk,False,N/A,N/A,True
com.box.android.apk,True,com.box.android/smali_classes2/com/pspdfkit/framework/jni/PSPDFKitNative.smali,N/A,True
com.bzzzapp.apk,False,N/A,N/A,True
com.facebook.pages.app.apk,True,com.facebook.pages.app/smali/X/0KZ.smali,React,True
com.coolappz.CuckooTechApp.apk,False,N/A,N/A,True
com.zmobileapps.logomaker.apk,True,com.zmobileapps.logomaker/smali_classes2/com/zmobileapps/logomaker/main/JniUtils.smali,N/A,True
com.money91.apk,True,com.money91/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A,True
com.cisco.webex.meetings.apk,True,com.cisco.webex.meetings/smali_classes2/fkc.smali,N/A,True
gp.link.apk,True,gp.link/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.google.android.apps.dynamite.apk,False,N/A,N/A,True
com.imdb.pro.mobile.android.apk,False,com.imdb.pro.mobile.android/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,Cordova,False
com.ddmoney.ddmoney.apk,False,N/A,N/A,False
com.visiting.businesscardmaker.apk,False,N/A,N/A,True
au.net.imo.android.apk,False,N/A,N/A,False
com.claroecuador.miclaro.apk,True,com.claroecuador.miclaro/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
com.ideacellular.smartret.apk,True,com.ideacellular.smartret/smali_classes2/com/worklight/wlclient/fips/MicroVPNLib.smali,N/A,False
com.evolute.rdservice.apk,True,com.evolute.rdservice/smali/com/rootbeer/RootBeerNative.smali,N/A,True
com.phonegap.tru007.apk,False,N/A,Cordova,False
com.acpl.registersdk.apk,True,com.acpl.registersdk/smali/com/google/android/gms/internal/vision/zzm.smali,N/A,True
protection.csafe.app.csafe.apk,True,protection.csafe.app.csafe/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.amazon.sellermobile.android.apk,True,com.amazon.sellermobile.android/smali/com/amazon/sellermobile/android/flow/FlowCameraEngine.smali,Cordova,True
com.asus.ia.asusapp.apk,False,N/A,N/A,True
com.nithra.resume.apk,False,N/A,N/A,True
tr.gov.turkiye.edevlet.kapisi.apk,True,tr.gov.turkiye.edevlet.kapisi/smali/com/c/a/e.smali,N/A,True
com.documentfactory.resume.apk,False,N/A,N/A,True
com.oneq.askvert.apk,True,com.oneq.askvert/smali/android/support/v8/renderscript/RenderScript.smali,N/A,True
com.careerjet.android.apk,True,com.careerjet.android/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,React,True
com.mokapos.android.apk,True,com.mokapos.android/smali/android/zqcom/zqcom.smali,N/A,True
com.oriflame.oriflame.apk,True,com.oriflame.oriflame/smali_classes2/com/google/ar/core/Session.smali,N/A,True
com.gears42.surelock.apk,True,com.gears42.surelock/smali_classes2/org/apache/log4j/nt/NTEventLogAppender.smali,N/A,True
com.imcbusiness.app.apk,False,N/A,N/A,True
com.globalwave.globalta.apk,True,com.globalwave.globalta/smali/pl/droidsonroids/gif/LibraryLoader.smali,Mono,True
com.appswiz.filmhubhhjdc.apk,False,N/A,N/A,False
com.jora.android.apk,False,N/A,N/A,True
com.salesforce.chatter.apk,True,com.salesforce.chatter/smali_classes2/d/m/h/g/b/k.smali,"Cordova, React",True
com.xiniaoyun.guide.apk,True,com.xiniaoyun.guide/smali_classes2/org/android/spdy/SoInstallMgrSdk.smali,Flutter,True
com.Slack.apk,True,com.Slack/smali_classes2/org/webrtc/PeerConnection.smali,N/A,True
com.tapcrowd.fbsingapore2017.apk,True,com.tapcrowd.fbsingapore2017/smali_classes2/io/realm/internal/RealmCore.smali,N/A,False
in.okcredit.merchant.apk,False,in.okcredit.merchant/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.iplum.android.apk,True,com.iplum.android/smali/com/iplum/android/iplumcore/sip/service/SipServiceHelper.smali,Cordova,True
business.letterheadmaker.apk,False,N/A,N/A,True
com.nexsysone.newroz.qms.apk,True,com.nexsysone.newroz.qms/smali_classes2/org/webrtc/Metrics.smali,N/A,True
