Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.mersal.toptop.apk,True,com.mersal.toptop/smali/org/linphone/core/LinphoneCoreFactoryImpl.smali,N/A,False
com.allinone.callerid.apk,True,com.allinone.callerid/smali_classes2/pl/droidsonroids/gif/h.smali,N/A,True
com.opera.mini.native.apk,True,com.opera.mini.native/smali/eti.smali,N/A,True
org.thoughtcrime.securesms.apk,True,org.thoughtcrime.securesms/smali_classes2/org/thoughtcrime/securesms/util/FileUtils.smali,N/A,True
com.onoffapp.app.apk,True,com.onoffapp.app/smali_classes2/org/linphone/core/FactoryImpl.smali,N/A,True
quick.browser.secure.apk,False,N/A,N/A,False
com.gruveo.gruveo_android.apk,True,com.gruveo.gruveo_android/smali/org/webrtc/NativeLibrary$DefaultLoader.smali,N/A,True
de.eplus.mappecc.client.android.alditalk.apk,False,N/A,N/A,True
com.paphus.cindy.apk,False,N/A,N/A,False
org.xbrowser.prosuperfast.apk,False,N/A,N/A,True
mm.cws.telenor.app.apk,True,mm.cws.telenor.app/smali/com/cloudflare/cproxy/CProxyJNI.smali,N/A,True
ru.yandex.mail.apk,False,ru.yandex.mail/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.tempmail.apk,False,N/A,N/A,True
com.invideoapp.InVideo.apk,True,com.invideoapp.InVideo/smali/org/webrtc/NativeLibrary$DefaultLoader.smali,N/A,False
com.stickersgraciosos.stickersgraciososconfrases.apk,True,com.stickersgraciosos.stickersgraciososconfrases/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A,True
com.sec.android.app.sbrowser.beta.apk,True,com.sec.android.app.sbrowser.beta/smali_classes2/org/chromium/base/library_loader/Linker.smali,N/A,True
com.playstation.mobilemessenger.apk,True,com.playstation.mobilemessenger/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,True
com.rsa.securidapp.apk,True,com.rsa.securidapp/smali/com/rsa/crypto/ncm/NativeModuleLoader.smali,N/A,True
com.kkite.mpc.hd.apk,False,com.kkite.mpc.hd/smali/com/google/android/exoplayer2/h/m.smali,N/A,True
com.fongo.dellvoice.apk,True,com.fongo.dellvoice/smali_classes2/com/tapjoy/Tapjoy.smali,N/A,True
it.nikodroid.offline.apk,False,N/A,N/A,False
com.newellmediallc.live.coco.apk,True,com.newellmediallc.live.coco/smali/com/stub/StubApp.smali,N/A,False
