Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
new.fack.call.apk,True,N/A,N/A,False
com.wonder.dating.apk,True,com.wonder.dating/smali/androidx/renderscript/RenderScript.smali,N/A,True
com.virgoplay.tchat.weezchat.apk,True,N/A,N/A,True
com.cupidmedia.wrapper.muslima.apk,False,N/A,N/A,True
com.tororo.ji4gvoice.jio4gvoiceadive.apk,True,com.tororo.ji4gvoice.jio4gvoiceadive/smali_classes2/com/tororo/ji4gvoice/jio4gvoiceadive/PTPlayer.smali,N/A,False
com.chatnimedia.chatni.apk,True,com.chatnimedia.chatni/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React,False
my.love.questoaskgirlsoftlaps.apk,False,N/A,N/A,True
com.jaumo.casual.apk,True,com.jaumo.casual/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.league.theleague.apk,True,com.league.theleague/smali_classes2/com/getkeepsafe/relinker/SystemLibraryLoader.smali,N/A,True
com.fake.video.chat.apk,False,N/A,N/A,True
lozza.mohza.kbaas.fawzii.apk,False,N/A,N/A,False
com.cupidmedia.wrapper.latinamericancupid.apk,False,N/A,N/A,False
com.setelia.boys.apk,True,com.setelia.boys/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.mutualapp.apk,True,com.mutualapp/smali/androidx/renderscript/RenderScript.smali,N/A,True
com.bbwdatingapp.bustr.apk,True,com.bbwdatingapp.bustr/smali_classes2/net/qiujuer/genius/blur/StackNative.smali,N/A,True
com.smartapp.zwaj_syria.apk,False,com.smartapp.zwaj_syria/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A,True
kr.jungrammer.candytalk.apk,True,kr.jungrammer.candytalk/smali/com/a/a/e.smali,N/A,True
com.wamba.bbs.apk,False,com.wamba.bbs/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A,False
com.spinmoneyplant.girlsnumber.apk,True,com.spinmoneyplant.girlsnumber/smali/com/spinmoneyplant/girlsnumber/Activity/ads.smali,N/A,True
