Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.anaksma.androidphone.apk,False,N/A,Cordova,False
com.duy.pascal.compiler.apk,False,N/A,N/A,False
com.kbmmobile.kbm.user.ruqyah.mp3.offline.sheikh.mishary.rashid.alafasy.terapiruqyahampuh.ayat.ruqya.apk,False,N/A,N/A,True
com.mathpresso.qanda.apk,True,com.mathpresso.qanda/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A,True
com.yousician.yousician.apk,True,com.yousician.yousician/smali/com/yousician/yousiciannative/CommonActivity.smali,N/A,True
com.naing.englishspeakingformm.apk,True,com.naing.englishspeakingformm/smali/com/a/a/e.smali,N/A,True
com.lg.real.manual.car.driving.simulator.apk,True,com.lg.real.manual.car.driving.simulator/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.Eschool_Syria.apk,True,com.Eschool_Syria/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.schoology.app.apk,True,com.schoology.app/smali_classes2/pl/droidsonroids/gif/i.smali,N/A,True
com.flexcoder.capsmobile.apk,False,N/A,N/A,True
com.ba.fractioncalculator.apk,False,N/A,N/A,True
com.ichi2.anki.apk,True,com.ichi2.anki/smali/io/requery/android/database/sqlite/SQLiteDatabase.smali,N/A,True
com.miga.mypets.apk,True,com.miga.mypets/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
online.eseva.schoolmitr.apk,False,online.eseva.schoolmitr/smali/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A,True
kup.moemoetun.shwegrammaroffline.apk,False,kup.moemoetun.shwegrammaroffline/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.dupulse.www.salatporibujhe.apk,False,N/A,N/A,False
org.geogebra.android.apk,False,N/A,N/A,False
wassimtech.hassibelmou3adallycee.apk,False,N/A,N/A,True
com.blinkslabs.blinkist.android.apk,False,N/A,N/A,True
com.phonegap.Maths_G12_By_Tshepo.apk,False,N/A,N/A,False
com.silvermoonapps.learnkoreanquicklite.apk,False,N/A,N/A,True
appinventor.ai_itiel_maimon.Rubiks_cube.apk,False,N/A,N/A,True
com.unicef.apk,False,N/A,N/A,True
world.easysolution.schoolcalc.apk,False,N/A,N/A,False
com.twowaits.learn.apk,False,N/A,N/A,True
org.geogebra.android.g3d.apk,True,org.geogebra.android.g3d/smali/g/d/e/a/b.smali,N/A,False
com.mosalingua.enfree.apk,False,N/A,Cordova,True
braulio.calle.bluetoothRCcontroller.apk,False,N/A,N/A,True
com.eliaswilliam.TaiChi.apk,False,N/A,N/A,False
dcta.oficinas.conalep.apk,False,N/A,N/A,True
com.evilduck.musiciankit.apk,True,com.evilduck.musiciankit/smali/com/evilduck/musiciankit/metronome/NativeMetronome.smali,N/A,True
org.khanacademy.android.apk,True,org.khanacademy.android/smali/com/facebook/soloader/SoLoader.smali,React,True
com.topscorerstudent.app.apk,True,com.topscorerstudent.app/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,True
hpandro.java.infosec.su.apk,False,N/A,N/A,False
com.miga.mytvshows.apk,True,com.miga.mytvshows/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
