Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
furniture.mods.ran.apk,True,furniture.mods.ran/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A,False
tv.fubo.mobile.apk,True,tv.fubo.mobile/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
tv.accedo.airtel.wynk.apk,True,tv.accedo.airtel.wynk/smali/android/support/v8/renderscript/RenderScript.smali,N/A,True
net.hrins.sharebox.apk,True,net.hrins.sharebox/smali/com/facebook/crypto/e/c.smali,N/A,True
com.scee.psxandroid.apk,True,com.scee.psxandroid/smali/com/facebook/soloader/SoLoader.smali,React,True
com.newandrogo.newanimegonontonanimechannelandtvindonesia.apk,True,com.newandrogo.newanimegonontonanimechannelandtvindonesia/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A,True
vn.vmg.videohot.apk,True,vn.vmg.videohot/smali/vn/vmg/videohot/FlashScreen.smali,N/A,False
com.canal.android.canal.apk,True,com.canal.android.canal/smali_classes2/com/google/vr/ndk/base/DefaultNativeLibraryLoader.smali,N/A,True
com.kayenworks.mcpeaddons.apk,True,com.kayenworks.mcpeaddons/smali_classes2/com/kayenworks/mcpeaddons/Native.smali,N/A,True
modernhouses.minecrafthome.mansionminecraft.apk,True,modernhouses.minecrafthome.mansionminecraft/smali/io/flutter/view/FlutterMain.smali,Flutter,True
com.viusasa.apk,False,com.viusasa/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
bokehoedite.heart.photoeditor.apk,False,N/A,N/A,False
authdigicel.matrixstream.com.digicel.apk,False,authdigicel.matrixstream.com.digicel/smali/com/broov/player/Globals.smali,N/A,False
com.facebook.games.apk,True,com.facebook.games/smali_classes8/io/card/payment/CardScanner.smali,React,True
com.ciberdroix.ghostsandspirits.apk,False,N/A,N/A,True
com.playstation.mobile2ndscreen.apk,True,com.playstation.mobile2ndscreen/smali/com/playstation/companionutil/ConnectManager.smali,N/A,False
com.channel4.ondemand.apk,False,com.channel4.ondemand/smali_classes2/o/ɿɍ.smali,N/A,True
com.bskyb.skygo.apk,True,com.bskyb.skygo/smali_classes2/com/sky/vault/cipher/KeyManager.smali,N/A,True
com.vizer.plus.apk,True,com.vizer.plus/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A,True
paint.by.number.pixel.art.coloring.drawing.puzzle.apk,True,paint.by.number.pixel.art.coloring.drawing.puzzle/smali_classes2/com/ober/ovideo/NVideoEncoder.smali,N/A,True
com.bongo.bioscope.apk,False,N/A,N/A,True
com.bskyb.nowtv.beta.apk,True,com.bskyb.nowtv.beta/smali_classes2/com/sky/vault/cipher/KeyManager.smali,React,True
com.textingstory.textingstory.apk,True,com.textingstory.textingstory/smali/com/facebook/crypto/e/c.smali,N/A,True
com.huya.nimogameassist.apk,True,com.huya.nimogameassist/smali_classes2/io/agora/rtc/internal/RtcEngineImpl.smali,N/A,True
com.jio.jioplay.tv.apk,False,com.jio.jioplay.tv/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A,True
com.roku.remote.apk,True,com.roku.remote/smali_classes2/roku/audio/OpenSLES.smali,N/A,True
com.moonstudio.mapcoc.apk,False,N/A,N/A,True
com.netflix.ninja.apk,True,com.netflix.ninja/smali/com/crittercism/app/CrittercismNDK.smali,N/A,False
com.google.android.apps.youtube.kids.apk,True,com.google.android.apps.youtube.kids/smali/bqn.smali,N/A,True
iflix.play.apk,True,iflix.play/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
com.hibox.movie.play.lite.apk,True,com.hibox.movie.play.lite/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.suatelav2.apk,True,com.suatelav2/smali/org/chromium/base/library_loader/Linker.smali,Cordova,False
com.vlogstar.staryoutube.video.videoeditor.star.apk,True,com.vlogstar.staryoutube.video.videoeditor.star/smali_classes2/org/bytedeco/javacpp/Loader.smali,N/A,True
com.slimfitgames.drawcolor.apk,True,com.slimfitgames.drawcolor/smali/com/badlogic/gdx/utils/af.smali,N/A,False
minecraft.helloneighbor.map.niki.apk,True,minecraft.helloneighbor.map.niki/smali/io/flutter/view/FlutterMain.smali,Flutter,True
com.google.android.youtube.tv.apk,True,com.google.android.youtube.tv/smali/al.smali,N/A,True
com.boredinglabs.videoabg.apk,True,com.boredinglabs.videoabg/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.p.series.apk,True,com.p.series/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.gspl.cashwallet.apk,False,N/A,N/A,True
com.kitty.android.apk,True,com.kitty.android/smali_classes2/im/amomo/leveldb/LevelDB.smali,N/A,True
com.tubitv.apk,False,N/A,N/A,True
com.viu.phone.apk,True,com.viu.phone/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.showmax.app.apk,True,com.showmax.app/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
com.WatchMoviesOnline.apk,False,N/A,N/A,False
com.baviux.voicechanger.apk,True,com.baviux.voicechanger/smali/com/baviux/voicechanger/services/FMODService.smali,N/A,True
eu.hbogo.android.apk,True,eu.hbogo.android/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.cash.rewards.gift.wallet.apk,True,com.cash.rewards.gift.wallet/smali_classes2/com/tapjoy/Tapjoy.smali,N/A,True
com.starmakerinteractive.thevoice.apk,True,com.starmakerinteractive.thevoice/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.pangpangtv.p1004tv.apk,True,com.pangpangtv.p1004tv/smali/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,False
app.isekai.apk,True,app.isekai/smali/jp/co/toshiba/tospeakgx/jp/exts/SynthProxy.smali,N/A,True
