Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.fusionmedia.investing.apk,True,com.fusionmedia.investing/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
com.midasprotocol.wallet.android.apk,True,com.midasprotocol.wallet.android/smali/h/f/a/e.smali,N/A,True
com.tiim.tradinggame.apk,True,com.tiim.tradinggame/smali/com/crashlytics/android/ndk/JniNativeApi.smali,Cordova,True
org.byteball.wallet.apk,False,N/A,Cordova,False
jp.co.morningstar.myvcapp.apk,True,jp.co.morningstar.myvcapp/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.btcgenerator.apk,True,com.btcgenerator/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.myanmarcurrencyexchangerate.apk,True,com.myanmarcurrencyexchangerate/smali/com/facebook/soloader/SoLoader.smali,React,True
com.companyname.Reconversion.apk,True,com.companyname.Reconversion/smali/mono/MonoPackageManager.smali,Mono,False
litecoin.miner.apk,True,litecoin.miner/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.libertex.mobile.apk,False,N/A,Cordova,False
com.enjin.mobile.wallet.apk,True,com.enjin.mobile.wallet/smali/mono/MonoPackageManager.smali,Mono,False
com.exchange.crypthumb.apk,True,com.exchange.crypthumb/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React,False
softax.pekao.powerpay.apk,True,softax.pekao.powerpay/smali/softax/hce/ndk/NativeWrapper.smali,N/A,True
jp.co.rakuten.pay.apk,False,N/A,N/A,True
com.google.android.apps.walletnfcrel.apk,False,N/A,N/A,True
com.breadwallet.apk,True,com.breadwallet/smali/com/breadwallet/core/BRCoreWalletManager.smali,N/A,True
com.raeltos.bitcoinreward.apk,False,N/A,Cordova,False
newton.ca.MoneyDiary.apk,True,newton.ca.MoneyDiary/smali/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A,True
com.dbs.sg.dbsmbanking.apk,True,com.dbs.sg.dbsmbanking/smali_classes5/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.bfs.forexcurrencyexchangerates.apk,False,com.bfs.forexcurrencyexchangerates/smali/net/sourceforge/zbar/Symbol.smali,N/A,False
com.greenaddress.greenbits_android_wallet.apk,True,com.greenaddress.greenbits_android_wallet/smali/org/bitcoin/Secp256k1Context.smali,N/A,True
com.slicewallet.apk,True,com.slicewallet/smali_classes46/com/breadwallet/presenter/activities/util/BRActivity.smali,N/A,False
io.freetrade.android.apk,False,N/A,N/A,True
com.starfinanz.mobile.android.dkbpushtan.apk,True,com.starfinanz.mobile.android.dkbpushtan/smali/jvduvnfw/jfLU2dDs.smali,N/A,False
io.getdelta.android.apk,True,io.getdelta.android/smali/com/facebook/soloader/SoLoader.smali,React,True
com.mint.apk,True,com.mint/smali/com/facebook/soloader/SoLoader.smali,React,True
jp.ne.paypay.android.app.apk,True,jp.ne.paypay.android.app/smali_classes2/visidon/Lib/VerificationAPI.smali,N/A,True
com.offlineappsindia.gst.apk,False,N/A,N/A,True
mx.weex.appwallet.apk,True,mx.weex.appwallet/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.bfs.commoditiespricescommodityfuturesindex.apk,False,com.bfs.commoditiespricescommodityfuturesindex/smali/net/sourceforge/zbar/Symbol.smali,N/A,False
com.finanscepte.alarmkur.apk,False,N/A,N/A,True
com.rupiah.cepat.apk,True,com.rupiah.cepat/smali/com/megvii/livenessdetection/Detector.smali,N/A,False
ru.vtb24.mobilebanking.android.apk,True,ru.vtb24.mobilebanking.android/smali/io/card/payment/CardScanner.smali,N/A,True
com.etoro.openbook.apk,False,N/A,Cordova,True
com.mobnetic.coinguardian.apk,False,N/A,N/A,False
ch.postfinance.twint.android.apk,True,ch.postfinance.twint.android/smali_classes2/o/bgr.smali,N/A,True
com.dmm.DMMBitcoin.apk,False,N/A,N/A,True
cz.rb.app.smartphonebanking.apk,True,cz.rb.app.smartphonebanking/smali/eu/inmite/android/rbcz/mobilbank/msm/CryptoModule.smali,N/A,True
com.unidigital.bicentenario.p2p.apk,False,N/A,Cordova,False
io.coninalarm.apk,True,N/A,N/A,False
bitcoin.moneyminer.apk,True,bitcoin.moneyminer/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.electroneum.mobile.apk,True,com.electroneum.mobile/smali/io/liteglue/SQLiteConnector.smali,Cordova,True
com.bfsapps.nsebsesharesprices.apk,False,com.bfsapps.nsebsesharesprices/smali/net/sourceforge/zbar/Symbol.smali,N/A,False
giniapps.easymarkets.com.apk,False,N/A,N/A,True
com.westernunion.moneytransferr3app.nl.apk,True,com.westernunion.moneytransferr3app.nl/smali_classes2/io/card/payment/CardScanner.smali,Cordova,False
com.investo2o.kristal.apk,False,N/A,N/A,True
earn.cryptocoin.freeethereum.apk,False,N/A,N/A,True
com.mycelium.wallet.apk,False,com.mycelium.wallet/smali_classes2/com/lambdaworks/jni/SysLibraryLoader.smali,N/A,True
net.bither.apk,True,net.bither/smali/com/lambdaworks/a/f.smali,N/A,False
com.coinspace.app.apk,False,N/A,Cordova,True
ensowt.khatahome.apk,False,N/A,N/A,False
com.paypal.android.p2pmobile.apk,True,com.paypal.android.p2pmobile/smali_classes2/com/manateeworks/MWParser.smali,N/A,True
com.bookmark.money.apk,True,com.bookmark.money/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A,True
org.dayup.stocks.apk,True,org.dayup.stocks/smali_classes2/com/sensetime/senseid/sdk/liveness/interactive/AbstractInteractiveLivenessLibrary.smali,N/A,True
com.tabtrader.android.apk,False,N/A,N/A,True
com.cellbones.icominter.apk,False,com.cellbones.icominter/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.velcom.vbanking.apk,True,com.velcom.vbanking/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
io.cex.app.prod.apk,True,io.cex.app.prod/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
ru.sberbankmobile.apk,True,ru.sberbankmobile/smali_classes11/io/card/payment/CardScanner.smali,N/A,True
mm.com.motherfinance.borrower.apk,True,mm.com.motherfinance.borrower/smali_classes2/com/madhavanmalolan/ffmpegandroidlibrary/Controller.smali,N/A,True
bitcoin.cashminer.apk,True,bitcoin.cashminer/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.xload.android.apk,True,com.xload.android/smali_classes2/com/scottyab/rootbeer/RootBeerNative.smali,N/A,True
com.samlorito.kassenbuchapp.apk,True,com.samlorito.kassenbuchapp/smali/mono/MonoPackageManager.smali,Mono,True
com.hrptech.dailyexampenseapp.apk,False,N/A,N/A,True
com.coinhako.apk,False,N/A,N/A,True
io.eidoo.wallet.prodnet.apk,False,N/A,Cordova,True
de.schildbach.wallet.apk,False,de.schildbach.wallet/smali/org/bitcoin/Secp256k1Context.smali,N/A,True
com.yahoo.mobile.client.android.finance.apk,True,com.yahoo.mobile.client.android.finance/smali_classes2/com/google/ar/core/Session.smali,N/A,True
com.bfs.globalstockmarketindexes.apk,False,com.bfs.globalstockmarketindexes/smali/net/sourceforge/zbar/Symbol.smali,N/A,False
tw.com.quickscanner.invoice.apk,True,tw.com.quickscanner.invoice/smali_classes2/pl/droidsonroids/gif/f.smali,N/A,True
com.crypto.currency.apk,True,com.crypto.currency/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
com.xapo.apk,True,com.xapo/smali/com/jumio/core/environment/Environment.smali,N/A,True
co.edgesecure.app.apk,True,co.edgesecure.app/smali/co/airbitz/fastcrypto/RNFastCryptoModule.smali,React,True
com.bituniverse.portfolio.apk,True,com.bituniverse.portfolio/smali_classes2/f/n/b/e.smali,React,True
com.yahoo.mobile.client.android.TWStock.apk,False,N/A,N/A,True
com.mastercard.mpwallet.apk,True,com.mastercard.mpwallet/smali/com/scottyab/rootbeer/RootBeerNative.smali,N/A,False
tm.talking.calculator.apk,True,tm.talking.calculator/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
co.bitx.android.wallet.apk,True,co.bitx.android.wallet/smali_classes2/com/facebook/soloader/SoLoader.smali,N/A,True
com.vwfs.phototan.apk,True,com.vwfs.phototan/smali/qlpxmlos/Md4fbPcm.smali,N/A,False
com.plutus.wallet.apk,True,com.plutus.wallet/smali_classes2/org/bitcoin/Secp256k1Context.smali,N/A,True
com.one97.hero.apk,True,com.one97.hero/smali_classes2/com/scottyab/rootbeer/RootBeerNative.smali,N/A,True
com.coinsforecast.cryptocoinsforecast.apk,False,N/A,N/A,True
fr.creditagricole.macarteca.apk,True,fr.creditagricole.macarteca/smali_classes2/com/snappydb/internal/DBImpl.smali,N/A,True
com.qoinpro.app.apk,False,N/A,Cordova,False
com.cmcm.blockchain.bitcoin.ethereum.safewallet.apk,True,com.cmcm.blockchain.bitcoin.ethereum.safewallet/smali_classes2/go/LoadJNI.smali,N/A,False
com.victoriabank.mobilebank.apk,True,com.victoriabank.mobilebank/smali/io/card/payment/CardScanner.smali,Cordova,True
net.bitbay.bitcoin.apk,False,N/A,N/A,True
ethereum.miner.apk,True,ethereum.miner/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
moonx.exchange.moonx.apk,False,N/A,N/A,True
bd.earningtips5.apk,True,bd.earningtips5/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.joinroot.root.apk,True,com.joinroot.root/smali_classes2/com/manateeworks/BarcodeScanner.smali,React,True
id.nyandev.digibyte.apk,True,id.nyandev.digibyte/smali/com/crashlytics/android/ndk/JniNativeApi.smali,Cordova,True
com.mtk.apk,True,com.mtk/smali_classes2/io/vov/vitamio/MediaMetadataRetriever.smali,N/A,True
ch.postfinance.android.apk,True,ch.postfinance.android/smali_classes8/me/dm7/barcodescanner/zbar/ZBarScannerView.smali,N/A,True
com.fortuneo.android.apk,False,N/A,N/A,True
com.wavesplatform.wallet.apk,True,com.wavesplatform.wallet/smali/com/getkeepsafe/relinker/SystemLibraryLoader.smali,N/A,True
com.cindicator.apk,True,com.cindicator/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
