Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.lalafood.user.apk,True,com.lalafood.user/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A,True
com.hungerstation.android.web.apk,True,com.hungerstation.android.web/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.app.p4658HD.apk,True,com.app.p4658HD/smali/mono/MonoPackageManager.smali,Mono,False
com.ginodev.matbakh.manal.al3alam.apk,False,N/A,N/A,False
com.myelane2_aw.apk,True,com.myelane2_aw/smali/oooooo/qqvvqv.smali,N/A,True
com.kurashiru.apk,True,com.kurashiru/smali_classes2/io/ebuilder/mobile/services/modules/network/TrafficStats.smali,N/A,True
com.zadfresh.zadfresh.apk,True,com.zadfresh.zadfresh/smali_classes3/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
com.apegroup.mcdonaldsrussia.apk,False,N/A,N/A,True
com.omniluxtrade.allrecipes.apk,False,com.omniluxtrade.allrecipes/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.chownow.redcow.apk,False,com.chownow.redcow/smali/android/support/v8/renderscript/RenderScript.smali,N/A,False
com.chownow.roadrunner.apk,False,com.chownow.roadrunner/smali/android/support/v8/renderscript/RenderScript.smali,N/A,False
org.cubapaladar.app.cubapaladar.apk,True,org.cubapaladar.app.cubapaladar/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,True
com.seveneleven.apk,False,N/A,Cordova,False
com.eyetech.advancedmedia.apk,False,N/A,N/A,True
com.yum.kfc.apk,True,com.yum.kfc/smali/mono/MonoPackageManager.smali,Mono,False
gr.pizzafan.apk,False,N/A,Cordova,False
com.wendys.nutritiontool.apk,True,com.wendys.nutritiontool/smali/com/appdynamics/eumagent/runtime/crashes/NativeCrashHandler.smali,N/A,True
com.coffeebean.apps.production.apk,True,com.coffeebean.apps.production/smali/com/getkeepsafe/relinker/d.smali,N/A,True
com.olo.zoup.apk,True,com.olo.zoup/smali_classes2/io/card/payment/CardScanner.smali,Mono,True
com.starbucks.tr.apk,True,com.starbucks.tr/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A,True
id.technopartner.kopikenangan.apk,True,id.technopartner.kopikenangan/smali_classes2/com/yalantis/ucrop/task/BitmapCropTask.smali,N/A,True
mx.sindelantal.restaurant.apk,False,N/A,N/A,True
com.joshuaneigh.blender.apk,False,N/A,N/A,False
com.global.foodpanda.android.apk,True,N/A,N/A,True
com.foodhero.app.apk,True,com.foodhero.app/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.app.cheetay.apk,False,com.app.cheetay/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A,True
com.techniman.halawiyat.sahla.apk,False,N/A,N/A,False
com.bolt.deliveryclient.apk,True,com.bolt.deliveryclient/smali/androidx/renderscript/RenderScript.smali,React,True
com.unesdev.sysfood.apk,True,com.unesdev.sysfood/smali/com/unesdev/sysfood/PTPlayer.smali,N/A,False
com.yourdelivery.pyszne.apk,False,N/A,N/A,True
com.pizza.raul.foodapp.apk,False,N/A,N/A,False
com.hellofresh.androidapp.apk,False,N/A,N/A,True
pk.com.mobilink.bizstore.apk,True,pk.com.mobilink.bizstore/smali/com/facebook/soloader/SoLoader.smali,React,True
com.instacart.client.publix.apk,False,N/A,N/A,True
