Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.sonymobile.lifelog.apk,True,com.sonymobile.lifelog/smali/com/sonymobile/lifelog/tram/AE2NativeLibrary.smali,N/A,False
com.tayu.tau.pedometer.apk,True,com.tayu.tau.pedometer/smali/com/tayu/tau/pedometer/util/PedometerListener.smali,N/A,True
com.marwan.mosaed.dietforever.apk,False,N/A,N/A,False
com.periodapp.period.apk,False,N/A,N/A,True
softin.my.fast.fitness.apk,True,softin.my.fast.fitness/smali_classes2/net/sqlcipher/database/SQLiteDatabase.smali,N/A,True
com.spc.android.smartdevices.smartwatch.apk,True,com.spc.android.smartdevices.smartwatch/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
com.suunto.movescount.android.apk,True,com.suunto.movescount.android/smali_classes2/com/mapbox/mapboxsdk/net/NativeConnectivityListener.smali,N/A,False
pedometer.steptracker.calorieburner.stepcounter.apk,True,pedometer.steptracker.calorieburner.stepcounter/smali_classes2/steptracker/stepcounter/pedometer/SettingActivity.smali,N/A,True
com.zeopoxa.fitness.cycling.bike.apk,False,N/A,N/A,True
cc.relive.reliveapp.apk,True,cc.relive.reliveapp/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,React,False
com.food.calories.apk,False,N/A,N/A,False
de.tk.tkapp.apk,True,de.tk.tkapp/smali_classes2/io/scanbot/hicscanner/HICRecognizer.smali,N/A,True
br.gov.saude.acs.apk,False,N/A,N/A,True
com.taka.homeworkout.apk,True,com.taka.homeworkout/smali/com/facebook/soloader/SoLoader.smali,React,True
de.bund.toxfox.apk,True,de.bund.toxfox/smali/com/scandit/recognition/Native.smali,N/A,False
com.calm.relaxing.meditationmusic.apk,True,com.calm.relaxing.meditationmusic/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A,True
com.mykronoz.zetime.apk,True,com.mykronoz.zetime/smali_classes2/org/opencv/osgi/OpenCVNativeLoader.smali,N/A,False
tr.gov.saglik.enabiz.apk,True,tr.gov.saglik.enabiz/smali_classes2/tr/gov/saglik/enabiz/ENabizApplication.smali,N/A,False
xtracer.miband2funcbutton.apk,False,N/A,N/A,False
com.philips.cdp.ohc.tuscany.apk,True,com.philips.cdp.ohc.tuscany/smali_classes2/com/philips/cdp/ohc/watson/WatsonAnalysis.smali,React,True
com.popularapp.thirtydayfitnesschallenge.apk,True,com.popularapp.thirtydayfitnesschallenge/smali_classes2/com/zj/lib/zoe/ZoeUtils.smali,N/A,True
com.taka.sixpack.apk,True,com.taka.sixpack/smali/com/facebook/soloader/SoLoader.smali,React,True
monitoryourweight.bustan.net.apk,False,N/A,N/A,True
com.timaimee.hband.apk,True,com.timaimee.hband/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,False
com.planner.gymworkout.apk,False,N/A,N/A,False
net.metapps.sleepsounds.apk,False,N/A,N/A,True
com.yw.itouchs.apk,True,com.yw.itouchs/smali/b/c/a/g.smali,N/A,True
com.fitifyworkouts.bodyweight.workoutapp.apk,True,com.fitifyworkouts.bodyweight.workoutapp/smali_classes2/org/conscrypt/NativeCryptoJni.smali,N/A,True
fi.polar.polarflow.apk,True,fi.polar.polarflow/smali_classes2/fi/polar/polarmathadt/ActivityDataCalculator.smali,N/A,True
com.lifeomic.lifefasting.apk,True,com.lifeomic.lifefasting/smali_classes2/com/yalantis/ucrop/task/BitmapCropTask.smali,React,True
ascendik.drinkwaterreminder.hydration.watertracker.drinkwater.apk,False,N/A,N/A,True
com.neurondigital.exercisetimer.apk,False,N/A,N/A,True
com.zeopoxa.fitness.running.apk,False,N/A,N/A,True
org.telemedicine.apk,False,N/A,N/A,False
com.manridy.iband.apk,True,com.manridy.iband/smali_classes2/com/tencent/tinker/lib/library/TinkerLoadLibrary.smali,N/A,True
com.arabdietclinic.idealcaloriescounter.apk,False,N/A,N/A,True
sleepsounds.relaxandsleep.whitenoise.apk,True,sleepsounds.relaxandsleep.whitenoise/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A,False
com.dexcom.g6.region1.mmol.apk,True,com.dexcom.g6.region1.mmol/smali_classes2/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,False
com.insdio.aqicn.airwidget.Asia.apk,False,N/A,N/A,False
com.fitzeee.menworkout.apk,False,N/A,N/A,True
com.fitness.training.muscle.workout.apk,True,com.fitness.training.muscle.workout/smali/com/fitness/training/muscle/workout/MyWrapperProxyApplication.smali,N/A,False
net.metapps.meditationsounds.apk,False,N/A,N/A,True
com.urbandroid.lux.apk,False,N/A,N/A,True
com.stoppornaddiction.sexuallife.apk,False,com.stoppornaddiction.sexuallife/smali/net/sourceforge/zbar/Symbol.smali,N/A,False
homeworkout.homeworkouts.noequipment.apk,True,homeworkout.homeworkouts.noequipment/smali/com/zj/lib/guidetips/ExercisesUtils.smali,N/A,True
com.dietcoacher.sos.apk,False,com.dietcoacher.sos/smali/com/tapjoy/Tapjoy.smali,N/A,False
dinostudio.android.vibrateforever.apk,False,N/A,N/A,False
com.sec.android.app.shealth.apk,True,com.sec.android.app.shealth/smali_classes8/org/webrtc/FileVideoCapturer.smali,N/A,True
breastenlarger.bodyeditor.photoeditor.apk,True,breastenlarger.bodyeditor.photoeditor/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.soocare.international.apk,True,com.soocare.international/smali/com/soocare/international/MyWrapperProxyApplication.smali,N/A,False
com.yunmai.scaleen.apk,True,com.yunmai.scaleen/smali_classes2/org/wysaid/nativePort/CGEFaceTracker.smali,N/A,False
com.ahsanawdaa.aljimaa.apk,False,N/A,N/A,False
com.hpai.mobile.apk,True,com.hpai.mobile/smali/io/realm/internal/RealmCore.smali,N/A,False
com.fliptonic.mytnt.apk,False,N/A,Cordova,False
com.despdev.quitzilla.apk,False,N/A,N/A,True
com.vgfit.gofitness.apk,True,com.vgfit.gofitness/smali/androidx/renderscript/RenderScript.smali,N/A,True
com.gen.bettermen.apk,False,N/A,N/A,True
si.modula.android.instantheartrate.apk,True,si.modula.android.instantheartrate/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.oplayer.osportplus.apk,True,com.oplayer.osportplus/smali_classes2/com/realsil/android/blehub/dfu/DfuService.smali,N/A,True
com.powerups.pushups.apk,False,N/A,N/A,True
com.weightwatchers.mobile.apk,True,com.weightwatchers.mobile/smali_classes3/com/wonderkiln/camerakit/BitmapOperator.smali,N/A,True
