Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
tw.com.mcddaily.apk,True,tw.com.mcddaily/smali/tw/com/mcddaily/jni/Encrypt.smali,N/A,True
im.twogo.godroid.apk,False,N/A,N/A,True
com.doubleuinc.lovepositionsfree.apk,False,N/A,N/A,False
zodiac.sawatop.com.apk,True,zodiac.sawatop.com/smali/zodiac/sawatop/com/SplishActivity2.smali,N/A,True
qlocker.gesture.apk,False,N/A,N/A,True
com.miamipolice.mafia.crime.vice.town.apk,True,com.miamipolice.mafia.crime.vice.town/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.amzinghero.spider.crime.gangaster.gta.apk,True,com.amzinghero.spider.crime.gangaster.gta/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.playboy.lifestyle.app.apk,True,com.playboy.lifestyle.app/smali/in/uncod/android/bypass/Bypass.smali,N/A,False
com.surveymonkey.rewards.apk,True,com.surveymonkey.rewards/smali/com/facebook/crypto/util/c.smali,N/A,True
com.dsquares.lucky.apk,True,com.dsquares.lucky/smali_classes2/pl/droidsonroids/gif/g.smali,N/A,True
net.daylio.apk,False,N/A,N/A,True
com.hualai.apk,True,com.hualai/smali_classes2/com/tutk/IOTC/AVAPIs.smali,N/A,True
com.myexample.Tenzi_zo_Rohoni.apk,True,com.myexample.Tenzi_zo_Rohoni/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React,False
com.pawoints.curiouscat.apk,True,com.pawoints.curiouscat/smali_classes2/c/g/b/a/i/c/a.smali,N/A,True
com.animewallpaper.animeboywallpaper.animegirlwallpaper.mangawallpaper.animelover.free.apk,False,N/A,N/A,True
com.Tobit.android.Slitte6369912010.apk,False,com.Tobit.android.Slitte6369912010/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.bemyeye.app.apk,True,com.bemyeye.app/smali/za/co/twyst/tbxml/TBXML.smali,Cordova,True
com.goodnightwishes007.apk,False,N/A,N/A,True
com.tplink.kasa_android.apk,False,N/A,N/A,True
com.fortunemirror.apk,True,com.fortunemirror/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
jalal.cooking.A2Z.apk,False,N/A,N/A,True
