Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
de.vrr.hcrmobileapp.apk,True,de.vrr.hcrmobileapp/smali_classes2/mono/MonoPackageManager.smali,Mono,True
com.altindo.stnk.apk,False,N/A,N/A,False
com.sygic.aura.apk,True,com.sygic.aura/smali_classes2/com/livio/BSON/BsonEncoder.smali,N/A,True
com.taxislibres.conductor.apk,False,N/A,N/A,True
ir.iran141.samix.android.apk,True,ir.iran141.samix.android/smali/io/flutter/view/FlutterMain.smali,Flutter,True
com.fleety.bbdriver.apk,False,com.fleety.bbdriver/smali/server/tts/Text2AudioServer.smali,Cordova,False
app.goplus.in.myapplication.apk,True,app.goplus.in.myapplication/smali_classes2/io/chirp/connect/ChirpConnectNative.smali,N/A,True
mycompany.moscowmetro.apk,False,N/A,N/A,True
com.live.streetview.map.apk,False,N/A,N/A,True
com.yandex.mobile.drive.apk,True,com.yandex.mobile.drive/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.yandex.courier.apk,True,com.yandex.courier/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,React,True
me.com.easytaxi.apk,True,me.com.easytaxi/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.raia.infokrl.apk,True,com.raia.infokrl/smali/com/raia/infokrl/App.smali,N/A,False
com.angkas.driver.apk,True,com.angkas.driver/smali/com/getkeepsafe/relinker/SystemLibraryLoader.smali,N/A,False
com.ta3lime.maroc.siya9a.apk,False,N/A,N/A,False
com.appsmartplus.gpsmobilelocationtracker.route.finder.apk,False,N/A,N/A,False
com.underwood.route_optimiser.apk,True,com.underwood.route_optimiser/smali/com/google/android/apps/gmm/map/util/jni/NativeHelper.smali,N/A,True
com.bigbangdev.bussonora.apk,True,com.bigbangdev.bussonora/smali/com/facebook/soloader/SoLoader.smali,React,True
com.lynxspa.prontotreno.apk,True,com.lynxspa.prontotreno/smali/com/worklight/wlclient/fips/MicroVPNLib.smali,Cordova,True
org.mapapps.mapyourtown.ethiopia.apk,False,N/A,N/A,False
com.SamsatOnlineNasional.hdt.apk,False,N/A,N/A,True
xyz.be.customer.apk,True,xyz.be.customer/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,Flutter,True
jp.co.toyota_ms.TcSpNavi.apk,True,jp.co.toyota_ms.TcSpNavi/smali/jp/co/toyota_ms/TcSpNavi/navi/data/NaviRun.smali,N/A,False
com.raus.i_m_going_home_v2.lite.apk,False,com.raus.i_m_going_home_v2.lite/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.attractiveapps.gps.maps.navigation.speedometer.traffic.finder.apk,False,N/A,N/A,True
de.schildbach.oeffi.apk,False,N/A,N/A,True
org.efalk.fdalpha.apk,False,N/A,N/A,False
com.gps.map.navigation.traffic.finder.app.apk,False,N/A,N/A,True
com.waze.apk,True,com.waze/smali/com/waze/NativeManager.smali,N/A,True
br.com.vamos.passenger.drivermachine.apk,False,N/A,N/A,True
net.psyberia.offlinemaps.apk,False,N/A,N/A,False
com.trackinglabs.marinetracker.apk,False,N/A,N/A,True
com.mm_flex.apk,False,N/A,N/A,False
com.skt.tmap.ku.apk,True,com.skt.tmap.ku/smali_classes2/com/kaonmedia/cnxt/native_cnxt.smali,N/A,False
com.psa.mym.mypeugeot.apk,True,com.psa.mym.mypeugeot/smali_classes2/com/neurotec/face/verification/client/NFaceVerificationClientJNI.smali,N/A,True
com.grabtaxi.grabbus_dax.apk,True,com.grabtaxi.grabbus_dax/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,React,True
com.micropole.android.tcl_mobile.apk,True,com.micropole.android.tcl_mobile/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,React,True
com.ksrsac.sslr.apk,True,com.ksrsac.sslr/smali/com/esri/core/internal/RuntimeHelper.smali,N/A,False
com.searchmyanmar.yangonbus.apk,False,N/A,N/A,True
com.live.earth.maps.liveearth.livelocations.mylocation.streetview.maps2019.apk,False,N/A,N/A,True
com.whereami.mylocation.apk,False,N/A,N/A,True
com.btaxi.orders.ui.apk,False,N/A,N/A,False
com.gigm.apk,False,N/A,N/A,True
com.calimoto.calimoto.apk,True,com.calimoto.calimoto/smali/org/oscim/a/b.smali,N/A,True
com.thetrainline.apk,False,com.thetrainline/smali_classes7/com/threatmetrix/TrustDefenderMobile/NativeGatherer$NativeGathererHelper.smali,N/A,True
com.livestreetview.livemap.apk,False,N/A,N/A,True
com.scobasoft.econtool.apk,False,N/A,N/A,False
com.mibus.bis.apk,False,N/A,N/A,True
lk.icta.mobile.apps.dmt.apk,False,N/A,Cordova,False
com.hi.earthonline.livestreetview.liveworldwebcams.apk,False,N/A,N/A,True
com.galasoft2013.shipinfo.apk,True,com.galasoft2013.shipinfo/smali/com/galasoft2013/shipinfo/DBManager.smali,N/A,True
com.hyperdia.android.activity.apk,False,N/A,N/A,False
com.navitime.local.navitime.apk,True,com.navitime.local.navitime/smali_classes2/com/navitime/components/positioning2/mformat/NTNvSQLite3MFormatCache.smali,N/A,True
jp.co.jorudan.nrkj.apk,True,jp.co.jorudan.nrkj/smali_classes2/jp/co/jorudan/wnavimodule/libs/maputil/MapUtilJNILib.smali,N/A,True
com.appstonix.taxigps.car.apk,False,N/A,N/A,False
com.escort.androidui.root.apk,True,com.escort.androidui.root/smali/com/escortLive2/bluetooth/RadarAdapter.smali,N/A,False
com.satellitefinder.areacalculator.satfinder.dishpointer.apk,True,com.satellitefinder.areacalculator.satfinder.dishpointer/smali/pl/droidsonroids/gif/h.smali,N/A,True
br.com.urbanonorte.passenger.drivermachine.apk,False,N/A,N/A,True
de.hafas.android.vbn.apk,False,de.hafas.android.vbn/smali/de/hafas/android/d.smali,N/A,True
me.sravnitaxi.apk,False,me.sravnitaxi/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.uscc.ubbus.apk,False,N/A,N/A,True
ru.yandex.taximeter.apk,True,ru.yandex.taximeter/smali_classes2/in/uncod/android/bypass/Bypass.smali,N/A,True
com.dsat.dsatmobile.apk,True,com.dsat.dsatmobile/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,True
at.wienerlinien.wienmobillab.apk,True,at.wienerlinien.wienmobillab/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A,True
com.VoDrive.apk,False,N/A,N/A,True
com.prime.studio.apps.route.finder.map.apk,False,N/A,N/A,True
com.andromo.dev764019.app975079.apk,False,N/A,N/A,False
com.mos.apk,False,N/A,N/A,False
cz.seznam.windymaps.apk,True,cz.seznam.windymaps/smali_classes2/org/bytedeco/javacpp/Loader.smali,N/A,True
br.com.androidapp.levoentregador.apk,False,N/A,N/A,False
com.getride.customer.apk,True,com.getride.customer/smali/com/getkeepsafe/relinker/SystemLibraryLoader.smali,N/A,True
com.ticker.truck.driver.cargo.apk,True,com.ticker.truck.driver.cargo/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.viamichelin.android.viamichelinmobile.apk,True,com.viamichelin.android.viamichelinmobile/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.mapfactor.navigator.apk,True,com.mapfactor.navigator/smali_classes2/com/mapfactor/navigator/Toolkit.smali,N/A,True
com.Avenza.apk,True,com.Avenza/smali/com/Avenza/Api/AvenzaApi.smali,N/A,True
tw.com.ainvest.outpack.apk,False,N/A,N/A,True
com.roadwarrior.android.apk,False,N/A,N/A,True
com.electro_tex.fakegpsgo.apk,False,N/A,N/A,False
com.sygic.incar.apk,True,com.sygic.incar/smali/com/bosch/myspin/serversdk/MySpinServerSDK.smali,N/A,False
com.chic.uvlight.apk,False,N/A,N/A,False
com.atlogis.northamerica.free.apk,True,com.atlogis.northamerica.free/smali/com/atlogis/libproj/ProjUtil.smali,N/A,True
com.ebzits.routingguide.apk,False,N/A,N/A,False
com.hangoverstudios.vehicleinfo.apk,False,com.hangoverstudios.vehicleinfo/smali_classes2/com/hangoverstudios/vehicleinfo/APIController.smali,N/A,True
com.vaesttrafik.vaesttrafik.apk,False,N/A,N/A,True
de.hafas.android.oebb.apk,True,de.hafas.android.oebb/smali/de/hafas/android/d.smali,N/A,True
com.ftrt.phonelink.apk,False,N/A,N/A,False
com.exlyo.mapmarker.apk,False,N/A,N/A,False
com.bluemarblegeographics.globalmappermobile.android.apk,True,com.bluemarblegeographics.globalmappermobile.android/smali/mono/MonoPackageManager.smali,Mono,False
com.loggi.driverapp.apk,True,com.loggi.driverapp/smali_classes2/com/google/android/gms/vision/EngineManager.smali,React,True
com.ryde.pro.apk,False,com.ryde.pro/smali/com/google/android/gms/vision/EngineManager.smali,N/A,True
gps.navigation.maps.directions.location.finder.apk,False,N/A,N/A,True
kz.soft.android.infobus.apk,False,N/A,N/A,False
com.getblumeter.droid.apk,True,com.getblumeter.droid/smali/io/flutter/embedding/engine/b/a.smali,Flutter,True
com.craftsilicon.littlecabrider.apk,True,com.craftsilicon.littlecabrider/smali/pl/droidsonroids/gif/h.smali,N/A,True
com.tg.ybsguide.apk,True,com.tg.ybsguide/smali/com/facebook/soloader/SoLoader.smali,React,True
com.paris.velib.apk,True,com.paris.velib/smali/d/b/a/g.smali,N/A,True
app.zophop.apk,True,app.zophop/smali_classes2/ene.smali,N/A,True
efisat.cuandollega.smpnuevedejulio.apk,False,N/A,N/A,False
com.camsam.apk,False,N/A,N/A,True
tw.com.thsrc.texpress.apk,True,tw.com.thsrc.texpress/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,True
id.sevadigital.cariparkir.consumer.apk,True,id.sevadigital.cariparkir.consumer/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
com.eezgu.GPSkoordinatbulucu.apk,False,N/A,Cordova,False
il.talent.parking.apk,False,N/A,N/A,True
com.careem.bus.customer.apk,True,com.careem.bus.customer/smali_classes2/io/chirp/connect/ChirpConnectNative.smali,N/A,True
com.navitime.inbound.walk.apk,True,com.navitime.inbound.walk/smali_classes2/com/navitime/components/common/internal/access/NTNvLoader.smali,N/A,True
com.olacabs.customer.apk,True,com.olacabs.customer/smali_classes2/com/scottyab/rootbeer/RootBeerNative.smali,N/A,True
team.opay.ride.driver.apk,True,team.opay.ride.driver/smali/io/rong/imlib/relinker/SystemLibraryLoader.smali,N/A,True
com.here.app.maps.apk,True,com.here.app.maps/smali_classes2/com/nuance/android/vocalizer/VocalizerEngine.smali,N/A,True
com.kakao.taxi.apk,True,com.kakao.taxi/smali_classes2/com/kakao/vectormap/internal/EngineManager.smali,N/A,True
kbk.maparea.measure.geo.apk,False,N/A,N/A,True
com.geomind.europe.apk,True,com.geomind.europe/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A,False
psyberia.alpinequest.free.apk,False,N/A,N/A,False
com.ubercab.uberlite.apk,True,com.ubercab.uberlite/smali/com/ubercab/crash/healthline_native_report/HealthlineNativeReportBridge.smali,N/A,True
in.codeseed.audify.apk,True,in.codeseed.audify/smali/com/getkeepsafe/relinker/a.smali,N/A,True
com.vialsoft.radarbot_free.apk,False,N/A,N/A,True
com.ltp.pro.fakelocation.apk,False,N/A,N/A,True
com.getaround.android.apk,True,com.getaround.android/smali_classes2/io/flutter/view/FlutterMain.smali,Flutter,True
com.car2go.apk,True,com.car2go/smali_classes2/com/jumio/core/environment/Environment.smali,N/A,True
mycompany.saint_petersburgmetro.apk,False,N/A,N/A,True
inrix.android.ui.apk,True,inrix.android.ui/smali_classes2/com/skobbler/ngx/trail/SKTrailManager.smali,N/A,True
com.virtualmaze.offlinemapnavigationtracker.apk,True,com.virtualmaze.offlinemapnavigationtracker/smali_classes2/com/skobbler/ngx/trail/SKTrailManager.smali,N/A,True
com.live.voice.navigation.driving.directions.gps.maps.apk,True,com.live.voice.navigation.driving.directions.gps.maps/smali_classes2/com/mapbox/services/android/navigation/v5/navigation/NavigationLibraryLoader$1.smali,N/A,True
com.megafreeapps.free.gps.navigation.speedometer.compass.apk,False,N/A,N/A,True
com.alk.copilot.mapviewer.apk,True,com.alk.copilot.mapviewer/smali/com/alk/copilot/NativeApp.smali,N/A,True
com.sraoss.dmrc.apk,False,N/A,N/A,True
com.anterin.dn.apk,True,com.anterin.dn/smali_classes2/pl/droidsonroids/gif/h.smali,N/A,True
com.transas.uninav.plotter.apk,True,com.transas.uninav.plotter/smali/org/qtproject/qt5/android/bindings/QtLoader.smali,N/A,False
com.yandex.yango.apk,True,com.yandex.yango/smali_classes2/amo.smali,N/A,True
eus.ctb.barikapp.apk,True,eus.ctb.barikapp/smali/c/a/a/e.smali,N/A,True
com.lenzetech.isearchingx.apk,True,com.lenzetech.isearchingx/smali/com/nlspeech/nlscodec/NlsCodec2.smali,N/A,True
com.rta.publictransportation.apk,True,com.rta.publictransportation/smali_classes2/com/worklight/wlclient/fips/MicroVPNLib.smali,Cordova,True
com.globaldpi.measuremaplite.apk,False,com.globaldpi.measuremaplite/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A,True
com.usefullapps.fakegpslocationpro.apk,False,N/A,N/A,True
com.ocarride.driver.apk,False,N/A,N/A,True
suntaxi.app.adsun.vn.apk,False,N/A,N/A,False
driver.facecar.com.facecardriver.apk,False,driver.facecar.com.facecardriver/smali/com/google/android/gms/internal/vision/zzm.smali,N/A,True
com.njtransit.njtapp.apk,True,com.njtransit.njtapp/smali/net/sqlcipher/database/SQLiteDatabase.smali,Cordova,True
ru.yandex.metro.apk,True,ru.yandex.metro/smali/l/a/b/d/d.smali,N/A,True
com.cubic.cumo.android.rmv.apk,False,N/A,Cordova,False
com.emr.movirosario.apk,False,N/A,N/A,True
uptaxi.global_sev.apk,False,N/A,N/A,True
com.safeboda.passenger.apk,True,com.safeboda.passenger/smali/com/getkeepsafe/relinker/d.smali,N/A,True
com.gpsview.offlineearth.maps.routenavigation.street.apk,True,com.gpsview.offlineearth.maps.routenavigation.street/smali_classes2/org/oscim/android/MapView.smali,N/A,True
ru.serebryakovas.lukoilmobileapp.apk,True,ru.serebryakovas.lukoilmobileapp/smali/com/yandex/runtime/internal/ReLinker.smali,N/A,True
com.measurement.distancecalculatormap.landareacalculator.apk,False,N/A,N/A,True
est.driver.apk,False,N/A,N/A,True
com.sygic.speedcamapp.apk,True,com.sygic.speedcamapp/smali/mono/MonoPackageManager.smali,Mono,False
com.keeptruckin.android.apk,True,com.keeptruckin.android/smali_classes2/com/googlecode/tesseract/android/PageIterator.smali,N/A,True
com.rayo.savecurrentlocation.apk,False,N/A,N/A,True
com.jvstudios.gpstracker.apk,True,com.jvstudios.gpstracker/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
maps.navigation.offline.apk,True,maps.navigation.offline/smali/com/crashlytics/android/ndk/JniNativeApi.smali,Cordova,True
com.streetviewmap.hdsatelliteview.earthmap.apk,False,N/A,N/A,True
com.location.calculate.areas.apk,False,N/A,N/A,True
ru.igis.gortrans.apk,False,N/A,N/A,False
ee.mtakso.client.apk,True,ee.mtakso.client/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
org.rajman.neshan.traffic.tehran.navigator.apk,True,org.rajman.neshan.traffic.tehran.navigator/smali/com/carto/ui/MapView.smali,N/A,True
com.thetransitapp.droid.apk,True,com.thetransitapp.droid/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A,True
com.codesector.maverick.lite.apk,False,N/A,N/A,False
com.citygoo.apk,True,com.citygoo/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
io.mvlchain.tada.apk,True,io.mvlchain.tada/smali_classes2/com/nshc/NSaferJNI.smali,N/A,True
me.lyft.android.apk,True,me.lyft.android/smali_classes5/com/facebook/buck/android/support/exopackage/ExopackageSoLoader.smali,N/A,True
ru.yandex.taxi.apk,True,ru.yandex.taxi/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.mlubv.uber.az.apk,True,com.mlubv.uber.az/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
net.hago.tencent.apk,False,N/A,N/A,True
com.astrapaging.vff.apk,False,N/A,N/A,True
dominapp.number.apk,True,dominapp.number/smali_classes2/dominapp/number/speech/d.smali,N/A,True
de.swm.mvgfahrinfo.muenchen.apk,False,de.swm.mvgfahrinfo.muenchen/smali/com/google/android/gms/internal/vision/zzm.smali,N/A,True
com.crittermap.backcountrynavigator.apk,False,com.crittermap.backcountrynavigator/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.gozem.apk,False,N/A,N/A,True
com.fakegps.joystick.apk,False,N/A,N/A,False
com.discipleskies.android.speedometer.apk,False,N/A,N/A,False
com.gps.location.maplocation.streetview.newgenration.apk,False,N/A,N/A,True
com.OProjects.FLS.apk,True,com.OProjects.FLS/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.olacabs.lite.apk,False,N/A,N/A,False
com.roarapps.singaporemrt.apk,False,com.roarapps.singaporemrt/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.swae.porpl.cdrue.imei.apk,False,N/A,N/A,False
at.oebb.ts.apk,True,at.oebb.ts/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.indie.bustime.apk,True,com.indie.bustime/smali/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A,True
com.androidlab.gpsfix.apk,False,N/A,N/A,False
com.isea.Embark.apk,True,com.isea.Embark/smali_classes2/com/google/android/gms/vision/EngineManager.smali,React,True
com.pronto.passenger.apk,False,com.pronto.passenger/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
ru.tutu.etrains.apk,True,ru.tutu.etrains/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.discipleskies.aaafindmycar.apk,False,N/A,N/A,True
com.california.cowboy.studios.gps.speedometer.odometer.apk,False,N/A,N/A,True
com.mappy.app.apk,True,com.mappy.app/smali_classes2/bmx.smali,N/A,True
com.company.ahmed.waen.apk,False,N/A,N/A,False
com.ygnpublictransit.apk,False,N/A,N/A,True
com.bykea.pk.partner.apk,True,com.bykea.pk.partner/smali/top/oply/opuslib/OpusTool.smali,N/A,True
ru.involta.metro.apk,False,ru.involta.metro/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
de.eos.uptrade.android.fahrinfo.berlin.apk,True,de.eos.uptrade.android.fahrinfo.berlin/smali_classes2/de/hafas/android/d.smali,N/A,True
com.tomtom.speedcams.android.map.apk,False,N/A,N/A,False
com.gurtam.wialon_client.apk,True,com.gurtam.wialon_client/smali_classes2/com/gurtam/vtm/TextureMapView.smali,N/A,True
ru.yandex.rasp.apk,False,ru.yandex.rasp/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.didiglobal.passenger.apk,True,com.didiglobal.passenger/smali_classes10/com/didi/aoe/vision/AoeVision.smali,N/A,True
kr.co.vcnc.tada.apk,True,kr.co.vcnc.tada/smali/a0/f/a/h.smali,N/A,True
de.hafas.android.vbb.apk,False,de.hafas.android.vbb/smali/de/hafas/android/d.smali,N/A,True
hk.easyvan.app.driver2.apk,True,hk.easyvan.app.driver2/smali/com/getkeepsafe/relinker/e.smali,N/A,True
sd.dispatch.apk,True,sd.dispatch/smali/io/realm/internal/RealmCore.smali,N/A,True
cl.datacomputer.alejandrob.newgpsjoystick.apk,False,cl.datacomputer.alejandrob.newgpsjoystick/smali/android/net/rtp/RtpStream.smali,N/A,False
com.tms.smarttaxidriver.apk,False,N/A,N/A,False
yanzm.products.suicareader.apk,False,N/A,N/A,True
cab.snapp.passenger.play.apk,True,cab.snapp.passenger.play/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A,True
com.topa.topaapp.apk,False,N/A,N/A,False
com.bhn.krl.apk,True,com.bhn.krl/smali/com/gobang/kcjtrain/method/NativeMethod.smali,N/A,False
