Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.despdev.weight_loss_calculator.apk,False,N/A,N/A,True
air.com.samuramu.gg.sx.apk,True,N/A,N/A,False
air.laboratory.test.values.apk,True,N/A,N/A,False
dk.maternity.safedelivery.apk,True,dk.maternity.safedelivery/smali/com/facebook/soloader/SoLoader.smali,React,True
com.medicalhealthcomics.bloodpressure.checker.diary.bp.history.tracker.info.chart.log.journal.track.hypertension.apk,False,N/A,N/A,True
com.something.android.simplepharmacology.apk,False,N/A,N/A,True
nl.cvz.fk.apk,False,N/A,N/A,True
net.imaios.vetanatomy.apk,True,net.imaios.vetanatomy/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,True
com.smsrobot.period.apk,False,N/A,N/A,True
id.co.farmagitechs.rsisitihajar.apk,False,N/A,N/A,False
my.doctor2u.client.apk,True,my.doctor2u.client/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.usbmis.reader.trsc.apk,False,N/A,N/A,True
com.cochlear.clientremote.apk,True,com.cochlear.clientremote/smali/com/cochlear/spapi/crypto/Crypto.smali,N/A,True
com.freestylelibre.app.sa.apk,True,com.freestylelibre.app.sa/smali/com/abbottdiabetescare/flashglucose/sensorabstractionservice/dataprocessing/DataProcessingNative.smali,N/A,False
org.nativescript.LibreLinkUp.apk,True,org.nativescript.LibreLinkUp/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A,False
org.auanet.Guidelines.apk,False,N/A,Cordova,False
com.oticon.remotecontrol.apk,True,com.oticon.remotecontrol/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,True
spm.fnmdecuba.apk,False,N/A,N/A,False
medical.offline.Dictionary.apk,False,N/A,N/A,False
com.kenhub.dailyanatomy.musclesandbones.apk,False,N/A,Cordova,False
com.tastytech.smiledesigner.apk,True,com.tastytech.smiledesigner/smali/org/qtproject/qt5/android/bindings/QtLoader.smali,N/A,False
com.medicalhealthcomics.bloodpressure.diary.bp.info.chart.log.track.apk,False,N/A,N/A,True
com.atomic.apps.medical.drug.dictionary.apk,False,N/A,N/A,True
com.mm.professional.apk,False,N/A,N/A,False
