Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.CyanogeMetifata.playerMp3v.apk,False,com.CyanogeMetifata.playerMp3v/smali_classes2/com/tapjoy/Tapjoy.smali,N/A,True
com.splendapps.vox.apk,False,N/A,N/A,True
com.clearchannel.iheartradio.controller.apk,True,com.clearchannel.iheartradio.controller/smali/androidx/renderscript/RenderScript.smali,N/A,True
net.chordify.chordify.apk,True,N/A,N/A,True
br.com.snapdark.fyzer.app.apk,True,br.com.snapdark.fyzer.app/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.musicplayer.playermusic.apk,False,N/A,N/A,True
com.rubycell.perfectguitar.apk,True,com.rubycell.perfectguitar/smali/com/ziplinegames/moai/MoaiActivity.smali,N/A,False
com.exlivinapps.gagasifmappradioza.apk,False,N/A,N/A,False
com.djremix.musicmixer.dj3dmusic.djmixer.apk,True,com.djremix.musicmixer.dj3dmusic.djmixer/smali_classes2/com/mixvibes/crossdj/services/MusicService.smali,N/A,False
com.moreshare.chord.guitar.full.offline.apk,False,N/A,Cordova,False
com.djit.apps.stream.apk,True,com.djit.apps.stream/smali_classes2/com/mwm/android/sdk/strangervalues/StrangerValues.smali,N/A,True
com.bilkon.launchpad.apk,True,com.bilkon.launchpad/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
com.musixmatch.android.lyrify.apk,True,com.musixmatch.android.lyrify/smali_classes2/o/ɩɟ.smali,React,True
new.free.music.mp3.download.game.studio.apk,False,new.free.music.mp3.download.game.studio/smali/com/tencent/bugly/crashreport/crash/jni/NativeCrashHandler.smali,N/A,True
com.jiubang.go.music.apk,True,com.jiubang.go.music/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.planeth.gstomperdemo.apk,True,com.planeth.gstomperdemo/smali/com/planeth/audio/AaudioAudioThread.smali,N/A,True
com.kuackmedia.digicel.apk,True,com.kuackmedia.digicel/smali/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,Cordova,True
music.amplifier.volume.booster.equalizer.apk,True,music.amplifier.volume.booster.equalizer/smali/com/lb/library/AndroidUtil.smali,N/A,True
com.gamestar.pianoperfect.apk,True,com.gamestar.pianoperfect/smali_classes2/com/un4seen/bass/BASSenc.smali,N/A,True
it.claudio.chimera.virtualvolume.apk,False,N/A,N/A,True
deezer.android.app.apk,True,deezer.android.app/smali_classes2/hgd.smali,N/A,True
com.extreamsd.aemobiledemo.apk,True,com.extreamsd.aemobiledemo/smali/com/extreamsd/aeshared/AE5MobileActivity.smali,N/A,True
ammansongs.tamil.audio.apk,False,N/A,Cordova,False
raigon.musicvibe.apk,False,N/A,N/A,True
com.worldradios.indonesie.apk,False,com.worldradios.indonesie/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.jio.media.jiobeats.apk,True,com.jio.media.jiobeats/smali/o/Hy.smali,N/A,True
com.musicworld.app.mp3downloader.apk,True,com.musicworld.app.mp3downloader/smali/com/musicworld/app/mp3downloader/App.smali,N/A,True
com.music.hero.music.player.mp3.free.apk,True,com.music.hero.music.player.mp3.free/smali/org/videolan/libvlc/LibVLC.smali,N/A,True
com.anghami.apk,True,com.anghami/smali_classes2/com/facebook/soloader/SoLoader.smali,N/A,True
com.samsung.android.soundassistant.apk,False,N/A,N/A,False
mp3.music.download.player.music.search.apk,False,N/A,N/A,False
laudmusic.musicplayer.onlinefloatingplayer.apk,False,laudmusic.musicplayer.onlinefloatingplayer/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.uma.musicvk.apk,True,com.uma.musicvk/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.gaana.punjabisongs.apk,False,N/A,N/A,False
feniksenia.app.speakerbooster11.apk,False,N/A,N/A,False
com.p74.player.apk,True,com.p74.player/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.jrinnovation.proguitartuner.apk,True,com.jrinnovation.proguitartuner/smali/com/jrinnovation/proguitartuner/NativeCore.smali,N/A,True
com.mldsong.djmixersong.playermp3.apk,False,N/A,N/A,False
com.free.musicplayer.mp3.musicplayer.apk,False,N/A,N/A,False
com.sonos.acr.apk,True,com.sonos.acr/smali/androidx/renderscript/RenderScript.smali,N/A,True
com.fundevs.app.mediaconverter.apk,False,N/A,N/A,True
com.github.eprendre.tingshu.apk,True,com.github.eprendre.tingshu/smali/com/stub/StubApp.smali,N/A,False
com.opalastudios.pads.apk,True,com.opalastudios.pads/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
me.rapchat.rapchat.apk,True,me.rapchat.rapchat/smali_classes2/me/rapchat/rapchat/utility/LatencyTest.smali,N/A,True
com.rhapsody.napster.apk,True,com.rhapsody.napster/smali_classes2/com/ome/sdk/OmeJniApi.smali,N/A,True
com.bork.dsp.datuna.apk,True,com.bork.dsp.datuna/smali/com/bork/dsp/dspnative/NativeMethods.smali,N/A,True
com.youmusic.bestmusic.downloaderapp.apk,False,com.youmusic.bestmusic.downloaderapp/smali_classes2/com/tencent/bugly/crashreport/crash/jni/NativeCrashHandler.smali,N/A,True
com.devdnua.equalizer.free.apk,False,N/A,N/A,False
com.aconvert.audioconverter.apk,False,N/A,N/A,False
com.eliferun.music.apk,True,com.eliferun.music/smali/com/lb/library/AndroidUtil.smali,N/A,True
com.media.music.mp3.musicplayer.apk,False,N/A,N/A,False
com.simppro.quran.maher.almueaqly.offline.apk,False,N/A,N/A,False
com.esm3.songpubg.apk,False,N/A,N/A,False
com.sec.android.app.music.apk,True,com.sec.android.app.music/smali/com/samsung/sectionmap/SmartVolumeLib.smali,N/A,False
com.soundtrap.studioapp.apk,True,com.soundtrap.studioapp/smali/org/chromium/base/library_loader/Linker.smali,React,False
com.xcs.mp3cutter.apk,False,N/A,N/A,True
com.jb.go.musicplayer.mp3player.apk,True,com.jb.go.musicplayer.mp3player/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.multimedia.music.mp3player.apk,True,N/A,N/A,True
com.abhigyan.disableheadphone.apk,False,N/A,N/A,True
com.andromo.dev835382.app963071.apk,False,N/A,N/A,False
br.com.rodrigokolb.realdrum.apk,True,br.com.rodrigokolb.realdrum/smali_classes2/kolbapps/com/kolbaudiolib/core/SPAudioCore.smali,N/A,True
com.download.music.musicmp3pro.apk,False,com.download.music.musicmp3pro/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.noozxoidelabs.eizo.rewirepro.apk,True,N/A,N/A,False
com.sonyericsson.music.apk,True,com.sonyericsson.music/smali/com/gracenote/gnsdk/GnAudioFile.smali,N/A,True
com.pioneerdj.WeDJ.apk,True,com.pioneerdj.WeDJ/smali/com/pioneerdj/WeDJ/JuceActivity.smali,N/A,False
info.hijo.vocalremover.apk,False,N/A,N/A,False
musicplayer.equalizer.bassbooster.theme.apk,True,musicplayer.equalizer.bassbooster.theme/smali/com/un4seen/bass/BASSFLAC.smali,N/A,True
com.desaxedstudios.bassbooster.apk,False,N/A,N/A,False
bass.booster.equalizer.music.apk,True,bass.booster.equalizer.music/smali/br/com/carlosrafaelgn/fplay/visualizer/SimpleVisualizerJni.smali,N/A,True
com.songs.music.mp3.musicplayer.apk,False,N/A,N/A,False
com.media.bestrecorder.audiorecorder.apk,True,com.media.bestrecorder.audiorecorder/smali/org/vinuxproject/sonic/Sonic.smali,N/A,False
com.ktmusic.geniemusic.apk,True,com.ktmusic.geniemusic/smali_classes2/com/google/vr/ndk/base/DefaultNativeLibraryLoader.smali,N/A,True
com.andromo.dev445584.app545102.apk,False,N/A,N/A,True
com.andymstone.metronome.apk,False,N/A,N/A,True
audio.virtualizer.equalizer.bassbooster.musicplayer.apk,True,audio.virtualizer.equalizer.bassbooster.musicplayer/smali/com/lb/library/AndroidUtil.smali,N/A,False
audioplayer.free.music.player.apk,True,audioplayer.free.music.player/smali/com/lb/library/AndroidUtil.smali,N/A,False
com.smp.musicspeedclassic.apk,True,com.smp.musicspeedclassic/smali/com/smp/soundtouchandroid/SoundTouch.smali,N/A,True
com.rhmsoft.pulsar.apk,False,N/A,N/A,False
org.android.kunulee.podsmaster.apk,False,N/A,N/A,False
