Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.apusapps.theme.i_steam_punk_4ef8c74844.apk,True,com.apusapps.theme.i_steam_punk_4ef8c74844/smali/t/Nu.smali,N/A,True
com.iboomobile.heroembarazo.apk,False,N/A,N/A,True
com.babyrhymes.englishrhymes.apk,False,N/A,N/A,False
com.samiapps.sami.sleepBabyOwl.apk,True,com.samiapps.sami.sleepBabyOwl/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
jp.smarteducation.egg.lalaclub.apk,True,jp.smarteducation.egg.lalaclub/smali/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A,False
com.daycarewebwatch.apk,False,com.daycarewebwatch/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.kukiniapp.kukini.android.apk,True,com.kukiniapp.kukini.android/smali_classes2/com/google/android/gms/vision/EngineManager.smali,React,True
com.andromo.dev661033.app892424.apk,False,N/A,N/A,False
com.samsungcard.kids.apk,True,com.samsungcard.kids/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.tokyocoldstudio.blockpuzzle.CutePetsCatDog.cubeBlock.apk,True,com.tokyocoldstudio.blockpuzzle.CutePetsCatDog.cubeBlock/smali/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A,False
com.elffermar.HERBASSS.apk,False,N/A,N/A,False
com.app_d48255.layout.apk,True,com.app_d48255.layout/smali_classes2/com/snappydb/internal/DBImpl.smali,N/A,False
apps.konbrand2.childfeeding.apk,False,N/A,N/A,False
com.sarp.bebegim.apk,False,N/A,N/A,False
com.kids.free.audiobook.kolybelnyedlamalyshei.apk,False,N/A,N/A,True
blw.babyledweaning.recipes.apk,False,N/A,N/A,True
com.locker.kids.apk,True,com.locker.kids/smali_classes2/com/locker/kids/netguard/Util.smali,N/A,True
com.unboundapplications.theshortyears.apk,True,com.unboundapplications.theshortyears/smali/android/support/v8/renderscript/RenderScript.smali,Cordova,True
com.huckleberry_labs.app.apk,True,com.huckleberry_labs.app/smali_classes2/io/liteglue/SQLiteConnector.smali,Cordova,True
com.sms.caregame.apk,True,com.sms.caregame/smali/com/google/games/bridge/NativeBridgeActivity.smali,N/A,False
com.locationlabs.familyshield.avast.apk,True,com.locationlabs.familyshield.avast/smali/com/getkeepsafe/relinker/d.smali,N/A,False
com.hindubabyboynames.app.apk,False,N/A,N/A,False
com.securekids.launcher_reloaded.apk,False,N/A,N/A,True
com.innara.video.anakengglish.apk,False,N/A,N/A,True
us.mitene.apk,True,us.mitene/smali/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.kidslauncher.apk,True,com.kidslauncher/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
cz.digerati.babyfeed.apk,False,N/A,N/A,True
com.diveomedia.little.stories.bedtime.books.kids.apk,True,com.diveomedia.little.stories.bedtime.books.kids/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.rotation5.smoresup.apk,False,N/A,Cordova,False
com.doublerouble.alphabet.apk,False,N/A,N/A,False
com.mycity4kids.apk,True,com.mycity4kids/smali/androidx/renderscript/RenderScript.smali,N/A,True
jp.firstascent.cryanalyzer.apk,True,jp.firstascent.cryanalyzer/smali/io/realm/internal/RealmCore.smali,N/A,True
com.it.fairplay.apk,False,N/A,N/A,False
com.arolle.kidshome.apk,False,N/A,N/A,True
apprenticen.pornblockapp.apk,False,N/A,N/A,False
com.pink.piano.kid.flower.real.tiles.apk,True,com.pink.piano.kid.flower.real.tiles/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.realdream.kidspolice_fr.apk,False,N/A,N/A,False
com.bipfun.babymonitor.apk,True,com.bipfun.babymonitor/smali_classes2/org/abtollc/voip/SipService.smali,N/A,False
com.healofy.apk,True,com.healofy/smali/patient/healofy/vivoiz/com/healofy/HealofyApplication.smali,N/A,True
com.kidazzler.app.apk,True,com.kidazzler.app/smali/android/support/v8/renderscript/RenderScript.smali,N/A,True
com.madsaz.apk,False,N/A,N/A,False
com.widefi.safernet.apk,True,com.widefi.safernet/smali_classes2/de/blinkt/openvpn/core/OpenVPNThreadv3.smali,N/A,True
org.perun.treesfamilies.apk,False,N/A,N/A,True
tekcarem.gebeliktakibi.apk,False,N/A,N/A,True
com.safesurfer.apk,False,com.safesurfer/smali/com/sun/jna/Native.smali,N/A,True
com.lions.app.moderationkeeper.apk,False,N/A,N/A,False
com.messaparent.messa.apk,True,com.messaparent.messa/smali/io/liteglue/SQLiteConnector.smali,Cordova,False
ru.wochi.geoplaner.apk,False,ru.wochi.geoplaner/smali_classes2/org/apache/log4j/nt/NTEventLogAppender.smali,N/A,True
com.timskiy.pregnancy.apk,False,N/A,N/A,True
