Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
project.vivid.themesamgalaxy.apk,True,project.vivid.themesamgalaxy/smali/project/vivid/themesamgalaxy/references/Overlays.smali,N/A,True
com.privasee.magis.apk,True,com.privasee.magis/smali_classes2/com/lody/virtual/client/NativeEngine.smali,N/A,True
com.fourhorsemen.quickpanel.apk,False,N/A,N/A,False
com.vphone.launcher.apk,False,com.vphone.launcher/smali/com/xunlei/downloadlib/ReLinker.smali,N/A,False
com.jrj.androidtop.apk,False,N/A,N/A,True
com.launcher.theme.t211800565.apk,True,com.launcher.theme.t211800565/smali/com/cm/a/k.smali,N/A,False
com.happylife.callflash.apk,False,N/A,N/A,False
com.google.android.apps.wallpaper.apk,False,N/A,N/A,False
com.peake.oreolauncher.plah.apk,False,N/A,N/A,False
com.calculator.vault.apk,False,N/A,N/A,False
com.earserwith.stickermaker.apk,True,com.earserwith.stickermaker/smali_classes2/com/yalantis/ucrop/task/BitmapCropTask.smali,N/A,True
launcher.note10.launcher.apk,False,N/A,N/A,True
com.excel.apps.galaxy.launcher.apk,False,N/A,N/A,True
amirz.shade.apk,False,N/A,N/A,True
amirz.rootless.nexuslauncher.apk,False,N/A,N/A,False
com.aqreadd.lw.newyearscountdown.free.apk,False,N/A,N/A,True
com.mobitech.ilauncherhd.apk,False,N/A,N/A,True
com.deishelon.lab.huaweithememanager.apk,False,N/A,N/A,True
cool.jocker.clown.theme.apk,False,N/A,N/A,True
com.AquariumLiveWallpaper.apk,True,com.AquariumLiveWallpaper/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.whatsapp.wallpaper.apk,False,N/A,N/A,False
com.tohsoft.wallpaper.apk,False,N/A,N/A,True
vintage.icon.pack.ddt.apk,False,N/A,N/A,False
com.ancientdevelopers.naturewallpaperz.apk,False,N/A,N/A,True
com.ludashi.multspace.apk,True,com.ludashi.multspace/smali/com/lody/virtual/client/NativeEngine.smali,N/A,True
com.jb.gokeyboard.theme.timssfasttypingkeyboard.apk,True,com.jb.gokeyboard.theme.timssfasttypingkeyboard/smali/com/android/inputmethod/latin/utils/JniUtils.smali,N/A,True
com.xw.art.aquarium3d.apk,True,com.xw.art.aquarium3d/smali/com/easy3d/core/JellyFishNative.smali,N/A,False
gif.sticker.keyboard.apk,True,gif.sticker.keyboard/smali_classes2/com/faceunity/wrapper/faceunity.smali,N/A,False
com.app.cbbackground.apk,False,N/A,N/A,True
com.amber.launcher.skin.samsung.s7.apk,False,com.amber.launcher.skin.samsung.s7/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.gau.go.launcherex.theme.butterflytheme.apk,True,com.gau.go.launcherex.theme.butterflytheme/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A,True
com.tool.wallpaper.color3d.apk,True,com.tool.wallpaper.color3d/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.launcher.smart.android.apk,False,N/A,N/A,True
com.model.s10.launcher.apk,False,N/A,N/A,True
com.hd.wallpaper.backgrounds.apk,True,com.hd.wallpaper.backgrounds/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,True
glitter.live.wallpaper.apk,False,N/A,N/A,True
com.call.flash.color.phone.callerscreen.flashlight.apk,True,com.call.flash.color.phone.callerscreen.flashlight/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,False
com.minma.icon.free.apk,False,N/A,N/A,True
com.personlization.magiccall.apk,True,com.personlization.magiccall/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A,True
com.system.launcher.ios14.apk,False,N/A,N/A,True
com.simejikeyboard.apk,True,com.simejikeyboard/smali_classes2/com/facebook/common/h/a$a.smali,N/A,True
com.somen.customaod.apk,False,N/A,N/A,True
com.insta.bio.quotes.apk,True,com.insta.bio.quotes/smali/com/instabio/utility/ApiController.smali,N/A,True
launcher.pie.launcher.apk,False,N/A,N/A,True
com.hdwallpaper.wallpaper4k.apk,False,com.hdwallpaper.wallpaper4k/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.appzcloud.vidspeed.apk,True,com.appzcloud.vidspeed/smali_classes2/org/bytedeco/javacpp/Loader.smali,N/A,True
com.wallie.ledpurgemaskwallpaper.apk,False,N/A,N/A,False
com.microsoft.launcher.apk,True,com.microsoft.launcher/smali_classes2/com/microsoft/cortana/sdk/conversation/ConversationImpl$1.smali,N/A,True
com.androholic.amoledpix.apk,True,com.androholic.amoledpix/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
info.androidstation.hdwallpaper.apk,False,info.androidstation.hdwallpaper/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.zacharee1.systemuituner.apk,False,N/A,N/A,True
com.tomatomusic.newringtones.apk,True,com.tomatomusic.newringtones/smali/com/badlogic/gdx/backends/android/AndroidGL20.smali,N/A,False
com.mht.glasstone.apk,False,N/A,N/A,True
com.jzz.the.it.solutions.always.on.display.amoled.apk,False,N/A,N/A,True
com.mundoapp.corazoneswhatsapp.apk,True,com.mundoapp.corazoneswhatsapp/smali/pl/droidsonroids/gif/k.smali,N/A,True
com.sonyericsson.digitalclockwidget2.apk,False,N/A,N/A,False
com.wallpaper.parallax.live3d.apk,False,N/A,N/A,True
com.wave.livewallpaperpro.apk,True,com.wave.livewallpaperpro/smali_classes2/com/github/hiteshsondhi88/libffmpeg/ArmArchHelper.smali,N/A,False
de.spiritcroc.defaultdarktheme_oms.apk,True,de.spiritcroc.defaultdarktheme_oms/smali/substratum/theme/template/SubstratumLauncher.smali,N/A,False
com.ist.lwp.koipond.apk,True,com.ist.lwp.koipond/smali/com/ist/lwp/koipond/natives/NativeLibraryMethods.smali,N/A,False
com.nfwebdev.launcher10.apk,False,N/A,N/A,True
com.clear.superfunny.apk,False,N/A,N/A,True
samfont7.tta.apk,False,N/A,N/A,False
com.lbe.parallel.intl.apk,True,com.lbe.parallel.intl/smali/android/support/rastermill/FrameSequence.smali,N/A,True
tk.osmthemes.apk,False,N/A,N/A,True
com.treydev.msb.apk,False,N/A,N/A,True
is.shortcut.apk,True,is.shortcut/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A,True
com.gau.go.launcherex.theme.themeforsamsunggalaxyj2.apk,True,com.gau.go.launcherex.theme.themeforsamsunggalaxyj2/smali/com/tmestudios/livewallpaper/Native.smali,N/A,True
mobi.infolife.ezweather.locker.fingerprint.new2018.finger.apk,True,mobi.infolife.ezweather.locker.fingerprint.new2018.finger/smali_classes3/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
emui.en.com.pitch_black.apk,False,N/A,N/A,False
com.cloneapp.parallelspace.dualspace.apk,True,com.cloneapp.parallelspace.dualspace/smali/com/fr/ut/FixRef.smali,N/A,True
com.FrozenKeyboard.apk,True,com.FrozenKeyboard/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.mi.android.go.globallauncher.apk,False,com.mi.android.go.globallauncher/smali_classes35/com/miui/core/graphics/BitmapFactory.smali,N/A,False
hd.uhd.wallpapers.best.quality.apk,False,N/A,N/A,True
com.Nofal.ArabicStickersApp.apk,True,com.Nofal.ArabicStickersApp/smali/com/facebook/soloader/SoLoader.smali,N/A,True
mobi.infolife.ezweather.locker.face.lockscreen.apk,True,mobi.infolife.ezweather.locker.face.lockscreen/smali_classes3/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.BorderLight.LED.Color.Live.Wallpaper.apk,False,N/A,N/A,True
keyboard.theme.os11.apk,True,keyboard.theme.os11/smali/com/cm/a/k.smali,N/A,False
com.parallax3d.hd.live.wallpaper.apk,False,N/A,N/A,True
com.james.status.apk,False,N/A,N/A,False
com.bamboo.gmsp.apk,False,N/A,N/A,True
com.aplus.miui10.launcher.apk,False,N/A,N/A,True
com.ovidos.android.kitkat.base.launcher3.apk,False,N/A,N/A,True
com.logan20.fonts_letrasparawhatsapp.apk,False,N/A,N/A,True
com.xda.nobar.apk,False,N/A,N/A,True
com.wallpaper.wallpapers.fortnite.apk,True,com.wallpaper.wallpapers.fortnite/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
com.nut.inc.wakeyboard.apk,True,com.nut.inc.wakeyboard/smali_classes2/com/google/android/gms/internal/vision/ix.smali,N/A,True
com.mobint.hololauncher.hd.apk,False,N/A,N/A,False
cute.purple.girl.theme.apk,True,cute.purple.girl.theme/smali/com/cm/a/l.smali,N/A,False
com.earthwallpaperr.iphonewallpapers.apk,True,com.earthwallpaperr.iphonewallpapers/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A,True
es.rafalense.themes.apk,False,N/A,N/A,True
com.jb.gokeyboardpro.apk,True,com.jb.gokeyboardpro/smali_classes2/pl/droidsonroids/gif/h.smali,N/A,True
com.vinwap.hologram.apk,False,N/A,N/A,False
