Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.teacapps.barcodescanner.apk,False,com.teacapps.barcodescanner/smali/com/google/android/gms/vision/EngineManager.smali,N/A,True
goko.tvs.apk,False,N/A,N/A,False
com.entel.movil.apk,True,com.entel.movil/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.transsion.carlcare.apk,True,com.transsion.carlcare/smali/pl/droidsonroids/gif/q.smali,N/A,True
cz.nevapv.NevaTech.apk,True,cz.nevapv.NevaTech/smali/com/embarcadero/rtl/ProxyService.smali,N/A,False
com.united.recovre.apk,False,N/A,N/A,False
notion.id.apk,True,notion.id/smali/com/facebook/soloader/SoLoader.smali,React,True
com.adeel.applock.apk,True,com.adeel.applock/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
com.koushikdutta.inkwire.apk,True,com.koushikdutta.inkwire/smali/org/webrtc/Metrics.smali,N/A,False
app.greyshirts.firewall.apk,True,app.greyshirts.firewall/smali/app/greyshirts/firewall/app/AppInfo.smali,N/A,False
com.digilocker.android.apk,True,com.digilocker.android/smali/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.ea.image.text.apk,False,N/A,N/A,True
com.samsung.android.email.provider.apk,False,com.samsung.android.email.provider/smali_classes2/com/sec/android/smimeutil/NativeSMIMEHelper.smali,N/A,True
com.fynsystems.fyngeez.apk,True,com.fynsystems.fyngeez/smali/c/b/a/e.smali,N/A,True
com.adobe.fas.apk,True,com.adobe.fas/smali/org/opencv/android/StaticHelper.smali,N/A,True
com.fractal360.go.launcherex.theme.gfl.apk,False,N/A,N/A,False
com.blissotech.solutions.myanmar.keyboard.apk,False,N/A,N/A,True
com.google.android.apps.enterprise.cpanel.apk,False,N/A,N/A,True
com.realvnc.viewer.android.apk,True,com.realvnc.viewer.android/smali/com/realvnc/viewer/android/model/cb.smali,N/A,False
com.office.viewer.document.manager.pdf.excelviewer.apk,True,com.office.viewer.document.manager.pdf.excelviewer/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A,True
com.ticktick.task.apk,True,com.ticktick.task/smali_classes2/com/ticktick/task/utils/TitleParserLib.smali,N/A,True
com.genie9.gcloudbackup.apk,True,com.genie9.gcloudbackup/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,False
com.samsung.android.spdfnote.apk,True,com.samsung.android.spdfnote/smali/com/samsung/android/sdk/pen/Spen.smali,N/A,False
org.documentfoundation.libreoffice.apk,True,org.documentfoundation.libreoffice/smali/org/libreoffice/kit/NativeLibLoader.smali,N/A,False
com.koushikdutta.vysor.apk,False,N/A,N/A,True
com.luckydeveloper.apkshare.apk,False,N/A,N/A,True
mobi.freeapps.flashlight.free.apk,False,N/A,N/A,True
com.infraware.office.reader.team.apk,True,com.infraware.office.reader.team/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.Myanmar.Calendar100Years2.apk,True,com.Myanmar.Calendar100Years2/smali/com/yoyogames/runner/RunnerJNILib.smali,N/A,True
com.zerodesktop.appdetox.qualitytime.apk,True,com.zerodesktop.appdetox.qualitytime/smali_classes2/com/google/firebase/ml/naturallanguage/translate/internal/TranslateJni.smali,N/A,True
tw.com.daxia.virtualsoftkeys.apk,False,N/A,N/A,False
uk.co.keepawayfromfire.screens.apk,False,N/A,N/A,False
fantasticappsstore.apkeditor.apk,False,fantasticappsstore.apkeditor/smali_classes3/org/apache/log4j/nt/NTEventLogAppender.smali,N/A,True
com.alarmclock.xtreme.free.apk,False,com.alarmclock.xtreme.free/smali/com/google/android/gms/vision/EngineManager.smali,N/A,True
in.gov.umang.negd.g2c.apk,False,in.gov.umang.negd.g2c/smali_classes2/org/amse/ys/zip/DeflatingDecompressor.smali,N/A,True
com.google.android.apps.ads.publisher.apk,False,N/A,N/A,False
com.supervpn.vpn.free.proxy.apk,True,com.supervpn.vpn.free.proxy/smali_classes2/org/strongswan/android/logic/CharonVpnService.smali,N/A,True
com.appgenix.bizcal.apk,False,N/A,N/A,True
dxidev.openhiddensettings.apk,False,N/A,N/A,False
com.docxreader.docx.reader.apk,True,com.docxreader.docx.reader/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A,True
com.STSelfCare.STApp.apk,True,com.STSelfCare.STApp/smali/com/embarcadero/rtl/ProxyService.smali,N/A,False
com.jotterpad.x.apk,True,com.jotterpad.x/smali_classes2/org/mozilla/universalchardet/UniversalDetector.smali,N/A,True
com.wwtop.premiumvpn.apk,True,com.wwtop.premiumvpn/smali/de/blinkt/openvpn/core/NativeUtils.smali,N/A,False
com.trimble.buildings.sketchup.apk,True,com.trimble.buildings.sketchup/smali_classes2/com/unity3d/player/UnityPlayer.smali,N/A,True
com.speaktranslate.tts.speechtotext.voicetyping.translator.apk,True,com.speaktranslate.tts.speechtotext.voicetyping.translator/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
com.ascal.pdfreader.pdfviewer.apk,True,com.ascal.pdfreader.pdfviewer/smali_classes2/org/ebookdroid/EBookDroidLibraryLoader.smali,N/A,True
com.htc.filemanager.apk,False,N/A,N/A,False
com.smartwho.SmartQuickSettings.apk,False,com.smartwho.SmartQuickSettings/smali/com/smartwho/SmartQuickSettings/util/d.smali,N/A,True
com.microsoft.todos.apk,False,N/A,N/A,True
com.appshare.shrethis.appshare.apk,False,N/A,N/A,True
com.google.android.inputmethod.japanese.apk,True,com.google.android.inputmethod.japanese/smali/bco.smali,N/A,False
com.fooview.android.fooview.apk,True,com.fooview.android.fooview/smali/com/googlecode/tesseract/android/TessBaseAPI.smali,N/A,False
com.adobe.cc.apk,True,com.adobe.cc/smali_classes2/com/facebook/soloader/SoLoader.smali,N/A,True
ridmik.keyboard.apk,True,ridmik.keyboard/smali/ridmik/keyboard/BanglaPhoneticFixer.smali,N/A,True
np.com.njs.autophotos.apk,True,np.com.njs.autophotos/smali/android/os/MemoryManager.smali,N/A,True
com.ulsan.androidtools.colorfulphonecall.apk,False,N/A,N/A,True
kdev.restoredelete.photos.apk,False,kdev.restoredelete.photos/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.dewmobile.kuaiya.web.apk,True,com.dewmobile.kuaiya.web/smali_classes2/pl/droidsonroids/gif/q.smali,N/A,True
com.henrythompson.quoda.apk,False,N/A,N/A,False
com.symcoding.widget.stickynotes.apk,False,N/A,N/A,True
filemanager.fileexplorer.manager.apk,False,N/A,N/A,True
com.zap.surveys.apk,False,N/A,N/A,True
com.customsolutions.android.alexa.apk,True,com.customsolutions.android.alexa/smali_classes2/edu/cmu/pocketsphinx/SpeechRecognizerSetup.smali,N/A,True
com.emeint.android.myservices.apk,True,com.emeint.android.myservices/smali/io/card/payment/CardScanner.smali,N/A,False
com.pa.gs.ai.apk,True,com.pa.gs.ai/smali/edu/cmu/pocketsphinx/SpeechRecognizerSetup.smali,N/A,False
net.omobio.robisc.apk,False,N/A,N/A,True
com.andromium.os.apk,True,com.andromium.os/smali_classes2/io/realm/internal/RealmCore.smali,N/A,False
com.copy.paste.ocr.screen.text.copypastetrial.apk,False,N/A,N/A,True
com.gingersoftware.android.keyboard.apk,True,com.gingersoftware.android.keyboard/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.mventus.selfcare.activity.apk,True,com.mventus.selfcare.activity/smali_classes2/za/co/twyst/tbxml/TBXML.smali,Cordova,True
com.apretaste.apretaste.apk,True,com.apretaste.apretaste/smali/ca/psiphon/PsiphonTunnel.smali,N/A,True
com.wsandroid.suite.apk,True,com.wsandroid.suite/smali_classes2/com/mcafee/mcs/McsBase.smali,N/A,True
com.martianmode.applock.apk,True,com.martianmode.applock/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A,True
com.wanam.apk,False,N/A,N/A,True
host.exp.exponent.apk,True,host.exp.exponent/smali_classes2/com/facebook/soloader/SoLoader.smali,React,True
com.deuxvelva.satpolapp.apk,False,N/A,N/A,True
net.flashsoft.flashvpn.activity.apk,True,net.flashsoft.flashvpn.activity/smali/org/novatech/core/logic/CharonVpnService.smali,N/A,True
mobi.infolife.uninstaller.apk,False,mobi.infolife.uninstaller/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.foxit.mobile.pdf.lite.apk,True,com.foxit.mobile.pdf.lite/smali_classes2/com/luratech/android/appframework/JniService.smali,N/A,True
pl.mkexplorer.kormateusz.apk,False,N/A,N/A,False
greenway_myanmar.org.apk,True,greenway_myanmar.org/smali_classes2/com/wonderkiln/camerakit/BitmapOperator.smali,N/A,True
org.cosinus.launchertv.apk,False,N/A,N/A,False
com.rhythm.hexise.inst.apk,False,N/A,N/A,False
de.m_lang.leena.apk,False,N/A,N/A,False
org.ebookdroid.apk,True,org.ebookdroid/smali/org/ebookdroid/EBookDroidApp.smali,N/A,False
com.gesture.action.apk,False,N/A,N/A,False
com.vavatch.www.proportiongridmaker.apk,False,N/A,N/A,True
com.lock_screen.finger_print.apk,True,com.lock_screen.finger_print/smali/com/yalantis/ucrop/task/BitmapCropTask.smali,N/A,False
com.james.SmartUninstaller.apk,False,com.james.SmartUninstaller/smali/com/james/SmartUninstaller/util/d.smali,N/A,True
com.root.hackapp.apk,True,com.root.hackapp/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,False
com.x8bit.bitwarden.apk,True,com.x8bit.bitwarden/smali/mono/MonoPackageManager.smali,Mono,True
com.stc.apk,True,com.stc/smali/io/card/payment/CardScanner.smali,N/A,True
com.verizon.contenttransfer.apk,False,N/A,N/A,True
com.redlee90.imagekitchenforandroid.apk,True,N/A,N/A,False
com.onecwearable.keyboard.apk,True,com.onecwearable.keyboard/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.iwatsolutions.loadup.apk,True,com.iwatsolutions.loadup/smali/com/iwatsolutions/loadup/NativePro.smali,N/A,False
com.hound.android.app.apk,True,com.hound.android.app/smali_classes2/com/hound/android/libphs/MultiPhraseSpotterNative.smali,N/A,True
ru.mail.cloud.apk,True,ru.mail.cloud/smali/com/facebook/crypto/c/c.smali,N/A,True
com.google.android.apps.docs.editors.docs.apk,True,com.google.android.apps.docs.editors.docs/smali_classes2/pkg.smali,N/A,True
mx.com.t360.mobile.activities.apk,False,N/A,N/A,True
com.wdc.wd2go.apk,True,com.wdc.wd2go/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A,False
com.codeweavers.cxoffice.apk,True,N/A,N/A,False
com.jrummy.root.browserfree.apk,True,com.jrummy.root.browserfree/smali/net/sf/sevenzipjbinding/SevenZip.smali,N/A,False
com.privacystar.android.metro.apk,True,com.privacystar.android.metro/smali/com/tmobile/tmoid/helperlib/sit/eap/EapAkaCommon.smali,N/A,True
yqtrack.app.apk,True,yqtrack.app/smali/io/flutter/view/FlutterMain.smali,Flutter,True
com.mtn1app.apk,False,N/A,N/A,True
com.google.android.apps.cloudprint.apk,False,N/A,N/A,False
com.simplylab.android.numbber.apk,False,N/A,N/A,True
com.google.android.apps.subscriptions.red.apk,False,N/A,N/A,True
com.docxviewer.apk,True,com.docxviewer/smali/pl/droidsonroids/gif/GifInfoHandle.smali,N/A,True
com.microsoft.office.outlook.apk,True,com.microsoft.office.outlook/smali_classes2/com/facebook/soloader/SoLoader.smali,React,True
me.bluemail.mail.apk,True,me.bluemail.mail/smali_classes3/pl/droidsonroids/gif/GifInfoHandle.smali,N/A,False
com.asus.asusincallui.apk,False,N/A,N/A,False
com.bitel.selfcare.apk,True,com.bitel.selfcare/smali_classes2/com/badlogic/gdx/utils/SharedLibraryLoader.smali,N/A,True
com.google.android.apps.docs.apk,True,com.google.android.apps.docs/smali_classes2/mpq.smali,N/A,True
com.psafe.cleaner.apk,True,com.psafe.cleaner/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A,True
com.speedsoftware.explorer.apk,False,N/A,N/A,True
com.hideitpro.app.protect.apk,False,N/A,N/A,False
us.itools.gamebooster.ram.apk,False,us.itools.gamebooster.ram/smali_classes2/com/tapjoy/Tapjoy.smali,N/A,True
com.cyou.privacysecurity.apk,False,N/A,N/A,False
net.xmind.doughnut.apk,False,N/A,N/A,True
com.teamviewer.quicksupport.addon.samsung.apk,True,com.teamviewer.quicksupport.addon.samsung/smali/o/ah.smali,N/A,False
io.wifimap.wifimap.apk,True,io.wifimap.wifimap/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.sensopia.magicplan.apk,True,com.sensopia.magicplan/smali_classes2/com/sensopia/magicplan/MPApplication.smali,N/A,True
net.kreosoft.android.mynotes.apk,False,N/A,N/A,False
ar.gob.argentinagobar.apk,True,ar.gob.argentinagobar/smali_classes2/magick/Magick.smali,N/A,True
com.leavjenn.longshot.apk,True,com.leavjenn.longshot/smali/com/leavjenn/longshot/Stitcher.smali,N/A,True
com.finjan.securebrowser.apk,True,com.finjan.securebrowser/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,False
com.google.android.apps.enterprise.dmagent.apk,False,N/A,N/A,True
com.microsoft.office.word.apk,True,com.microsoft.office.word/smali_classes2/com/microsoft/office/plat/MSOClassLoader.smali,React,True
com.tricolorcat.calculator.apk,False,N/A,N/A,False
com.topphotoeditorapp.statuswhatsapp.apk,False,N/A,N/A,True
com.officetool.pdfreader2018.pdfviewer.apk,True,com.officetool.pdfreader2018.pdfviewer/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A,True
ridmik.keyboard.classic.apk,True,ridmik.keyboard.classic/smali/net/hasnath/android/keyboard/BinaryDictionary.smali,N/A,True
com.iphoneringtone.ringtoneiphone.apk,True,com.iphoneringtone.ringtoneiphone/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.microsoft.skydrive.apk,True,com.microsoft.skydrive/smali_classes2/com/microsoft/crossplaform/interop/i.smali,React,True
cz.mobilesoft.appblock.apk,False,N/A,N/A,True
com.istudio.flashnotification.apk,False,com.istudio.flashnotification/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A,True
com.easyinc.pdfviewer.apk,True,com.easyinc.pdfviewer/smali/com/shockwave/pdfium/PdfiumCore.smali,N/A,True
com.apowersoft.screenrecord.apk,True,com.apowersoft.screenrecord/smali/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,False
com.flyperinc.flychat.apk,False,N/A,N/A,False
com.wunderkinder.wunderlistandroid.apk,True,com.wunderkinder.wunderlistandroid/smali/android/support/v8/renderscript/RenderScript.smali,N/A,False
com.mint.keyboard.apk,True,com.mint.keyboard/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.noxgroup.app.filemanager.apk,True,com.noxgroup.app.filemanager/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.lwfd.indonesiavpn.apk,False,N/A,N/A,True
taxi.android.driver.apk,True,taxi.android.driver/smali/com/google/android/apps/gmm/map/util/jni/NativeHelper.smali,N/A,True
com.aa.newzawgyi.keyboard.apk,False,N/A,N/A,True
mobi.browser.flashfox.apk,True,mobi.browser.flashfox/smali_classes2/org/mozilla/gecko/background/nativecode/NativeCrypto.smali,N/A,False
com.dentwireless.dentapp.apk,True,com.dentwireless.dentapp/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.google.android.apps.docs.editors.sheets.apk,True,com.google.android.apps.docs.editors.sheets/smali_classes2/com/google/android/libraries/drive/core/impl/cello/jni/g.smali,N/A,True
com.globile.mycontactbackup.apk,False,N/A,N/A,False
all.in.one.calculator.apk,False,N/A,N/A,True
com.sec.android.inputmethod.apk,True,com.sec.android.inputmethod/smali_classes2/tz.smali,N/A,False
com.khmer.keyboard.khmer.language.keyboard.app.apk,False,N/A,N/A,True
com.appsstyle.ukrainian.keyboard.apk,False,N/A,N/A,False
com.boostedproductivity.app.apk,False,N/A,N/A,True
com.innover.imagetopdf.apk,False,N/A,N/A,True
com.fawazapp.instadown2.apk,False,com.fawazapp.instadown2/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
