Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.ebay.gumtree.au.apk,True,com.ebay.gumtree.au/smali/com/comscore/util/setup/Setup.smali,N/A,True
com.getcents.app.apk,True,com.getcents.app/smali/com/facebook/soloader/SoLoader.smali,React,True
com.supreme.mobiles.apk,False,N/A,Cordova,False
jp.co.crooz.android.snaps.apk,True,jp.co.crooz.android.snaps/smali_classes2/jp/co/crooz/android/snaps/MainNativeActivity.smali,N/A,False
com.nordstrom.app.apk,True,com.nordstrom.app/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A,True
de.zalando.mobile.apk,True,de.zalando.mobile/smali/com/facebook/soloader/SoLoader.smali,N/A,True
com.etsy.android.apk,True,com.etsy.android/smali/com/bugsnag/android/ndk/NativeBridge.smali,N/A,True
com.vova.android.apk,True,com.vova.android/smali/g/i/a/d.smali,React,True
com.lezasolutions.boutiqaat.apk,True,com.lezasolutions.boutiqaat/smali_classes2/com/lezasolutions/boutiqaat/rest/ApiClient.smali,N/A,True
com.torg.torg.apk,False,N/A,N/A,True
com.hiso.user.apk,False,N/A,N/A,True
com.rates.android.apk,True,com.rates.android/smali/android/support/v8/renderscript/RenderScript.smali,React,True
com.erafone.bct.lk6.apk,True,com.erafone.bct.lk6/smali/com/facebook/soloader/SoLoader.smali,React,True
com.media.markt.apk,True,com.media.markt/smali_classes2/io/flutter/view/FlutterMain.smali,Flutter,True
de.kleiderkreisel.apk,False,N/A,N/A,True
com.shopee.sg.apk,True,com.shopee.sg/smali_classes2/com/modiface/mfemakeupkit/utils/q.smali,React,True
com.lightinthebox.android.apk,True,com.lightinthebox.android/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,True
com.oltio.capitec.masterpass.apk,True,com.oltio.capitec.masterpass/smali/io/card/payment/CardScanner.smali,N/A,True
com.depop.apk,True,com.depop/smali_classes9/com/depop/hwe$a.smali,N/A,True
com.shopee.th.apk,True,com.shopee.th/smali_classes2/com/facebook/soloader/nativeloader/SystemDelegate.smali,React,True
com.amazon.windowshop.apk,True,com.amazon.windowshop/smali_classes8/com/amazon/wakeword/SystemLibraryLoader.smali,"React, Cordova",True
com.groupon.apk,True,com.groupon/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.shangxin.ajmall.apk,True,com.shangxin.ajmall/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
allo.ua.apk,False,N/A,N/A,True
com.olx.ssa.za.apk,False,N/A,N/A,True
com.simbirsoft.mobile.giftclub.apk,True,com.simbirsoft.mobile.giftclub/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.qiwibonus.apk,True,com.qiwibonus/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,False
io.thatisnomoon.ambidexter.apk,False,N/A,N/A,True
com.gardrops.apk,False,N/A,N/A,True
com.molo.dominos.apk,True,com.molo.dominos/smali_classes2/io/card/payment/CardScanner.smali,N/A,True
com.digitalcentury.pocketflip.apk,False,N/A,N/A,False
com.goswak.groupby.apk,True,com.goswak.groupby/smali/com/jg/ce/Interface2.smali,N/A,True
fi.android.takealot.apk,False,N/A,N/A,True
de.bonprix.apk,False,N/A,N/A,True
com.privalia.privalia.apk,False,N/A,N/A,True
com.kupujemprodajem.android.apk,False,N/A,N/A,True
com.coupang.mobile.apk,True,com.coupang.mobile/smali/com/barun/appiron/android/AppIron.smali,N/A,True
com.appemirates.clubapparel.apk,True,com.appemirates.clubapparel/smali_classes2/net/sourceforge/zbar/Symbol.smali,N/A,True
org.tapaz.android.apk,True,org.tapaz.android/smali/com/facebook/soloader/SoLoader.smali,React,True
br.com.lardev.android.rastreiocorreios.apk,False,N/A,N/A,False
com.shopee.vn.apk,True,com.shopee.vn/smali_classes2/com/facebook/soloader/nativeloader/SystemDelegate.smali,React,True
com.faberlic.apk,False,N/A,N/A,True
br.project.pine.apk,False,N/A,N/A,True
com.marktguru.android.apk,False,N/A,N/A,True
networld.price.app.apk,False,networld.price.app/smali/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.poqstudio.app.platform.boohoo.apk,True,com.poqstudio.app.platform.boohoo/smali/io/card/payment/CardScanner.smali,N/A,True
com.flexiplan.droidbd.apk,True,com.flexiplan.droidbd/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A,True
de.zalando.lounge.apk,True,de.zalando.lounge/smali/com/adjust/sdk/sigv2/Crypt.smali,N/A,True
ru.yandex.market.apk,False,ru.yandex.market/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.wishabi.flipp.apk,False,N/A,N/A,True
