Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.lavendrapp.lavendr.apk,False,N/A,N/A,True
com.ashabe.www.apk,True,com.ashabe.www/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,React,True
com.gogolive.apk,True,com.gogolive/smali_classes47/c/t/m/g/eh.smali,N/A,False
com.google.android.apps.blogger.apk,True,com.google.android.apps.blogger/smali/io/flutter/embedding/engine/loader/FlutterLoader.smali,Flutter,True
com.narvii.amino.x102292403.apk,True,com.narvii.amino.x102292403/smali_classes2/com/narvii/chat/audio/Resampler.smali,N/A,True
com.igg.android.wegamers.apk,True,com.igg.android.wegamers/smali/com/igg/android/im/jni/JavaCallC.smali,N/A,True
com.connected2.ozzy.c2m.apk,True,com.connected2.ozzy.c2m/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,N/A,True
net.jhutty.kanixplay.apk,False,net.jhutty.kanixplay/smali/SQLite/Database.smali,N/A,True
com.gogii.textplus.apk,True,com.gogii.textplus/smali_classes2/com/google/android/gms/predictondevice/jni/PredictorJni.smali,N/A,True
com.michatapp.im.lite.apk,True,com.michatapp.im.lite/smali_classes2/RPb.smali,Cordova,True
com.chatgum.chat.rooms.apk,True,com.chatgum.chat.rooms/smali/com/mobgum/android/MainActivity.smali,N/A,False
com.infiniti.kalimat.apk,False,N/A,N/A,False
ve.jmtsolutiontechnologyca.veqr.apk,False,ve.jmtsolutiontechnologyca.veqr/smali/com/google/android/gms/vision/EngineManager.smali,N/A,False
com.plato.android.apk,True,com.plato.android/smali_classes2/com/playchat/utils/PrimeFactorize.smali,N/A,True
com.uc.vmlite.apk,True,com.uc.vmlite/smali/com/uc/vmlite/manager/d.smali,N/A,False
com.ss.android.ugc.boom.apk,True,com.ss.android.ugc.boom/smali_classes8/pl/droidsonroids/gif/f.smali,N/A,True
com.likee.video.downloader.like.apk,False,N/A,N/A,True
com.instagram.android.apk,True,com.instagram.android/smali/X/0E2.smali,React,True
me.dingtone.app.im.apk,True,me.dingtone.app.im/smali_classes2/com/crashlytics/android/ndk/JniNativeApi.smali,N/A,False
com.aaalive.live.apk,True,com.aaalive.live/smali_classes2/com/ksy/recordlib/service/core/KsyRecordSender.smali,N/A,True
