Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.asus.filemanager.apk,False,N/A,N/A,False
multi.parallel.dualspace.cloner.apk,True,multi.parallel.dualspace.cloner/smali/com/polestar/clone/client/NativeEngine.smali,N/A,True
com.miui.huanji.apk,True,com.miui.huanji/smali/com/xiaomi/market/sdk/Patcher.smali,N/A,False
com.videosniffer.download.videodownloader.apk,True,com.videosniffer.download.videodownloader/smali/com/polar/browser/jni/NativeManager.smali,N/A,False
com.royal.telesafe.apk,True,com.royal.telesafe/smali/com/unity3d/player/UnityPlayer.smali,N/A,True
me.magicvpn.app.apk,True,me.magicvpn.app/smali_classes2/com/tencent/mmkv/MMKV.smali,N/A,True
com.google.android.apps.nexuslauncher.apk,False,N/A,N/A,False
com.modsinstallernet.mods.installer.apk,True,com.modsinstallernet.mods.installer/smali/com/stub/StubApp.smali,N/A,False
eu.tsoml.graphicssettings.apk,False,N/A,N/A,True
com.apple.movetoios.apk,False,N/A,N/A,False
com.screenmirrorapp.apk,False,N/A,N/A,False
com.get.bestvpn.apk,False,N/A,N/A,False
com.mediamushroom.copymydata.apk,False,N/A,N/A,False
com.artoftunnel.shelltun.apk,True,com.artoftunnel.shelltun/smali/com/artoftunnel/headertun/Tun2Socks.smali,N/A,True
com.chengcheng.FreeVPN.apk,False,N/A,N/A,True
com.cetusplay.remotephone.apk,False,com.cetusplay.remotephone/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.fast.free.unblock.thunder.vpn.apk,True,com.fast.free.unblock.thunder.vpn/smali/com/signallab/lib/SignalHelper.smali,N/A,False
com.appspot.app58us.backkey.apk,False,N/A,N/A,False
free.vpn.unblock.proxy.turbovpn.apk,True,free.vpn.unblock.proxy.turbovpn/smali/co/allconnected/lib/strongswan/CharonVpnServiceProxy.smali,N/A,True
com.boloorian.android.kurdishkeyboard.apk,False,N/A,N/A,True
com.google.ar.core.apk,True,com.google.ar.core/smali/bri.smali,N/A,True
sami.pro.keyboard.free.apk,True,sami.pro.keyboard.free/smali/com/facebook/soloader/SoLoader.smali,N/A,False
com.craftgamedev.cleomodmaster.apk,False,N/A,N/A,True
com.antivirus.apk,True,N/A,N/A,True
com.google.android.apps.searchlite.apk,True,com.google.android.apps.searchlite/smali_classes2/uaq.smali,N/A,True
com.oasisfeng.greenify.apk,False,N/A,N/A,True
photography.blackgallery.android.apk,True,photography.blackgallery.android/smali_classes2/photography/blackgallery/android/editor/ImageEditorActivity.smali,N/A,True
com.ludashi.superboost.apk,True,com.ludashi.superboost/smali/com/mintegral/msdk/mtgdownload/a.smali,N/A,True
jettoast.menubutton.apk,False,N/A,N/A,True
com.lonelycatgames.Xplore.apk,True,com.lonelycatgames.Xplore/smali/com/lcg/exoplayer/audio/AudioTrack.smali,N/A,True
com.marks.vpn.apk,True,com.marks.vpn/smali/de/blinkt/openvpn/core/NativeUtils.smali,N/A,False
stericson.busybox.apk,False,N/A,N/A,False
com.google.android.calculator.apk,False,N/A,N/A,True
com.ghostapps.guidelinetool.apk,False,N/A,N/A,True
com.update.serviceinfo.error2019.apk,False,N/A,N/A,True
me.twrp.twrpapp.apk,False,N/A,N/A,False
com.phototools.freeup.space.turbo.speed.gamebooster.apk,False,N/A,N/A,True
com.chaozhuo.gameassistant.apk,True,com.chaozhuo.gameassistant/smali/andhook/lib/AndHook.smali,N/A,False
com.pmi.store.PMIAPPM05578.apk,True,com.pmi.store.PMIAPPM05578/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
io.mrarm.mctoolbox.apk,True,N/A,N/A,True
com.protonvpn.android.apk,True,com.protonvpn.android/smali_classes2/go/LoadJNI.smali,N/A,True
com.telkomsel.telkomselcm.apk,True,com.telkomsel.telkomselcm/smali_classes2/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A,True
smart.calculator.gallerylock.apk,False,N/A,N/A,False
com.vidus.tubebus.apk,True,com.vidus.tubebus/smali/com/vidus/ffmpeg/FFmpegCommand.smali,N/A,True
com.samsung.android.app.watchmanager.apk,False,N/A,N/A,True
com.gombosdev.ampere.apk,False,N/A,N/A,True
co.infinitysoft.vpn360.apk,True,co.infinitysoft.vpn360/smali/com/anchorfree/tools/Celper.smali,N/A,True
co.acnet.hotvpn.apk,True,co.acnet.hotvpn/smali/co/acnet/libopenvpn/core/NativeUtils.smali,N/A,True
ru.yandex.searchplugin.apk,True,ru.yandex.searchplugin/smali_classes2/ajd.smali,N/A,True
com.ledflashlight.call.apk,False,N/A,N/A,True
com.tlsvpn.tlstunnel.apk,True,com.tlsvpn.tlstunnel/smali_classes2/com/tlsvpn/tlstunnel/servico/TLSVPN.smali,N/A,True
com.ehawk.proxy.freevpn.apk,True,com.ehawk.proxy.freevpn/smali_classes2/org/strongswan/android/logic/CharonVpnService.smali,N/A,True
com.teammt.gmanrainy.emuitweaker.apk,False,N/A,N/A,True
kika.emoji.keyboard.teclados.clavier.apk,True,kika.emoji.keyboard.teclados.clavier/smali/im/amomo/andun7z/AndUn7z.smali,N/A,True
com.tafayor.killall.apk,False,N/A,N/A,True
com.google.android.marvin.talkback.apk,False,N/A,N/A,True
com.joeykrim.rootcheck.apk,False,N/A,N/A,True
free.vpn.unblock.proxy.securevpn.apk,True,free.vpn.unblock.proxy.securevpn/smali_classes2/org/strongswan/android/logic/CharonVpnService.smali,N/A,True
com.antutu.ABenchMark.apk,True,com.antutu.ABenchMark/smali_classes2/adb.smali,N/A,True
com.litetools.cleaner.apk,False,N/A,N/A,False
com.speedify.speedifyandroid.apk,True,com.speedify.speedifyandroid/smali/com/speedify/speedifysdk/NativeCalls.smali,N/A,True
com.parallel.space.pro.apk,True,com.parallel.space.pro/smali/android/support/rastermill/FrameSequence.smali,N/A,False
