Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.wego.android.apk,False,N/A,N/A,True
com.adan.salat.salat.first.apk,False,com.adan.salat.salat.first/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.discoverukraine.currencyconverter.apk,False,N/A,N/A,True
br.com.app.gpu1768567.gpu960ec89899e27a9712f115801dc3c629.apk,True,br.com.app.gpu1768567.gpu960ec89899e27a9712f115801dc3c629/smali/io/liteglue/SQLiteConnector.smali,Cordova,False
com.carnival.android.apk,True,com.carnival.android/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A,True
elbanna.khaled.egytrains.apk,False,N/A,N/A,True
kupchinskii.ruslan.gpsup.apk,False,N/A,N/A,False
army.men.toys.gta.ganagster.mafia.crime.apk,True,army.men.toys.gta.ganagster.mafia.crime/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.hotels.WGOLD.apk,False,N/A,N/A,False
com.forandroid.streetview.liveearth.maps.gps.routefinder.navigation.apk,False,com.forandroid.streetview.liveearth.maps.gps.routefinder.navigation/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.walletunion.wallet.apk,True,com.walletunion.wallet/smali/com/facebook/soloader/SoLoader.smali,N/A,False
com.united.mobile.android.apk,True,com.united.mobile.android/smali_classes2/com/jumio/core/environment/Environment.smali,N/A,True
com.pickme.driver.byod.apk,False,N/A,N/A,True
za.co.dinokengreserve.androidapp.apk,False,N/A,N/A,True
com.westjet.apk,True,com.westjet/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.goviet.driver.bike.apk,True,com.goviet.driver.bike/smali/com/google/android/apps/gmm/map/util/jni/NativeHelper.smali,N/A,False
in.goindigo.android.apk,True,in.goindigo.android/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
com.reddoorz.app.apk,True,com.reddoorz.app/smali/androidx/renderscript/RenderScript.smali,N/A,True
com.smartcompass.weatherdaily.maprouter.apk,False,N/A,N/A,True
com.outdooractive.Outdooractive.apk,True,com.outdooractive.Outdooractive/smali/com/facebook/b/k.smali,N/A,True
de.hafas.android.nrw.apk,True,de.hafas.android.nrw/smali/de/hafas/data/j/a.smali,React,True
com.cyberline.tcs.apk,False,N/A,N/A,False
com.jetblue.JetBlueAndroid.apk,True,com.jetblue.JetBlueAndroid/smali_classes2/com/jumio/core/environment/Environment.smali,N/A,True
us.mobilepassport.apk,True,us.mobilepassport/smali/org/opencv/android/StaticHelper.smali,N/A,True
com.Daylight.EzLinkAndroid.apk,True,com.Daylight.EzLinkAndroid/smali/com/facebook/soloader/SoLoader.smali,React,True
acefactor.ayoba.android.apk,True,acefactor.ayoba.android/smali/com/facebook/soloader/SoLoader.smali,React,True
de.bmw.connected.apk,True,de.bmw.connected/smali/com/bmwgroup/connected/core/audio/AudioModule.smali,N/A,True
com.mobike.global.apk,True,com.mobike.global/smali/com/baidu/lbsyun/LBSCoordTransUtil.smali,N/A,True
com.haz.prayer.apk,False,N/A,N/A,False
com.navitaire.nps.VB.apk,True,com.navitaire.nps.VB/smali/io/card/payment/CardScanner.smali,Mono,False
com.fly.gps.apk,False,N/A,N/A,True
com.streetview.gpstools.liveearth.mapsnavigation.apk,True,N/A,N/A,True
com.saudia.SaudiaApp.apk,True,com.saudia.SaudiaApp/smali/io/card/payment/CardScanner.smali,Cordova,True
io.itforces.android.timetable.apk,False,io.itforces.android.timetable/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.sasyabook.runningtrainstatus.apk,True,com.sasyabook.runningtrainstatus/smali/com/hzy/lib7z/Z7Extractor.smali,N/A,True
com.apptizzy.ado.apk,True,com.apptizzy.ado/smali_classes2/com/inmobile/x.smali,N/A,True
com.sube.app.apk,True,com.sube.app/smali/mono/MonoPackageManager.smali,Mono,False
com.rehotels.edwardguest.apk,False,N/A,Cordova,False
jp.co.yahoo.android.apps.map.apk,True,jp.co.yahoo.android.apps.map/smali_classes2/jp/co/yahoo/android/yjvoice/DCLibraryLoader.smali,N/A,True
com.vayaafrica.passenger.apk,False,N/A,N/A,True
com.nwfb.apk,True,com.nwfb/smali/com/nwfb/AppMain.smali,N/A,True
com.kumarvivekanand963.Rail_Yatra.apk,False,com.kumarvivekanand963.Rail_Yatra/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A,True
com.tourbar.apk,True,com.tourbar/smali/com/facebook/soloader/SoLoader.smali,React,False
com.hawsoft.mobile.speechtrans.apk,True,com.hawsoft.mobile.speechtrans/smali/com/stub/StubApp.smali,N/A,False
com.smartride.driver.apk,True,com.smartride.driver/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A,False
com.voice.navigation.tracker.live.earth.maps.apk,False,com.voice.navigation.tracker.live.earth.maps/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A,True
com.streetview.panorama.livemap.apk,False,N/A,N/A,True
