Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
com.tencent.qqlivei18n.apk,True,com.tencent.qqlivei18n/smali_classes2/com/tencent/msdk/dns/base/jni/a.smali,N/A,True
com.PICCHAT.RecScreenRecorder.apk,True,com.PICCHAT.RecScreenRecorder/smali_classes2/com/yalantis/ucrop/task/BitmapCropTask.smali,N/A,True
com.vdl.videodownloaderfb.apk,True,com.vdl.videodownloaderfb/smali/com/facebook/soloader/SoLoader.smali,React,True
uk.hd.video.go.player.apk,True,N/A,N/A,True
com.delphicoder.flud.apk,True,com.delphicoder.flud/smali/com/delphicoder/flud/TorrentDownloaderService.smali,N/A,True
com.ch.super.apk,False,com.ch.super/smali/com/google/android/exoplayer2/h/m.smali,N/A,True
com.bestvideostudio.movieeditor.apk,True,com.bestvideostudio.movieeditor/smali_classes2/pl/droidsonroids/gif/h.smali,N/A,True
com.xcs.piclock.apk,False,N/A,N/A,False
hd.video.player.apk,True,hd.video.player/smali/org/videolan/libvlc/LibVLC.smali,N/A,True
com.hbo.go.apk,True,com.hbo.go/smali/com/hbo/hadron/v8/V8Context.smali,N/A,True
video.player.hd.videoplayer.apk,True,video.player.hd.videoplayer/smali/com/lb/library/AndroidUtil.smali,N/A,True
com.tune.pk.apk,True,com.tune.pk/smali/com/facebook/soloader/SoLoader.smali,React,True
com.glitchy3d.effectretro.apk,True,com.glitchy3d.effectretro/smali/org/wysaid/nativePort/CGEFaceTracker.smali,N/A,True
com.xfplay.phone.apk,True,com.xfplay.phone/smali_classes2/io/realm/internal/RealmCore.smali,N/A,True
com.vaporwaveeffects.mirrorseffect.apk,True,com.vaporwaveeffects.mirrorseffect/smali/com/inshot/videocore/filter/NativeUtils.smali,N/A,False
incredible.mediaapps.hdmax.videoplayer.apk,False,incredible.mediaapps.hdmax.videoplayer/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
mp3videoconverter.videotomp3.videotomp3converter.apk,True,mp3videoconverter.videotomp3.videotomp3converter/smali/tv/danmaku/ijk/media/player/d.smali,N/A,False
com.free.video.downloader.download.free.apk,False,N/A,N/A,True
com.techmix.instavdownloader.apk,False,N/A,N/A,False
instaplus.app.lee.apk,True,N/A,N/A,True
it.dplay.apk,True,it.dplay/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
downloader.vitmate.downloaderapp.apk,False,N/A,N/A,True
com.media.digital.apk,True,com.media.digital/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A,True
com.ss.android.ugc.trill.go.apk,True,com.ss.android.ugc.trill.go/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A,True
com.wondershare.filmorago.apk,True,com.wondershare.filmorago/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A,False
live.playerlatino.apk,True,live.playerlatino/smali/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,False
com.wevideo.mobile.android.apk,False,N/A,N/A,True
com.leavjenn.m3u8downloader.apk,True,com.leavjenn.m3u8downloader/smali/com/arthenica/mobileffmpeg/Config.smali,N/A,True
ru.more.play.apk,True,ru.more.play/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.clogica.videoeditor.apk,True,com.clogica.videoeditor/smali/com/clogica/fmpegmediaconverter/ffmpeg/archextractor/NativeLoader.smali,N/A,True
co.triller.droid.apk,True,co.triller.droid/smali_classes2/com/waynejo/androidndkgif/GifEncoder.smali,N/A,True
videoplayer.videodownloader.hdvideoplayer.apk,True,videoplayer.videodownloader.hdvideoplayer/smali/freenet/support/CPUInformation/CPUID.smali,N/A,False
tool.video.hdmaxvideoplayer.apk,False,N/A,N/A,True
com.blapp.videodownloader.apk,False,N/A,N/A,True
com.kwai.mercury.apk,True,com.kwai.mercury/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A,False
ph.app.photoslideshowwithmusic.apk,True,ph.app.photoslideshowwithmusic/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A,True
com.vstatus.premium.apk,True,com.vstatus.premium/smali_classes2/com/tencent/mmkv/MMKV.smali,N/A,True
com.koushikdutta.cast.apk,False,N/A,N/A,True
com.ahihi.slideshow.PhotoVideoEditor.apk,True,com.ahihi.slideshow.PhotoVideoEditor/smali/com/ahihi/libs/blur/StackNative.smali,N/A,True
com.vid007.videobuddy.apk,True,com.vid007.videobuddy/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A,True
tv.pandora.kmpvr.apk,True,tv.pandora.kmpvr/smali/wseemann/media/FFmpegMediaMetadataRetriever.smali,N/A,False
com.m3uloader.player.apk,True,com.m3uloader.player/smali/io/vov/vitamio/MediaPlayer.smali,N/A,True
com.capturerecorder.receditor.screenrecorder.apk,False,com.capturerecorder.receditor.screenrecorder/smali_classes2/tv/cjump/jni/NativeBitmapFactory.smali,N/A,False
com.vuclip.android.apk,True,com.vuclip.android/smali/com/nexstreaming/httpretrievestoresample/HTTPRetrieveDataManager.smali,N/A,False
secret.hide.calculator.apk,False,N/A,N/A,False
rs.maketv.oriontv.apk,False,rs.maketv.oriontv/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.ne.hdv.apk,False,com.ne.hdv/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
mivo.tv.apk,True,mivo.tv/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
