Apk name,Native library so file exist,Source file name load library,Platform name,Androidx used
mobi.infolife.ezweather.widget.weather.alarmclock.apk,False,mobi.infolife.ezweather.widget.weather.alarmclock/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
spapps.com.windmap.apk,False,N/A,N/A,True
mobi.infolife.ezweather.widget.clockandweather.apk,False,mobi.infolife.ezweather.widget.clockandweather/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.weawow.apk,False,N/A,N/A,True
mobi.infolife.ezweather.widget.figures.apk,False,mobi.infolife.ezweather.widget.figures/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
wni.WeathernewsTouch.jp.apk,False,N/A,N/A,False
wongi.weather.apk,True,wongi.weather/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A,True
bitgroup.weather2day.apk,False,N/A,N/A,True
com.Elecont.WeatherClock.free.apk,False,N/A,N/A,False
net.difer.weather.apk,False,N/A,N/A,True
com.rocketsauce83.weatherlauncher.apk,False,N/A,N/A,False
mobi.infolife.ezweather.widget.weatherchannel.wetteronline.apk,True,mobi.infolife.ezweather.widget.weatherchannel.wetteronline/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.ntech.weather.free.apk,False,N/A,N/A,True
com.kwch.android.weather.apk,True,com.kwch.android.weather/smali_classes2/com/weather/pangea/mapbox/custom/MapboxLibraryLoader.smali,N/A,True
com.meteoplaza.splash.apk,False,N/A,N/A,True
ovh.sauzanaprod.meteochine.apk,False,ovh.sauzanaprod.meteochine/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.droid27.digitalclockweather.apk,False,com.droid27.digitalclockweather/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
uk.co.xcweather.xcw.apk,False,uk.co.xcweather.xcw/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,Cordova,False
mobi.infolife.ezweather.widget.weather.galaxy.widget.apk,False,mobi.infolife.ezweather.widget.weather.galaxy.widget/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.weather.wetter.meteo.wow.apk,True,com.weather.wetter.meteo.wow/smali/com/unity3d/player/UnityPlayer.smali,N/A,False
com.droid27.d3flipclockweather.theme02.apk,False,N/A,N/A,False
eu.airly.android.apk,False,N/A,N/A,True
com.mytowntonight.aviationweather.apk,False,N/A,N/A,True
com.originalapp.uzbekistanweather.apk,False,N/A,N/A,False
com.wbrc.android.weather.apk,True,com.wbrc.android.weather/smali_classes2/com/weather/pangea/mapbox/custom/MapboxLibraryLoader.smali,N/A,True
com.kbtx.android.weather.apk,True,com.kbtx.android.weather/smali_classes2/com/weather/pangea/mapbox/custom/MapboxLibraryLoader.smali,N/A,True
com.kytv.android.weather.apk,True,com.kytv.android.weather/smali_classes2/com/weather/pangea/mapbox/custom/MapboxLibraryLoader.smali,N/A,True
com.sonymobile.xperiaweather.apk,False,N/A,N/A,True
ovh.sauzanaprod.meteoeurope.apk,False,ovh.sauzanaprod.meteoeurope/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
at.pegelalarm.app.apk,False,N/A,N/A,True
aplicacion.tiempo.apk,True,aplicacion.tiempo/smali/com/comscore/util/setup/Setup.smali,N/A,True
us.B3S.Thermometer.apk,False,N/A,N/A,True
com.snowthority.apk,True,com.snowthority/smali/com/facebook/soloader/SoLoader.smali,React,True
mobi.infolife.ezweather.widget.newyear.winter.apk,False,mobi.infolife.ezweather.widget.newyear.winter/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.amber.weather.apk,True,com.amber.weather/smali_classes2/com/tencent/bugly/crashreport/crash/jni/NativeCrashHandler.smali,N/A,False
com.studioeleven.windfinder.apk,False,N/A,N/A,True
dmi.byvejr.vejret.apk,False,N/A,N/A,True
com.telekom.wetterinfo.apk,False,N/A,N/A,False
ovh.sauzanaprod.meteosyrie.apk,False,ovh.sauzanaprod.meteosyrie/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.arf.weatherstation.apk,False,N/A,N/A,True
mobaciao.Cloud2.apk,False,N/A,N/A,False
com.Elecont.Map.apk,False,N/A,N/A,False
com.meteoblue.droid.apk,True,com.meteoblue.droid/smali/mono/MonoPackageManager.smali,Mono,True
com.droid27.sensev2flipclockweather.apk,False,com.droid27.sensev2flipclockweather/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
com.mobilerise.weather.neon.apk,False,N/A,N/A,True
com.phonegap.MSWMobile.apk,True,com.phonegap.MSWMobile/smali_classes2/org/appcelerator/kroll/runtime/v8/V8Runtime.smali,N/A,False
nl.vappz.Weather.apk,True,nl.vappz.Weather/smali/mono/MonoPackageManager.smali,Mono,True
com.wifr.android.weather.apk,True,com.wifr.android.weather/smali_classes2/com/weather/pangea/mapbox/custom/MapboxLibraryLoader.smali,N/A,True
ovh.sauzanaprod.meteoafrique.apk,False,ovh.sauzanaprod.meteoafrique/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
forecast.io.weather.apk,True,forecast.io.weather/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A,True
ru.rp5.rp5weatherhorizontal.apk,False,N/A,N/A,True
com.bisoft.live.weather.apk,False,N/A,N/A,True
appyweather.appyweather.apk,True,appyweather.appyweather/smali/mono/MonoPackageManager.smali,Mono,False
com.weather.alps.apk,False,N/A,N/A,False
widget.dd.com.overdrop.free.apk,True,widget.dd.com.overdrop.free/smali/pl/droidsonroids/gif/h.smali,N/A,True
ru.yandex.weatherplugin.apk,True,ru.yandex.weatherplugin/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
mobi.infolife.ezweather.widget.accurate.weather.report.roi.apk,False,mobi.infolife.ezweather.widget.accurate.weather.report.roi/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
webfreak.si.rainradar.apk,False,N/A,N/A,True
cz.windguru.wgapp.apk,True,cz.windguru.wgapp/smali/org/chromium/base/library_loader/Linker.smali,Cordova,False
pro.burgerz.miweather8.apk,False,pro.burgerz.miweather8/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A,False
com.enzuredigital.weatherbomb.apk,True,com.enzuredigital.weatherbomb/smali/io/objectbox/j/d.smali,N/A,True
net.chanel.weather.forecast.accu.apk,True,N/A,N/A,True
com.SeventhGear.tides.apk,True,com.SeventhGear.tides/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,False
com.aqamob.weatherclimateforecast.apk,False,N/A,N/A,False
com.droid27.transparentclockweather.apk,False,com.droid27.transparentclockweather/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A,True
mycodefab.aleph.weather.apk,False,N/A,N/A,True
forecast.weather.apk,True,forecast.weather/smali/com/stub/StubApp.smali,N/A,False
mobi.infolife.ezweather.widget.landscape.apk,False,mobi.infolife.ezweather.widget.landscape/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.arabiaweather.maps.apk,True,com.arabiaweather.maps/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A,False
com.kiwiapple.taiwansuperweather.apk,True,com.kiwiapple.taiwansuperweather/smali/android/support/v8/renderscript/RenderScript.smali,N/A,True
com.shahinmursalov.havaproqnozu.apk,False,N/A,N/A,True
jp.gr.java_conf.hanitaro.tide.apk,False,N/A,N/A,True
com.greeb.naif.apk,False,N/A,N/A,False
com.emax.weahter.apk,True,com.emax.weahter/smali_classes2/org/android/spdy/SoInstallMgrSdk.smali,N/A,True
com.meteoplaza.app.apk,False,N/A,N/A,True
com.mart.weather.apk,False,N/A,N/A,True
net.darksky.darksky.apk,True,net.darksky.darksky/smali/com/mousebird/maply/MaplyBaseController.smali,N/A,True
com.supportware.Buienradar.apk,True,com.supportware.Buienradar/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
mobi.infolife.ezweather.widget.ace.apk,False,mobi.infolife.ezweather.widget.ace/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
mobi.infolife.ezweather.widget.samsung.galaxys7.apk,False,mobi.infolife.ezweather.widget.samsung.galaxys7/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.trafficspotter.weathernotify.apk,False,N/A,N/A,True
com.nice.accurate.weather.apk,True,com.nice.accurate.weather/smali_classes2/com/tencent/map/geolocation/internal/TencentExtraKeys.smali,N/A,True
mobi.infolife.ezweather.widget.weather.location.app.roi.apk,True,mobi.infolife.ezweather.widget.weather.location.app.roi/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.weatherforecast.accurate.weatherapp2019.apk,False,N/A,N/A,True
com.fatmobiweather.forecast.apk,False,N/A,N/A,False
mobi.infolife.ezweather.widget.accurate.weather.report.apk,False,mobi.infolife.ezweather.widget.accurate.weather.report/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.basarimobile.android.ntvhava.apk,False,N/A,N/A,False
com.BestDigitalClockWidget.LiveWallpapersGallery.apk,False,N/A,N/A,True
com.mahmoodmph.weatherforecast.apk,False,N/A,N/A,True
com.ebzits.weathermyanmar.apk,False,N/A,N/A,False
me.tidesnear.free.apk,True,me.tidesnear.free/smali/com/facebook/soloader/SoLoader.smali,React,True
mobi.infolife.ezweather.widget.rainy.apk,False,mobi.infolife.ezweather.widget.rainy/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A,True
com.realtimeforecast.weather.apk,False,N/A,N/A,False
