Apk name,Native library so file exist,Source file name load library,Platform name
com.medibang.android.paint.tablet.apk,True,com.medibang.android.paint.tablet/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.pelangi.liverybussidmod.apk,True,com.pelangi.liverybussidmod/smali/com/pelangi/liverybussidmod/PTPlayer.smali,N/A
com.tricore.face.projector.apk,False,N/A,N/A
englizy.poly.no.apk,False,N/A,N/A
com.objectremover.touchretouch.apk,True,com.objectremover.touchretouch/smali/com/advasoft/touchretouch/TouchRetouchLib.smali,N/A
com.smartreality.fourd.apk,True,com.smartreality.fourd/smali/com/vuforia/VuforiaUnityPlayer/VuforiaInitializer.smali,N/A
com.infokombinat.howtodrawflowers.apk,True,com.infokombinat.howtodrawflowers/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A
com.infokombinat.howtodrawkawaii.apk,True,com.infokombinat.howtodrawkawaii/smali/com/facebook/soloader/SoLoader.smali,N/A
com.udmitz.glm.apk,False,N/A,N/A
com.devadroid.deshbhaktishayarihindi.apk,False,N/A,N/A
com.articoapps.drawart.apk,True,com.articoapps.drawart/smali/com/adcolony/sdk/l.smali,N/A
com.nra.productmarketingmaker.apk,True,com.nra.productmarketingmaker/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
tattooz.tattoo.maker.name.on.my.photo.apk,False,N/A,N/A
com.vaibhavkokare.csgoskinmaker.apk,True,com.vaibhavkokare.csgoskinmaker/smali/com/mintegral/msdk/mtgdownload/a.smali,N/A
com.photo.oppaidoll.makeup.apk,False,N/A,N/A
com.indiafonts.android.indiafontsapp.apk,True,com.indiafonts.android.indiafontsapp/smali/cn/Ragnarok/ReliefFilter.smali,N/A
com.creative.colorfit.mandala.coloring.book.apk,True,com.creative.colorfit.mandala.coloring.book/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.jrcreations.fblite.apk,False,N/A,N/A
com.bughats.HowToDrawLoveHearts.apk,True,com.bughats.HowToDrawLoveHearts/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A
com.marr.trukkuya.apk,True,com.marr.trukkuya/smali/com/marr/trukkuya/PTPlayer.smali,N/A
com.tfc.lightphotoeffects.editor.app.instantly.effects.colourfuleffect.picsmaker.apk,True,com.tfc.lightphotoeffects.editor.app.instantly.effects.colourfuleffect.picsmaker/smali/com/tfc/lightphotoeffects/editor/app/instantly/effects/colourfuleffect/picsmaker/app/abc/EditActivity.smali,N/A
com.figma.mirror.apk,False,N/A,N/A
com.appvideo.slideshow.video.apk,True,com.appvideo.slideshow.video/smali/org/stagex/danmaku/player/VlcMediaPlayer.smali,N/A
com.paintbynumber.coloring.colorbynumber.apk,False,N/A,N/A
udenity.draw.animals.apk,True,N/A,N/A
com.WomenUnderwear.robertcantika.apk,True,com.WomenUnderwear.robertcantika/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A
com.abcgamescom.generator.ides.drawing.apk,True,com.abcgamescom.generator.ides.drawing/smali/io/flutter/view/FlutterMain.smali,Flutter
udenity.draw.weapons.csgo.apk,True,N/A,N/A
com.picsart.animate.apk,True,com.picsart.animate/smali_classes2/com/picsart/picore/x/RXFactory.smali,N/A
com.infiniti.rasail.apk,False,N/A,N/A
com.doodle.master.draw.glow.art.apk,False,N/A,N/A
com.sec.penup.apk,True,com.sec.penup/smali_classes2/com/sec/penup/ui/drawing/c.smali,N/A
com.braderlight.rgbgeraklive.apk,False,N/A,N/A
emoji.remove.from.photo.prank.apk,True,emoji.remove.from.photo.prank/smali/emoji/remove/from/photo/prank/PTPlayer.smali,N/A
com.gogoinv.bonfire.android.apk,True,com.gogoinv.bonfire.android/smali/com/badlogic/gdx/backends/android/AndroidGL20.smali,N/A
com.bhima.logoart.apk,False,com.bhima.logoart/smali/com/bhima/logoart/gles/GPUImageNativeLibrary.smali,N/A
zonek.design.paintbynumbers.apk,False,N/A,N/A
learn.ez.lessons.tutorial.course.things.apk,False,N/A,N/A
com.mayamie.designlogoideas.esportlogomaker.apk,False,N/A,N/A
