Apk name,Native library so file exist,Source file name load library,Platform name
com.impp.offroad.bus.driving.simulator.apk,True,com.impp.offroad.bus.driving.simulator/smali/com/unity3d/player/UnityPlayer.smali,N/A
ru.rutaxi.vezet.apk,False,N/A,N/A
org.eobdfacile.android.apk,True,org.eobdfacile.android/smali/org/eobdfacile/android/ReportFileActivity.smali,N/A
com.its.rto.apk,False,N/A,N/A
com.mega.ramp.monster.truck.racing.games.apk,True,com.mega.ramp.monster.truck.racing.games/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.stormbreakxr.snow.mountain.bike.racing.motocross.race.apk,True,com.stormbreakxr.snow.mountain.bike.racing.motocross.race/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.napko.RealDash.apk,True,com.napko.RealDash/smali/com/napko/nuts/androidframe/NutsAndroidActivity.smali,N/A
com.wazeem.vehicleverificationpakistan.apk,False,N/A,N/A
obdhightech.com.remotekey.keysetup.keyprogramprocedure.apk,False,N/A,N/A
com.iViNi.VWhatFull.apk,True,com.iViNi.VWhatFull/smali_classes2/com/instabug/library/internal/storage/Encryptor.smali,N/A
kz.kolesa.apk,True,kz.kolesa/smali_classes2/go/Seq.smali,N/A
com.ProcessGames.X5DriftSimulator.apk,True,com.ProcessGames.X5DriftSimulator/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.steelcloudstudio.classic.car.parking.real.driving.test.apk,True,com.steelcloudstudio.classic.car.parking.real.driving.test/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.gamescapes.flying.bike.stunts.apk,True,com.gamescapes.flying.bike.stunts/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.mushroomcloud.cars.apk,False,N/A,Cordova
com.livery.bussid.sepakbola.apk,True,com.livery.bussid.sepakbola/smali_classes2/com/livery/bussid/sepakbola/PTPlayer.smali,N/A
com.liveryebs3.sempatistar.apk,True,com.liveryebs3.sempatistar/smali/com/liveryebs3/sempatistar/PTPlayer.smali,N/A
com.OppanaGames.Car.Sim.Japan.apk,True,com.OppanaGames.Car.Sim.Japan/smali/com/google/games/bridge/NativeBridgeActivity.smali,N/A
kr.socar.handler.apk,True,kr.socar.handler/smali/com/naver/maps/map/internal/d.smali,N/A
test.siaxe.speedeo.apk,False,N/A,N/A
com.yhi.police.speed.power.boat.extreme.gangster.chase.apk,True,com.yhi.police.speed.power.boat.extreme.gangster.chase/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.aps.police.spooky.jeep.parking.adventure.apk,True,com.aps.police.spooky.jeep.parking.adventure/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.lemurmonitors.bluedriver.apk,True,com.lemurmonitors.bluedriver/smali/com/shinobicontrols/charts/AnimationManager.smali,N/A
com.mod.bussidlengkap.apk,True,com.mod.bussidlengkap/smali/com/mod/bussidlengkap/PTPlayer.smali,N/A
com.impp.truck.parking.cargo.driver.apk,True,com.impp.truck.parking.cargo.driver/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.madcap.top.speed.formula.racing.tracks.apk,True,com.madcap.top.speed.formula.racing.tracks/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.brokendiamond.car.parking.hero.best.car.parking.games.apk,True,com.brokendiamond.car.parking.hero.best.car.parking.games/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.modsbussid.pandawadelapantujuh.apk,True,com.modsbussid.pandawadelapantujuh/smali/com/modsbussid/pandawadelapantujuh/PTPlayer.smali,N/A
com.modern.fps.commando.combat.strike.games.apk,True,com.modern.fps.commando.combat.strike.games/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.autozone.mobile.apk,True,com.autozone.mobile/smali_classes2/com/threatmetrix/TrustDefender/internal/H.smali,React
com.application.vin01.vin01.apk,False,com.application.vin01.vin01/smali/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
com.av100.androidapp.apk,False,N/A,N/A
com.alpha.truck.simulator.euro.driver.racinggames.apk,True,com.alpha.truck.simulator.euro.driver.racinggames/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.luxurybus.liverybussidsdd.apk,True,com.luxurybus.liverybussidsdd/smali/com/luxurybus/liverybussidsdd/PTPlayer.smali,N/A
com.bikesstunt.motomaster.racing.game.trial.trick.bikeRacing.apk,True,com.bikesstunt.motomaster.racing.game.trial.trick.bikeRacing/smali/com/unity3d/player/UnityPlayer.smali,N/A
net.hondash.hondash.apk,False,N/A,N/A
com.yamaha.mygarageapp.apk,True,com.yamaha.mygarageapp/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.nitrogames.offroad.truck.driver.cargo.transport.apk,True,com.nitrogames.offroad.truck.driver.cargo.transport/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.autel.maxiap200.autelap.apk,True,com.autel.maxiap200.autelap/smali/com/secneo/apkwrapper/ApplicationWrapper.smali,N/A
com.girnarsoft.oto.apk,False,N/A,N/A
com.wz.counter.strike.mission.apk,True,com.wz.counter.strike.mission/smali/com/unity3d/player/UnityPlayer.smali,N/A
ie.donedeal.android.apk,False,ie.donedeal.android/smali/com/fyusion/sdk/viewer/view/NativeDisplayMap.smali,N/A
id.co.dayagroup.alwaysdaya.dam.apk,False,N/A,N/A
com.mobiquel.pitcrew.apk,False,N/A,N/A
stickman.deadheropool.hero.gangaster.crime.apk,True,stickman.deadheropool.hero.gangaster.crime/smali/com/unity3d/player/UnityPlayer.smali,N/A
ecg.move.ca.apk,True,ecg.move.ca/smali/com/threatmetrix/TrustDefender/NativeGathererHelper.smali,N/A
deadpool.gta.stickman.rope.heros.war.apk,True,deadpool.gta.stickman.rope.heros.war/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.polymesh.rangeroverSVR.apk,True,com.polymesh.rangeroverSVR/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.twgs.city.bus.driver.simulator.apk,True,com.twgs.city.bus.driver.simulator/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.mtsdealersolutions.vindecoded.apk,False,com.mtsdealersolutions.vindecoded/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A
com.dailyroads.v.apk,False,N/A,N/A
com.bikewale.app.apk,False,N/A,N/A
org.reactivephone.apk,False,org.reactivephone/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A
appinventor.ai_verkaufsagentur28.Alpine_Billo.apk,False,N/A,N/A
com.nezdroid.cardashdroid.apk,False,N/A,N/A
com.dilts_japan.semifull_easy.apk,False,N/A,N/A
com.fgz.light.bike.stunt.racing.motor.bike.racing.games.apk,True,com.fgz.light.bike.stunt.racing.motor.bike.racing.games/smali/com/unity3d/player/UnityPlayer.smali,N/A
pro.drift.car.racing.limitless.apk,True,pro.drift.car.racing.limitless/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.monstermod.modjb3shdtronton.apk,True,com.monstermod.modjb3shdtronton/smali/com/monstermod/modjb3shdtronton/PTPlayer.smali,N/A
com.fortin.evostart2.apk,False,N/A,N/A
com.szinterative.trucksimulatoroffroad3.apk,True,com.szinterative.trucksimulatoroffroad3/smali/com/google/games/bridge/NativeBridgeActivity.smali,N/A
com.appstogo.carmanual.apk,False,N/A,Cordova
de.holeschak.bmw_deep_obd.apk,True,de.holeschak.bmw_deep_obd/smali/mono/MonoPackageManager.smali,Mono
