Apk name,Native library so file exist,Source file name load library,Platform name
com.Wallpapers.ViberMessenger.apk,False,N/A,N/A
com.Tatto.Maker.Editor.ForMen.ForWomen.gophotoablelogix.free.apk,False,N/A,N/A
best.photo.app.hair.styler.apk,True,best.photo.app.hair.styler/smali/com/aviary/android/feather/headless/media/ExifInterfaceWrapper.smali,N/A
bigolive.filters.apk,False,N/A,N/A
com.hrnstudios.makeuptutorial.apk,False,N/A,N/A
com.StrictStudios.wikiFeet.apk,True,com.StrictStudios.wikiFeet/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A
com.secretos.belleza.casera.curso.maquillaje.apk,False,N/A,N/A
org.gozallik_sirlari.st.apk,False,N/A,Cordova
com.gigant.beauty.camera.apk,True,com.gigant.beauty.camera/smali_classes2/org/wysaid/nativePort/CGEFaceTracker.smali,N/A
com.vanford.FaceBlemishesClean.apk,True,com.vanford.FaceBlemishesClean/smali/com/adobe/creativesdk/aviary/internal/headless/utils/CameraUtils.smali,N/A
african.braids.hair.apk,True,african.braids.hair/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A
com.andromo.dev759880.app852465.apk,False,N/A,N/A
com.idevelopment.msglowstore.apk,False,N/A,N/A
best.photo.app.manhairstyles2018.apk,True,best.photo.app.manhairstyles2018/smali/com/aviary/android/feather/headless/media/ExifInterfaceWrapper.smali,N/A
wc.cute.hairstyles2018.apk,False,N/A,N/A
com.mokalamat.sjl.postema.apk,False,N/A,N/A
com.mobincube.android.sc_3AD624.apk,False,N/A,N/A
com.tmon.gelato.android.apk,True,N/A,N/A
belleza.maquillaje.profesional.apk,False,N/A,N/A
com.MakeuP.TutoRial.apk,True,com.MakeuP.TutoRial/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A
com.rkm35562for.rkm35562for.apk,False,N/A,N/A
heart.crown.camera.effect.snap.photoeditor.heartcrowncamera.stickers.apk,True,heart.crown.camera.effect.snap.photoeditor.heartcrowncamera.stickers/smali_classes2/core/filter/ActivityEditFilter.smali,N/A
com.makeup.photo.grid.salon.apk,True,com.makeup.photo.grid.salon/smali/com/xinlan/imageeditlibrary/editimage/fliter/PhotoProcessing.smali,N/A
jp.hotpepper.android.beauty.hair.apk,False,N/A,N/A
com.ophotovideoapps.facenhancer.apk,True,com.ophotovideoapps.facenhancer/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.v4.mahmoud.harkdohon.apk,False,N/A,N/A
effect.heart.crown.apk,True,effect.heart.crown/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
soni.selfie.editor.apk,True,soni.selfie.editor/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
eyebrow.makeup_virtualapps.apk,True,eyebrow.makeup_virtualapps/smali/com/aviary/android/feather/headless/media/ExifInterfaceWrapper.smali,N/A
com.learnstiching.dresscutting_methods.apk,False,N/A,N/A
com.Mrahkat5562.Mrahkat5562.apk,False,N/A,N/A
