Apk name,Native library so file exist,Source file name load library,Platform name
zahleb.me.apk,False,zahleb.me/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A
com.ckiybr.apk,True,com.ckiybr/smali/com/ckiybr/PTPlayer.smali,N/A
com.aswajacenter.maulidsimtudduror.apk,False,N/A,N/A
com.piespi.isoemulator.apk,False,N/A,N/A
com.mondadori.mebookyoung.apk,True,com.mondadori.mebookyoung/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.foobnix.pdf.reader.apk,True,com.foobnix.pdf.reader/smali/org/ebookdroid/LibreraApp.smali,N/A
com.riversoft.android.mysword.apk,False,N/A,N/A
com.leconjugueur.droid.apk,False,N/A,N/A
com.mcpe.test.furniture.apk,False,N/A,N/A
com.grandsons.dictsharp.apk,True,com.grandsons.dictsharp/smali_classes2/com/google/firebase/ml/naturallanguage/translate/internal/TranslateJni.smali,N/A
com.grandsons.dictboxku.apk,True,com.grandsons.dictboxku/smali_classes2/com/google/firebase/ml/naturallanguage/translate/internal/TranslateJni.smali,N/A
com.appbodia.translator.myen.apk,False,N/A,N/A
com.smartcalendar.myanmarcalendar.apk,False,N/A,N/A
com.ookbee.joyapp.android.apk,True,com.ookbee.joyapp.android/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A
voiceapp.commands.alice.apk,False,voiceapp.commands.alice/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.qidian.Int.reader.apk,True,com.qidian.Int.reader/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,React
uz.activemedia.udic.russian.apk,True,uz.activemedia.udic.russian/smali_classes2/uz/activemedia/udic/russian/adapters/MyListCursorAdapter.smali,N/A
com.NeighborGuide.Alpha.apk,False,N/A,N/A
com.turnback.psx.apk,False,N/A,N/A
com.lovelymyanmar.book.apk,False,N/A,N/A
com.chaozh.iReader.apk,True,com.chaozh.iReader/smali_classes2/com/zhangyue/iReader/JNI/tuya/JNITuyaSingleTrackEditor.smali,N/A
org.coolreader.apk,True,org.coolreader/smali/de/telekom/epub/utils/ScreenHelper.smali,N/A
com.salih.hardib.dreamer.apk,False,N/A,N/A
com.xexon.battles8fortnite.apk,False,N/A,N/A
com.HintsHumanFlat.cucurukinc.apk,True,com.HintsHumanFlat.cucurukinc/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.dictionary.ar.apk,False,N/A,N/A
com.dexqon.quron.apk,True,com.dexqon.quron/smali/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.magisk.uf.tiii.apk,False,N/A,N/A
com.initialcoms.ridi.apk,True,com.initialcoms.ridi/smali_classes2/org/chromium/base/library_loader/Linker.smali,N/A
com.mg.apyar.apk,True,com.mg.apyar/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A
com.mestre15dias.lsrdev.apk,False,N/A,N/A
com.tfd.mobile.TfdSearch.apk,False,N/A,N/A
com.dextersla.addfolowersa.apk,False,N/A,N/A
com.fynsystems.engamharicdictionary.apk,False,N/A,N/A
itools.commandandtool.apk,False,N/A,N/A
com.martinvillar.android.quranindonesia.apk,False,N/A,N/A
com.NewBeeChatTips.FreeAdvise.apk,False,N/A,N/A
ru.litres.android.readfree.apk,True,ru.litres.android.readfree/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.quran.labs.androidquran.apk,False,N/A,N/A
com.TipsGroupChats.Messenger2019.apk,False,N/A,N/A
com.tof.myquranina.apk,True,com.tof.myquranina/smali_classes2/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A
wp.wpbeta.apk,True,wp.wpbeta/smali_classes2/pl/droidsonroids/relinker/book.smali,N/A
com.overdrive.mobile.android.libby.apk,True,com.overdrive.mobile.android.libby/smali/org/vinuxproject/sonic/Sonic.smali,N/A
com.oup.elt.oald9.apk,True,com.oup.elt.oald9/smali/com/slovoed/jni/engine/Native.smali,N/A
net.sunnite.quran.apk,False,N/A,N/A
com.h1ss1nguide.dream2020league.apk,True,com.h1ss1nguide.dream2020league/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
cc.nextlabs.python_3_6.apk,False,N/A,Cordova
com.tips.guidewlk.tkwtps.apk,False,N/A,N/A
ru.litres.android.apk,True,ru.litres.android/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.tencent.weread.apk,Error,Error,Error
com.andi.alquran.melayu.apk,True,com.andi.alquran.melayu/smali/com/andi/alquran/arabic/BacaArab.smali,N/A
apyar.minthar.apk,False,N/A,N/A
com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish.apk,True,com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish/smali_classes2/top/oply/opuslib/OpusTool.smali,N/A
com.iAbidan.apk,True,com.iAbidan/smali/com/iAbidan/Lib/e1cc88a87812.smali,N/A
com.lovenovel.read.apk,False,com.lovenovel.read/smali/com/alibaba/mtl/appmonitor/a.smali,N/A
com.mmswdev.mmswdict.mclipdict.apk,False,N/A,N/A
ru.zed.kiosk.apk,True,ru.zed.kiosk/smali_classes2/ru/zed/kiosk/apv/DjvuDocument_bk.smali,N/A
com.apyar.cars.apk,False,N/A,N/A
com.greentech.quran.apk,True,com.greentech.quran/smali/com/greentech/quran/text/NativeRenderer.smali,N/A
com.androazeri.yasinuz.apk,False,N/A,N/A
com.upmaps.skyblocks.apk,False,N/A,N/A
com.goldensoft.dictionaryfrfree.apk,False,N/A,N/A
com.naing.screencracker.apk,True,com.naing.screencracker/smali/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.lovelymyanmarbook.apfive.apk,True,com.lovelymyanmarbook.apfive/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.RLCraftmod.RLCraftmodsforMCPE.apk,False,com.RLCraftmod.RLCraftmodsforMCPE/smali/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
lindgrendortly.need.speed.apk,True,lindgrendortly.need.speed/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.marningjagung.hanyalahdirimu.apk,False,N/A,N/A
com.lovelymyanmarapyarbook.apsix.apk,True,com.lovelymyanmarapyarbook.apsix/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A
uz.foreach.soft.android.Book_Ozbektarixi_8.apk,True,uz.foreach.soft.android.Book_Ozbektarixi_8/smali/org/ebookdroid/EBookDroidLibraryLoader.smali,N/A
com.tap.terraria.apk,True,com.tap.terraria/smali/com/radaee/pdf/Global.smali,N/A
uzbek.quran.koran.alcorao.islam.apk,False,N/A,N/A
com.neverland.alreader.apk,False,com.neverland.alreader/smali/com/fndroid/epdControlApi.smali,N/A
com.dictionary.ar_en.apk,False,N/A,N/A
com.lovelyburmabook.burma.apk,False,com.lovelyburmabook.burma/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.hmobile.biblekjv.apk,False,N/A,N/A
com.maktbatanoor.apk,True,com.maktbatanoor/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.fanzetech.quran.apk,False,N/A,N/A
ric.Jsho.apk,False,N/A,N/A
br.com.socialspirit.android.apk,False,N/A,N/A
com.nhn.android.nbooks.apk,True,com.nhn.android.nbooks/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.dexqon.namozkitobi.apk,False,N/A,N/A
com.magictouch.ag.stories.apk,False,N/A,N/A
com.spreadsong.freebooks.apk,True,com.spreadsong.freebooks/smali/f/d/a/g.smali,N/A
com.aldiko.android.apk,True,com.aldiko.android/smali/com/aldiko/android/reader/engine/JNILib.smali,N/A
org.wikipedia.apk,True,org.wikipedia/smali/com/facebook/soloader/SoLoader.smali,N/A
yadanar.thike.apk,False,N/A,N/A
com.gulbers.alkitabkidung.apk,False,N/A,N/A
com.ismlar.kitobi.apk,False,N/A,N/A
com.tipssaga.summ.ertime.apk,True,com.tipssaga.summ.ertime/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.simppro.quran.mushaf.offline.apk,False,N/A,N/A
tv.telepathic.hooked.apk,True,tv.telepathic.hooked/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.onionsearchengine.onionsearchengine.apk,False,N/A,N/A
com.Database.Game.psp.ppsspp.apk,False,N/A,N/A
books.ebook.pdf.reader.apk,True,books.ebook.pdf.reader/smali/org/ebookdroid/EBookDroidLibraryLoader.smali,N/A
com.ebooks.ebookreader.apk,True,com.ebooks.ebookreader/smali_classes2/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A
com.pratilipi.mobile.android.apk,True,com.pratilipi.mobile.android/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.dictionary.bn.apk,False,N/A,N/A
mg.itworks.bf.apk,False,N/A,N/A
com.htutmedia.dhamma.apk,False,N/A,N/A
com.kevoya.bibleswa.apk,False,N/A,N/A
com.portap.mosten.apk,False,N/A,N/A
com.softcraft.englishbible.apk,False,com.softcraft.englishbible/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
sick.hide.hellonighb.newguidefornighor.apk,False,N/A,N/A
com.ahmed53.quraan_abdulbasit_tartil.apk,False,N/A,N/A
com.martinvillar.android.bibliaenfrances.apk,False,N/A,N/A
com.yahoo.mobile.client.android.search.apk,True,com.yahoo.mobile.client.android.search/smali_classes2/com/yahoo/mobile/client/share/crashmanager/YNativeCrashManager.smali,N/A
com.innovative.quran.holybook.offline.read.apk,False,N/A,N/A
com.graphilos.epub.apk,False,N/A,N/A
com.litnet.apk,True,com.litnet/smali_classes2/com/tapjoy/Tapjoy.smali,N/A
com.simppro.quran.madina.o.f.apk,False,N/A,N/A
com.kakao.page.apk,True,com.kakao.page/smali_classes2/com/teruten/tms4encrypt/TMS4Encrypt.smali,N/A
com.merriamwebster.apk,False,N/A,N/A
ebook.epub.download.reader.apk,True,ebook.epub.download.reader/smali/org/coolreader/crengine/Engine.smali,N/A
com.amazon.kindle.apk,True,com.amazon.kindle/smali_classes2/com/amazon/kindle/fastmetrics/service/provider/KindleFastMetricsNativeServiceProvider.smali,N/A
com.apyar.babayin.apk,False,N/A,N/A
com.amazon.klite.apk,True,com.amazon.klite/smali/aoc.smali,N/A
fast.dic.dict.apk,False,fast.dic.dict/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
com.tuyware.mygamecollection.apk,True,com.tuyware.mygamecollection/smali_classes2/net/sourceforge/zbar/Symbol.smali,N/A
com.ahmed53.quraan.apk,False,N/A,N/A
com.simppro.quran.offline.apk,False,N/A,N/A
com.devzaz.freefireguiiide.apk,False,N/A,N/A
org.cambridge.dictionary.advanced.learners.fourth.apk,True,org.cambridge.dictionary.advanced.learners.fourth/smali/com/slovoed/jni/engine/Native.smali,N/A
com.tureng.sozluk.apk,False,N/A,N/A
com.fullreader.apk,True,com.fullreader/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
namaz.in.uzbek.AOVHBEPMDHS.apk,False,N/A,N/A
com.fidibo.reader.apk,True,com.fidibo.reader/smali/vt$a.smali,N/A
com.audiobooks.androidapp.apk,True,com.audiobooks.androidapp/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
org.kiwix.kiwixmobile.apk,True,org.kiwix.kiwixmobile/smali/io/objectbox/internal/NativeLibraryLoader.smali,N/A
com.universe.englishhausadictionary.apk,False,N/A,N/A
com.akubilang.litemasterpro.apk,False,N/A,N/A
com.thryvinc.amp_db_free.apk,False,N/A,N/A
com.kutblog.arabicbanglaquran.apk,False,N/A,N/A
com.summertime.cucurukinc.apk,True,com.summertime.cucurukinc/smali/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.softcraft.swahilibible.apk,False,com.softcraft.swahilibible/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
livio.pack.lang.en_US.apk,False,N/A,N/A
uz.cieuz.al_jome_as_sahih.apk,False,N/A,N/A
com.myanmardevapps.apanpyay.apk,False,N/A,N/A
uz.foreach.soft.android.Book_ozbekistontarixi7.apk,True,uz.foreach.soft.android.Book_ozbekistontarixi7/smali/org/ebookdroid/EBookDroidLibraryLoader.smali,N/A
mm.love.apk,True,mm.love/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A
com.dridev.kamusku.apk,False,N/A,N/A
com.simppro.quran.apk,False,N/A,N/A
an.PortTranslate.apk,False,N/A,N/A
com.tiim.goforexx24.apk,True,com.tiim.goforexx24/smali/com/crashlytics/android/ndk/JniNativeApi.smali,Cordova
com.movinapp.dict.english.american.apk,False,N/A,N/A
ua.mybible.apk,False,N/A,N/A
com.myanmardev.myanmarebook.apk,True,com.myanmardev.myanmarebook/smali/com/artifex/mupdfdemo/MuPDFCore.smali,N/A
nithra.tamil.story.apk,False,nithra.tamil.story/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.sedevelop.dict.frmalagasfl.free.apk,False,com.sedevelop.dict.frmalagasfl.free/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
mam.reader.ipusnas.apk,True,mam.reader.ipusnas/smali/com/radaee/pdf/Global.smali,N/A
com.qidian.Int.reader.transread.apk,True,com.qidian.Int.reader.transread/smali_classes2/com/qq/reader/common/drm/teb/TeaTool.smali,N/A
kjv.bible.kingjamesbible.apk,True,kjv.bible.kingjamesbible/smali_classes2/com/meevii/read/core/util/codec/SnappyImplNative.smali,N/A
com.wonderdevland.apyar.apk,False,N/A,N/A
com.frenchtraduction.arabic.dictionnaire.apk,False,N/A,N/A
com.isysway.free.alquran.apk,False,N/A,N/A
com.rebindev.rebindictplus.apk,True,com.rebindev.rebindictplus/smali/com/rebindev/rebindictplus/shared/C1122ff.smali,N/A
com.simppro.quran.tajweed.apk,False,N/A,N/A
com.sirma.mobile.bible.android.apk,False,N/A,N/A
com.bigberry.mviewer.apk,True,com.bigberry.mviewer/smali/com/facebook/common/e/a$a.smali,N/A
com.firegamesstudio.ffguidetips.apk,False,N/A,N/A
com.devmegaapp.englisharabicdictionary.apk,False,N/A,N/A
com.dictionary.ur.apk,False,N/A,N/A
com.mobisystems.ubreader_west.apk,True,com.mobisystems.ubreader_west/smali_classes2/com/mobisystems/ubreader/bo/pageprovider/p.smali,N/A
com.google.android.stardroid.apk,False,N/A,N/A
org.jw.jwlibrary.mobile.apk,True,org.jw.jwlibrary.mobile/smali/com/eclipsesource/v8/LibraryLoader.smali,N/A
com.dic_o.dico_eng_fra.apk,False,N/A,N/A
com.prestigio.ereader.apk,True,com.prestigio.ereader/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.andi.alquran.en.apk,True,com.andi.alquran.en/smali/com/andi/alquran/arabic/BacaArab.smali,N/A
com.area120.studybuddy.sagaflutter.apk,True,com.area120.studybuddy.sagaflutter/smali_classes2/com/google/area120/studybuddy/sagaflutter/TerseRunner.smali,Flutter
an.SpanishTranslate.apk,False,N/A,N/A
com.dreame.reader.apk,True,com.dreame.reader/smali/com/stub/StubApp.smali,N/A
com.comeongowin.guidefordreamwinleaguesoccer2020.apk,False,N/A,N/A
com.audible.application.apk,True,com.audible.application/smali/com/audible/sdk/AudibleSDK.smali,N/A
com.grandsons.dictboxar.apk,True,com.grandsons.dictboxar/smali_classes2/com/google/firebase/ml/naturallanguage/translate/internal/TranslateJni.smali,N/A
com.overwolf.statsroyale.apk,False,N/A,N/A
maktaba.sy.apk,False,N/A,N/A
bn.ereader.apk,True,bn.ereader/smali_classes2/org/readium/nook/sdk/android/EPub3.smali,N/A
com.inkitt.android.hermione.apk,True,com.inkitt.android.hermione/smali_classes2/com/yalantis/ucrop/task/BitmapCropTask.smali,React
an.RussianUzbekTranslate.apk,False,N/A,N/A
com.kobobooks.android.apk,True,com.kobobooks.android/smali_classes2/com/kobo/jni/LibraryLoaderHelper.smali,N/A
com.sahell.holyquran.apk,False,N/A,N/A
com.mmdeveloper.pureetha.apk,False,N/A,N/A
net.blackenvelope.writeinrunic.apk,False,N/A,N/A
com.ayah.apk,True,com.ayah/smali/io/realm/internal/RealmCore.smali,N/A
com.dic_o.dico_eng_spa.apk,False,N/A,N/A
com.simppro.quran.tafseer.offline.apk,False,N/A,N/A
com.Free.TipsHumanFlat.apk,False,N/A,N/A
com.gagayutara.gudeunofficiallresidentevil.guideforresidentevil4unofficial.apk,False,N/A,N/A
com.devmyanmarland.minthamee.apk,False,N/A,N/A
com.solvus_lab.android.BibleEN_kjv.apk,False,N/A,N/A
com.teameplerians.IceCream.game.horror.apk,True,com.teameplerians.IceCream.game.horror/smali/com/unity3d/player/UnityPlayer.smali,N/A
br.biblia.apk,False,N/A,N/A
com.mmdev.bandw.apk,True,com.mmdev.bandw/smali/io/realm/internal/RealmCore.smali,N/A
br.com.ddsw.app.cmd.apk,False,N/A,Cordova
com.codes.filelinkedcodesfordroidadmin2019.apk,False,N/A,N/A
uz.shukurov.izohlilugat.apk,False,N/A,N/A
com.dictionary.tl.apk,False,N/A,N/A
com.goldensoft.dictionaryenfree.apk,False,N/A,N/A
com.goodreads.apk,True,com.goodreads/smali_classes2/com/facebook/soloader/SoLoader.smali,React
com.wordwebsoftware.android.wordweb.apk,False,N/A,N/A
com.softissimo.reverso.context.apk,True,com.softissimo.reverso.context/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.makru.minecraftbook.apk,False,N/A,N/A
bz.ddd.ahlam.apk,False,N/A,N/A
com.andromo.dev683258.app1041049.apk,False,N/A,N/A
bible.kingjamesbiblelite.apk,False,bible.kingjamesbiblelite/smali_classes3/yuku/snappy/codec/Snappy$Factory.smali,N/A
com.kamal.ahmed.rewaya.apk,True,com.kamal.ahmed.rewaya/smali/io/realm/internal/RealmCore.smali,N/A
com.a7la.brdcast.apk,False,N/A,N/A
com.hdictionary.bn.apk,False,N/A,N/A
com.frankeaplicativos.houseofclashers.apk,False,N/A,N/A
com.naing.englishmyanmardictionary.apk,False,N/A,N/A
com.turnback.nintendods.apk,False,N/A,N/A
ns.free.light.novel.reader.apk,True,ns.free.light.novel.reader/smali/e/b/a/e.smali,N/A
com.duaduadev.tricksforkinemastervideoeditingpro.apk,False,N/A,N/A
com.lovelyburma.book.apk,False,N/A,N/A
org.readera.apk,True,org.readera/smali/org/readera/l1/d0.smali,N/A
com.bit.yathaeain.apk,False,N/A,N/A
livio.pack.lang.es_ES.apk,False,N/A,N/A
com.oodles.download.free.ebooks.reader.apk,True,com.oodles.download.free.ebooks.reader/smali_classes2/org/vimgadgets/linebreak/LineBreaker.smali,N/A
com.maher4web.quran.apk,False,N/A,N/A
livio.pack.lang.fr_FR.apk,False,N/A,N/A
com.google.android.apps.books.apk,False,N/A,N/A
com.arabiait.sunna.apk,False,com.arabiait.sunna/smali/net/sqlcipher/database/SQLiteDatabase.smali,N/A
com.grandsons.dictboxfa.apk,True,com.grandsons.dictboxfa/smali_classes2/com/google/firebase/ml/naturallanguage/translate/internal/TranslateJni.smali,N/A
org.sabda.alkitab.apk,True,org.sabda.alkitab/smali/yuku/snappy/codec/Snappy$Factory.smali,N/A
com.app.nanakshahicalendar.apk,True,com.app.nanakshahicalendar/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,Cordova
com.fanzetech.holyquran.apk,False,N/A,N/A
com.WalktroughTekken.Walktrough.apk,False,N/A,N/A
com.languagegallery.phrasebookuzru.apk,False,N/A,N/A
com.faultexception.reader.apk,False,N/A,N/A
mobi.mangatoon.novel.apk,True,mobi.mangatoon.novel/smali_classes2/com/taobao/weex/utils/WXSoInstallMgrSdk.smali,N/A
com.androazeri.namoz.uz.apk,False,N/A,N/A
com.drmyothethan.dhamma.apk,False,N/A,N/A
com.parasetamol.hints_for_dream_winner_soccer.apk,False,N/A,N/A
com.socialsoul.msgar.apk,False,N/A,N/A
com.gits.bahasa.apk,True,com.gits.bahasa/smali/com/b/a/e.smali,N/A
yuku.kbbi5.apk,True,yuku.kbbi5/smali/yuku/salsa20/cipher/Salsa20ImplNative.smali,N/A
com.balimedia.alldict.apk,False,N/A,N/A
com.hoopladigital.android.apk,False,com.hoopladigital.android/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.top_constituicao_uzbekistan.top_constituicao_uzbekistan.apk,False,N/A,Cordova
com.myanmardevapps.pemoeninn.apk,False,N/A,N/A
com.alprogrammer.library.standard.apk,False,N/A,N/A
com.freefiretipsnmbvc.apk,False,N/A,N/A
com.tipsforfirefreevbn.apk,False,N/A,N/A
pdf.reader.apk,True,pdf.reader/smali/org/ebookdroid/EBookDroidLibraryLoader.smali,N/A
com.thinkpeak.quotescreator.apk,False,N/A,N/A
com.anyreads.patephone.apk,True,com.anyreads.patephone/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A
com.Verge.nonton21.apk,True,com.Verge.nonton21/smali/com/Verge/nonton21/PTPlayer.smali,N/A
com.winer.dream.guide.tips.apk,False,N/A,N/A
com.secret.hello.horror.neighbor.apk,True,com.secret.hello.horror.neighbor/smali/com/unity3d/player/UnityPlayer.smali,N/A
