Apk name,Native library so file exist,Source file name load library,Platform name
com.newellmediallc.live.coco.apk,True,com.newellmediallc.live.coco/smali/com/stub/StubApp.smali,N/A
com.telenordigital.contacts.apk,False,N/A,N/A
com.ios13.dialer.apk,True,com.ios13.dialer/smali/io/realm/internal/RealmCore.smali,N/A
com.vishal.mymapactivity.apk,False,N/A,N/A
com.viber.voip.apk,True,com.viber.voip/smali_classes2/com/snappydb/internal/DBImpl.smali,React
com.imNMSH.StickerFree.apk,True,com.imNMSH.StickerFree/smali/com/facebook/soloader/SoLoader.smali,N/A
explore.web.browser.apk,False,N/A,N/A
com.wBlackMessenger_8319379.apk,True,com.wBlackMessenger_8319379/smali/org/telegram/messenger/adn.smali,N/A
org.telegram.messenger.apk,True,org.telegram.messenger/smali/org/telegram/messenger/NativeLoader.smali,N/A
privacy.explorer.fast.safe.browser.apk,True,privacy.explorer.fast.safe.browser/smali/com/lb/library/AndroidUtil.smali,N/A
net.tweakwarevpn.tw_android.apk,False,N/A,N/A
com.intersvyaz.lk.apk,True,com.intersvyaz.lk/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,React
com.invideoapp.InVideo.apk,True,com.invideoapp.InVideo/smali/org/webrtc/NativeLibrary$DefaultLoader.smali,N/A
com.xda.labs.play.apk,True,com.xda.labs.play/smali/com/getkeepsafe/relinker/SystemLibraryLoader.smali,N/A
com.matchtech.cafe.apk,True,com.matchtech.cafe/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A
com.appple.app.email.apk,False,N/A,N/A
org.telegram.BifToGram.apk,True,org.telegram.BifToGram/smali/org/telegram/messenger/NativeLoader.smali,N/A
com.skype.insiders.apk,True,com.skype.insiders/smali_classes2/com/skype/sharetoapp/Os.smali,React
com.sarahah.com.apk,True,com.sarahah.com/smali_classes2/com/sarahah/com/activity/LoginActivity.smali,N/A
com.callapp.contacts.apk,True,com.callapp.contacts/smali/com/callapp/contacts/recorder/service/RecordService.smali,N/A
com.bf.browser.apk,True,com.bf.browser/smali/com/facebook/soloader/SoLoader.smali,N/A
com.denismsz.bumperliker.apk,False,N/A,Cordova
com.google.android.talk.apk,True,com.google.android.talk/smali_classes2/org/chromium/net/impl/CronetLibraryLoader.smali,N/A
com.test.dialer.apk,True,com.test.dialer/smali/io/realm/internal/RealmCore.smali,N/A
lv.indycall.client.apk,True,lv.indycall.client/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.whatsapp.w4b.apk,True,com.whatsapp.w4b/smali/pl/droidsonroids/gif/GifInfoHandle.smali,N/A
com.getkeepsafe.unlisted.apk,True,com.getkeepsafe.unlisted/smali/amu.smali,N/A
net.omobio.dialogsc.apk,True,net.omobio.dialogsc/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,React
com.opera.browser.beta.apk,True,com.opera.browser.beta/smali_classes2/org/bitcoin/Secp256k1Context.smali,N/A
com.myvodafone.android.apk,True,com.myvodafone.android/smali_classes2/com/worklight/wlclient/fips/MicroVPNLib.smali,N/A
com.beint.zangi.apk,True,com.beint.zangi/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.handcent.app.nextsms.apk,True,com.handcent.app.nextsms/smali_classes2/io/card/payment/CardScanner.smali,N/A
com.thinkyeah.message.apk,False,com.thinkyeah.message/smali/android/media/MediaMetadataRetriever.smali,N/A
com.lumaticsoft.watchdroidphone.apk,False,N/A,N/A
com.contapps.android.dialer.apk,False,N/A,N/A
com.phone2.slango.apk,True,com.phone2.slango/smali_classes2/org/linphone/core/FactoryImpl.smali,Mono
com.bcm.messenger.apk,True,com.bcm.messenger/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.contapps.android.apk,False,N/A,N/A
com.libyaphoneguide.showcallername.apk,False,N/A,N/A
com.zong.customercare.apk,True,com.zong.customercare/smali/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.appsverse.photon.apk,True,com.appsverse.photon/smali/com/appsverse/appviewer/utils/c.smali,N/A
com.yeecall.app.apk,True,com.yeecall.app/smali/com/yeecall/app/jjs.smali,Cordova
kr.core.technology.wifi.hotspot.apk,False,N/A,N/A
com.pdanet.apk,False,N/A,N/A
com.freedompop.ott.apk,True,com.freedompop.ott/smali_classes2/org/linphone/core/FactoryImpl.smali,N/A
com.fongo.dellvoice.apk,True,com.fongo.dellvoice/smali_classes2/com/tapjoy/Tapjoy.smali,N/A
de.tutao.tutanota.apk,False,N/A,N/A
pm.tap.vpn.apk,True,pm.tap.vpn/smali_classes2/de/blinkt/openvpn/core/NativeUtils.smali,N/A
net.jawaly.number_book.apk,False,N/A,N/A
com.onoffapp.app.apk,True,com.onoffapp.app/smali_classes2/org/linphone/core/FactoryImpl.smali,N/A
com.discord.apk,True,com.discord/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,N/A
com.picmax.wemoji.apk,True,com.picmax.wemoji/smali/pl/droidsonroids/gif/h.smali,N/A
com.tupe.my.photo.emoji.keyboard.apk,False,N/A,N/A
nu.bi.moya.apk,True,nu.bi.moya/smali_classes2/org/whispersystems/curve25519/NativeCurve25519Provider.smali,N/A
com.icq.mobile.client.apk,True,com.icq.mobile.client/smali_classes2/io/objectbox/a/c.smali,N/A
com.as2in1.apk,True,com.as2in1/smali_classes2/io/card/payment/CardScanner.smali,N/A
com.transsion.phoenix.apk,True,com.transsion.phoenix/smali_classes2/com/tencent/smtt/image/gif/libgif.smali,N/A
com.sec.android.app.sbrowser.beta.apk,True,com.sec.android.app.sbrowser.beta/smali_classes2/org/chromium/base/library_loader/Linker.smali,N/A
org.mozilla.rocket.apk,False,N/A,N/A
com.samsung.accessory.apk,True,com.samsung.accessory/smali/com/sec/android/WSM/ServerNative.smali,N/A
com.kakao.talk.apk,True,com.kakao.talk/smali/com/heenam/espider/Engine.smali,N/A
com.zinn.currentmobiletrackerlocation.apk,False,N/A,N/A
unlimited.socialgroups.joinfree.apk,False,N/A,N/A
com.google.android.wearable.app.apk,False,N/A,N/A
com.omesti.myumobile.apk,False,N/A,N/A
com.enflick.android.tn2ndLine.apk,True,com.enflick.android.tn2ndLine/smali_classes7/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
me.freecall.callglobal.apk,True,me.freecall.callglobal/smali_classes2/org/pjsip/pjsua2/a/a.smali,N/A
com.wescan.alo.apk,True,com.wescan.alo/smali_classes2/org/webrtc/Metrics.smali,N/A
com.icubadevelopers.siju.nauta.apk,True,com.icubadevelopers.siju.nauta/smali/com/icubadevelopers/siju/UserServices.smali,N/A
com.yahoo.mobile.client.android.mail.apk,True,com.yahoo.mobile.client.android.mail/smali_classes2/com/google/ar/core/Session.smali,N/A
com.aironlabs.whatwebplus.apk,False,N/A,N/A
com.shotvpn.freevpn.apk,True,com.shotvpn.freevpn/smali/de/blinkt/openvpn/core/NativeUtils.smali,N/A
com.google.android.apps.access.wifi.consumer.apk,False,N/A,N/A
org.xbrowser.prosuperfast.apk,False,N/A,N/A
com.droid.caller.id.phone.number.location.apk,False,N/A,N/A
com.psiphon3.apk,True,com.psiphon3/smali/ca/psiphon/PsiphonTunnel.smali,N/A
com.mixlr.android.apk,True,com.mixlr.android/smali/com/mixlr/android/controller/broadcast/AACEncoder.smali,N/A
net.rejinderi.totallyfreevpn.apk,True,net.rejinderi.totallyfreevpn/smali/de/blinkt/openvpn/core/OpenVPNThreadv3.smali,N/A
com.tunetalk.jmango.tunetalkimsi.apk,True,com.tunetalk.jmango.tunetalkimsi/smali_classes2/io/card/payment/CardScanner.smali,N/A
com.liliproyecta.pornoaddictionquit.apk,False,com.liliproyecta.pornoaddictionquit/smali/net/sourceforge/zbar/Symbol.smali,N/A
com.google.android.contacts.apk,False,N/A,N/A
za.co.vodacom.android.app.apk,True,za.co.vodacom.android.app/smali_classes2/com/scottyab/rootbeer/RootBeerNative.smali,React
me.talkyou.app.im.apk,True,me.talkyou.app.im/smali_classes2/d/m/a/f.smali,N/A
com.update.fmwa.fmwhats.latest.version.apk,False,N/A,N/A
com.google.android.accessibility.soundamplifier.apk,True,com.google.android.accessibility.soundamplifier/smali/com/google/android/accessibility/soundamplifier/audio/SoundAmplifierAAudio.smali,N/A
com.playstation.mobilemessenger.apk,True,com.playstation.mobilemessenger/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A
com.zte.android.ztelink.apk,False,N/A,N/A
org.thoughtcrime.securesms.apk,True,org.thoughtcrime.securesms/smali_classes2/org/thoughtcrime/securesms/util/FileUtils.smali,N/A
eu.tweaknews.vpn.apk,True,eu.tweaknews.vpn/smali/de/blinkt/openvpn/core/NativeUtils.smali,N/A
com.imo.android.imous.apk,True,com.imo.android.imous/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.call.flash.ringtones.apk,True,com.call.flash.ringtones/smali/com/cs/bd/daemon/nativ/NativeDaemonAPI21.smali,N/A
com.v2ray.ang.apk,True,com.v2ray.ang/smali/go/LoadJNI.smali,N/A
com.toktumi.line2.apk,True,com.toktumi.line2/smali/com/toktumi/line2/telephone/Softphone.smali,N/A
com.tempmail.apk,False,N/A,N/A
com.zzwm.whatsmonitor.apk,True,com.zzwm.whatsmonitor/smali/com/c/a/e.smali,N/A
com.github.shadowsocks.apk,True,N/A,N/A
com.enlightment.voicecallrecorder.apk,True,com.enlightment.voicecallrecorder/smali/com/naman14/androidlame/AndroidLame.smali,N/A
com.nisfiateam.memeperanggambar.apk,True,com.nisfiateam.memeperanggambar/smali/com/facebook/soloader/SoLoader.smali,N/A
com.turkcell.yaani.apk,True,com.turkcell.yaani/smali_classes2/org/mozilla/gecko/mozglue/GeckoLoader.smali,N/A
free.call.international.phone.calling.apk,True,free.call.international.phone.calling/smali_classes2/io/objectbox/internal/d.smali,N/A
org.mozilla.vrbrowser.apk,True,org.mozilla.vrbrowser/smali_classes2/org/mozilla/gecko/mozglue/GeckoLoader.smali,N/A
com.snrblabs.grooveip.apk,True,com.snrblabs.grooveip/smali/com/gvoip/xmpp/XMPPJNI.smali,N/A
zuzu.app.apk,True,zuzu.app/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.kaweapp.webexplorer.apk,False,N/A,N/A
de.eplus.mappecc.client.android.alditalk.apk,False,N/A,N/A
com.stickersdeamor.stickerconfrasesdeamor.apk,True,com.stickersdeamor.stickerconfrasesdeamor/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A
com.mobiu.browser.apk,True,com.mobiu.browser/smali_classes2/o/jve.smali,N/A
com.embeemobile.cx.apk,False,com.embeemobile.cx/smali/com/threatmetrix/TrustDefenderMobile/NativeGatherer$NativeGathererHelper.smali,N/A
com.verizon.messaging.vzmsgs.apk,True,com.verizon.messaging.vzmsgs/smali_classes2/com/nexos/service/c/a.smali,N/A
reactivephone.msearch.apk,False,reactivephone.msearch/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A
com.opera.mini.native.beta.apk,True,com.opera.mini.native.beta/smali/eto.smali,N/A
com.juphoon.justalk.apk,True,com.juphoon.justalk/smali_classes2/com/justalk/cloud/lemon/MtcApi.smali,N/A
com.insurance.vpn.dating.free.apk,True,com.insurance.vpn.dating.free/smali/de/blinkt/openvpn/core/NativeUtils.smali,N/A
com.ringapp.apk,True,com.ringapp/smali_classes2/com/ring/iperf/android/IPerfClient.smali,Flutter
org.torproject.torbrowser.apk,True,org.torproject.torbrowser/smali/org/mozilla/gecko/background/nativecode/NativeCrypto.smali,N/A
com.smartdt.voms.apk,True,com.smartdt.voms/smali_classes2/wseemann/media/FFmpegMediaMetadataRetriever.smali,React
com.palringo.android.apk,True,com.palringo.android/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.tangerine.live.cam.apk,True,com.tangerine.live.cam/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
com.glowapps.memestickerswhatsapp.apk,True,com.glowapps.memestickerswhatsapp/smali_classes2/com/tapjoy/Tapjoy.smali,N/A
com.enflick.android.TextNow.apk,True,com.enflick.android.TextNow/smali_classes7/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.af.waradar.apk,True,com.af.waradar/smali/com/facebook/soloader/SoLoader.smali,React
ch.protonmail.android.apk,True,ch.protonmail.android/smali/go/Seq.smali,N/A
com.opera.touch.apk,True,com.opera.touch/smali/com/google/android/gms/vision/EngineManager.smali,N/A
ar.com.personal.apk,False,N/A,N/A
