Apk name,Native library so file exist,Source file name load library,Platform name
com.ltservices.mektoube.apk,True,N/A,N/A
com.cupidmedia.wrapper.militarycupid.apk,False,N/A,N/A
com.lovefeed.dating.apk,False,N/A,N/A
com.cupidmedia.wrapper.filipinocupid.apk,False,N/A,N/A
com.farmersonly.android.apk,False,N/A,N/A
com.soudfa.apk,True,com.soudfa/smali/e/d/a/e.smali,N/A
com.sugarmummyhookup.hookup.apk,False,N/A,N/A
com.labelsoft.trydate.apk,True,com.labelsoft.trydate/smali_classes2/org/webrtc/PeerConnection.smali,N/A
com.frenclub.ai_aiDating.apk,False,N/A,N/A
com.Friendlo.App.Final.apk,False,N/A,N/A
com.dating.online.meetlove.apk,True,com.dating.online.meetlove/smali/com/getkeepsafe/relinker/SystemLibraryLoader.smali,N/A
com.juda.randomneighborchatEnglish.apk,False,N/A,N/A
com.rubisoft.gaycuddles.apk,False,com.rubisoft.gaycuddles/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
kr.jungrammer.secretchat.apk,True,kr.jungrammer.secretchat/smali/com/a/a/e.smali,N/A
com.randomvideochat.livestrangerschat.apk,False,N/A,N/A
com.cupidmedia.wrapper.koreancupid.apk,False,N/A,N/A
org.datinguru.anil.datingguru.apk,False,N/A,N/A
com.choiceoflove.dating.apk,False,N/A,N/A
jp.prosgate.app194.apk,False,N/A,N/A
io.dotcoding.software.brilic.apk,False,io.dotcoding.software.brilic/smali_classes3/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
cloud.videocalls.livevideochat.apk,True,cloud.videocalls.livevideochat/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.peoplemedia.singleparentmeet.apk,False,N/A,N/A
singles420.entrision.com.singles420.apk,True,singles420.entrision.com.singles420/smali/ru/ivanarh/jndcrash/NDCrash.smali,N/A
de.appfiction.yocutiegoogle.apk,False,N/A,N/A
com.cupidmedia.wrapper.ukrainedate.apk,False,N/A,N/A
co.dilmil.android.apk,True,co.dilmil.android/smali_classes2/com/wonderkiln/camerakit/BitmapOperator.smali,N/A
com.muzmatch.muzmatchapp.apk,True,com.muzmatch.muzmatchapp/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
fire.ting.fireting.chat.apk,False,N/A,N/A
com.ouyi.apk,True,com.ouyi/smali/com/stub/StubApp.smali,N/A
ru.damochka.android.apk,False,ru.damochka.android/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A
tteok.ting.tteokting.apk,False,N/A,N/A
com.cupidmedia.wrapper.bbwcupid.apk,False,N/A,N/A
com.hitwe.android.apk,True,com.hitwe.android/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A
com.chat.arab.fun.apk,False,N/A,N/A
com.cupidmedia.wrapper.russiancupid.apk,False,N/A,N/A
com.cougardating.olderwomendating.apk,True,com.cougardating.olderwomendating/smali_classes2/com/bana/dating/lib/jni/CheckCode.smali,N/A
com.deputat.greatapp.apk,False,N/A,N/A
com.rubisoft.gayradar.apk,False,com.rubisoft.gayradar/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
com.bupt.koala.dateb.apk,True,com.bupt.koala.dateb/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.foreverbilisim.sevgilibul.apk,False,N/A,N/A
com.imhuisu82.jogtk.apk,True,com.imhuisu82.jogtk/smali/com/scottyab/rootbeer/RootBeerNative.smali,N/A
com.td.transdr.apk,True,com.td.transdr/smali_classes2/io/rong/imlib/relinker/SystemLibraryLoader.smali,N/A
online.girlschatmeet3.apk,True,online.girlschatmeet3/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.cupidmedia.wrapper.gaycupid.apk,False,N/A,N/A
com.twodate.premium.apk,False,N/A,N/A
mingle.android.mingle2.apk,True,mingle.android.mingle2/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.transante.com.app.apk,True,com.transante.com.app/smali/org/chromium/base/library_loader/Linker.smali,Cordova
com.fake.video.chat.apk,False,N/A,N/A
com.hellomarket.chat.apk,True,com.hellomarket.chat/smali/io/agora/NativeAgoraAPI.smali,N/A
com.wafi.roomarab.apk,False,N/A,N/A
com.bingoshow.msapp.apk,True,com.bingoshow.msapp/smali_classes2/io/agora/rtc/internal/RtcEngineImpl.smali,N/A
com.lesbian.chat.apk,True,com.lesbian.chat/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
