Apk name,Native library so file exist,Source file name load library,Platform name
com.kimco.english.grammar.in.use.test.ultimate.englishgrammar.apk,True,com.kimco.english.grammar.in.use.test.ultimate.englishgrammar/smali_classes2/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A
com.topscorerstudent.app.apk,True,com.topscorerstudent.app/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A
air.ArabicAlphabetFreeAr.apk,True,N/A,N/A
uk.co.bbc.learningenglish.apk,True,uk.co.bbc.learningenglish/smali/com/comscore/utils/cpp/CppJavaBinder.smali,N/A
de.rwth_aachen.phyphox.apk,True,de.rwth_aachen.phyphox/smali/de/rwth_aachen/phyphox/Analysis.smali,N/A
com.languagedrops.drops.international.apk,True,com.languagedrops.drops.international/smali/com/facebook/soloader/SoLoader.smali,React
apps.one.learn.draw.apk,False,N/A,N/A
co.wordupapp.app.apk,True,co.wordupapp.app/smali/mono/MonoPackageManager.smali,Mono
com.nicedayapps.iss_free.apk,False,N/A,N/A
com.dekikurnia.exambro.apk,False,N/A,N/A
com.unicef.apk,False,N/A,N/A
com.twiga.eschool.apk,False,N/A,N/A
com.playtoddlers.happydaycarestories.free.apk,True,com.playtoddlers.happydaycarestories.free/smali/com/unity3d/player/UnityPlayer.smali,N/A
hpandro.java.infosec.FA2.apk,False,N/A,N/A
com.chuchu.scriptmobile.apk,False,N/A,N/A
com.paprbit.dcoder.apk,False,N/A,N/A
com.anaksma.androidphone.apk,False,N/A,Cordova
com.funpop.android_princesscake.apk,True,com.funpop.android_princesscake/smali_classes2/com/immersion/content/EndpointWarp.smali,N/A
agexdev.theroadzambia.apk,False,N/A,N/A
in.techchefs.MyCBSEGuide.apk,True,in.techchefs.MyCBSEGuide/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.funbox.englishlisteningpractice.apk,False,N/A,N/A
com.moiseum.dailyart2.apk,True,com.moiseum.dailyart2/smali/io/objectbox/j/c.smali,N/A
com.talkenglish.grammar.apk,False,N/A,N/A
id.extramarks.learningapp.apk,True,id.extramarks.learningapp/smali_classes2/com/watermark/androidwm/utils/StringUtils.smali,N/A
com.bktranslator.enlisharabic.apk,False,N/A,N/A
com.gmail.ebdaaapp.learnenglish.apk,False,N/A,N/A
co.gradeup.android.apk,False,N/A,N/A
com.ehe.s.apk,False,N/A,N/A
com.aresmob.translatorfotopro.apk,True,com.aresmob.translatorfotopro/smali/com/stub/StubApp.smali,N/A
com.cook.cookinggame.apk,True,com.cook.cookinggame/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.a10minuteschool.tenminuteschool.apk,True,com.a10minuteschool.tenminuteschool/smali_classes2/com/facebook/soloader/SoLoader.smali,N/A
com.study.app.apk,True,com.study.app/smali/org/chromium/base/library_loader/Linker.smali,Cordova
com.tocaboca.tocakitchen.apk,True,com.tocaboca.tocakitchen/smali/org/chromium/base/library_loader/Linker.smali,N/A
com.videxmobile.apk,True,com.videxmobile/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React
com.suvorov.ar_en.apk,False,N/A,N/A
com.funpop.android_princessclean.apk,True,com.funpop.android_princessclean/smali_classes2/com/immersion/content/EndpointWarp.smali,N/A
com.miga.mytown.apk,True,com.miga.mytown/smali/com/unity3d/player/UnityPlayer.smali,N/A
org.zhiyuan.zhiyuan24.apk,True,org.zhiyuan.zhiyuan24/smali/org/qtproject/qt5/android/bindings/QtActivity.smali,N/A
id.sch.smkn2cikbar.exambrowser.apk,False,N/A,N/A
com.phonegap.Physics_G12_By_Tshepo.apk,False,N/A,N/A
com.amalpro.ta3alom.lora_english.apk,False,N/A,N/A
com.duy.pascal.compiler.apk,False,N/A,N/A
kidzooly.rhymes.apk,True,kidzooly.rhymes/smali_classes2/com/unity3d/player/UnityPlayer.smali,N/A
com.wifistudy.onlinetest.apk,True,com.wifistudy.onlinetest/smali/com/google/android/gms/vision/EngineManager.smali,N/A
solver.equation.calculator.apk,True,solver.equation.calculator/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
id.co.kayuku.exambrowserku.apk,False,N/A,N/A
englishforbeginners.learnenglish.nu.apk,False,N/A,N/A
com.magzter.safari.apk,True,com.magzter.safari/smali_classes2/com/magzter/pdfium/PdfiumCore.smali,N/A
br.gov.ce.seduc.alunoonlineapp.apk,False,N/A,N/A
com.naing.englishspeakingformm.apk,True,com.naing.englishspeakingformm/smali/com/a/a/e.smali,N/A
com.appsidea.learn.aftereffects.apk,False,N/A,N/A
com.muhfau.nulisjawa.apk,False,N/A,N/A
hpandro.java.infosec.su.apk,False,N/A,N/A
com.IndexEducation.Pronote.apk,False,N/A,Cordova
com.netacad.PacketTracerM.apk,True,com.netacad.PacketTracerM/smali/org/qtproject/qt5/android/bindings/QtActivity.smali,N/A
com.vitotechnology.StarWalk2Free.apk,True,com.vitotechnology.StarWalk2Free/smali/com/vitotechnology/calendarplugin/CalendarPlugin.smali,N/A
name.antonsmirnov.android.cppdroid.apk,True,name.antonsmirnov.android.cppdroid/smali_classes2/name/antonsmirnov/android/helper/process/ProcessHelper.smali,N/A
com.lumoslabs.lumosity.apk,True,com.lumoslabs.lumosity/smali_classes2/org/cocos2dx/v3/Cocos2dxActivity.smali,N/A
com.lingodeer.apk,True,com.lingodeer/smali/com/tencent/mmkv/MMKV.smali,N/A
br.gov.pr.celepar.escolapr.apk,True,br.gov.pr.celepar.escolapr/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.sex.life.sexlifegude.kamasutra.naughtyboysapps.apk,False,N/A,N/A
com.flexcoder.capsmobile.apk,False,N/A,N/A
com.cookiejardevelopment.firefog.apk,False,N/A,N/A
com.desmos.calculator.apk,False,N/A,N/A
com.david.android.languageswitch.apk,False,N/A,N/A
com.quranlms.apk,True,com.quranlms/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A
letest.ncertbooks.apk,True,letest.ncertbooks/smali/com/artifex/mupdfdemo/MuPDFCore.smali,N/A
air.com.fernus.karekok.sorucozum.apk,True,N/A,N/A
com.hellotalk.apk,True,com.hellotalk/smali_classes2/com/hellotalk/core/app/b.smali,N/A
com.atistudios.mondly.languages.apk,True,com.atistudios.mondly.languages/smali/org/chromium/base/library_loader/Linker.smali,Cordova
air.nn.mobile.app.main.apk,True,air.nn.mobile.app.main/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,Mono
eu.spaggiari.classevivastudente.apk,True,N/A,N/A
alamin.mohamed.islam.app.qurankarim.lireandlisten.apk,False,N/A,N/A
www.kdict.net.apk,True,www.kdict.net/smali/com/immersion/content/EndpointWarp.smali,N/A
braulio.calle.bluetoothRCcontroller.apk,False,N/A,N/A
com.ecstudiosystems.electriccircuitstudio.apk,False,N/A,N/A
org.edx.mobile.apk,True,org.edx.mobile/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.mouda3.sya9a.apk,True,com.mouda3.sya9a/smali/com/mouda3/sya9a/ve.smali,N/A
com.tdcp.threedc.apk,False,N/A,Cordova
com.bktranslator.enlishburmese.apk,False,N/A,N/A
com.miga.mytvshows.apk,True,com.miga.mytvshows/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.noonEdu.k12App.apk,True,com.noonEdu.k12App/smali_classes2/com/opentok/android/v3/loader/Loader.smali,N/A
air.com.fernus.isler.capp.apk,True,N/A,N/A
org.plantnet.apk,True,org.plantnet/smali/com/facebook/soloader/SoLoader.smali,React
in.gov.diksha.app.apk,False,N/A,Cordova
com.veitch.themelodymaster.pmf.apk,False,N/A,N/A
com.phonegap.LifeSciences_G12_By_Tshepo.apk,False,N/A,N/A
com.kbmmobile.kbm.user.ruqyah.mp3.offline.sheikh.mishary.rashid.alafasy.terapiruqyahampuh.ayat.ruqya.apk,False,N/A,N/A
com.ufo.learnjapanese.apk,False,N/A,N/A
com.virtlab.cncsim_free.apk,True,com.virtlab.cncsim_free/smali/com/google/ar/core/Session.smali,N/A
com.learntomaster.vtlts.apk,False,com.learntomaster.vtlts/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
ru.iiec.cxxdroid.apk,True,ru.iiec.cxxdroid/smali/iiec/androidterm/Exec.smali,N/A
co.gradeup.k12.apk,True,co.gradeup.k12/smali_classes2/org/tensorflow/lite/TensorFlowLite.smali,N/A
ru.zengalt.simpler.apk,False,ru.zengalt.simpler/smali/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
www.turboc8.com.turbocdroider.apk,True,www.turboc8.com.turbocdroider/smali/com/fishstix/dosboxfree/DBMain.smali,N/A
online.eseva.schoolmitr.apk,False,online.eseva.schoolmitr/smali/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.area120.grasshopper.apk,True,com.area120.grasshopper/smali_classes2/com/instabug/library/internal/storage/Encryptor.smali,React
com.languagedrops.drops.scrips.learn.write.alphabet.letters.characters.language.japanese.korean.chinese.apk,True,com.languagedrops.drops.scrips.learn.write.alphabet.letters.characters.language.japanese.korean.chinese/smali/com/facebook/soloader/SoLoader.smali,React
com.learn.photomath.learnmath.mathsolver.apk,True,com.learn.photomath.learnmath.mathsolver/smali_classes2/com/microblink/recognition/NativeLibraryLoader.smali,N/A
com.cambly.cambly.apk,True,com.cambly.cambly/smali_classes3/io/agora/rtc/internal/RtcEngineImpl.smali,N/A
com.miga.myapartment.apk,True,com.miga.myapartment/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.edmobilelabs.sling.apk,True,com.edmobilelabs.sling/smali_classes2/pl/droidsonroids/gif/g.smali,N/A
talkenglish.com.standard.apk,False,N/A,N/A
com.subsplash.thechurchapp.xxxchurch.apk,True,com.subsplash.thechurchapp.xxxchurch/smali_classes2/in/uncod/android/bypass/Bypass.smali,React
com.ufo.learnchinese.apk,False,N/A,N/A
com.talkenglish.conversation.apk,True,N/A,N/A
com.s16.engmyan.apk,False,N/A,N/A
com.everycircuit.free.apk,True,com.everycircuit.free/smali/com/everycircuit/Interface.smali,N/A
dcta.oficinas.conalep.apk,False,N/A,N/A
com.feathercompany.www.apk,False,N/A,N/A
com.doubtnutapp.apk,True,com.doubtnutapp/smali_classes2/com/facebook/soloader/SoLoader.smali,Cordova
kr.co.rinasoft.yktime.apk,True,kr.co.rinasoft.yktime/smali/com/getkeepsafe/relinker/d.smali,N/A
com.vertaler.rude.apk,False,N/A,N/A
br.com.passeidireto.apk,True,br.com.passeidireto/smali/com/facebook/soloader/SoLoader.smali,React
aminsheikho.alameencalendar2015.apk,False,N/A,N/A
example.matharithmetics.apk,False,N/A,N/A
com.nhn.android.naverdic.apk,True,com.nhn.android.naverdic/smali_classes2/com/naver/speech/clientapi/SpeechRecognizer.smali,N/A
com.vertaler.ruen.apk,False,N/A,N/A
com.khalidiapps.mlb.bangbang.apk,False,N/A,N/A
br.gov.ce.seduc.aluno.apk,True,br.gov.ce.seduc.aluno/smali/io/flutter/view/FlutterMain.smali,Flutter
com.lg.real.manual.car.driving.simulator.apk,True,com.lg.real.manual.car.driving.simulator/smali/com/unity3d/player/UnityPlayer.smali,N/A
in.lecturenotes.lecturenotes.apk,True,in.lecturenotes.lecturenotes/smali/com/facebook/soloader/SoLoader.smali,React
com.dztall.ccr.android.admob.apk,True,com.dztall.ccr.android.admob/smali/org/libsdl/app/SDLActivity.smali,N/A
com.vertaler.fren.apk,False,N/A,N/A
ru.yandex.translate.apk,True,ru.yandex.translate/smali_classes2/ru/yandex/translate/core/offline/jni/OfflineLibraryLoader.smali,N/A
org.brilliant.android.apk,False,N/A,N/A
com.funpop.android_makeupcake.apk,True,com.funpop.android_makeupcake/smali_classes2/com/immersion/content/EndpointWarp.smali,N/A
com.hellochinese.apk,True,com.hellochinese/smali/com/oralkungfu/VoiceScore.smali,N/A
com.venox.dictionnaire_francais_arabe.apk,False,N/A,N/A
org.catrobat.catroid.apk,True,org.catrobat.catroid/smali_classes2/org/catrobat/catroid/CatroidApplication.smali,N/A
com.englishscore.apk,True,com.englishscore/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.quizizz_mobile.apk,True,com.quizizz_mobile/smali/com/facebook/soloader/SoLoader.smali,React
com.suvorov.id_en.apk,False,N/A,N/A
air.com.fernus.bilgisarmal.sorucozum.apk,True,N/A,N/A
com.phoenix.atlas.apk,False,N/A,N/A
jqsoft.apps.periodictable.hd.apk,False,N/A,N/A
com.miga.mypets.apk,True,com.miga.mypets/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.pavansgroup.rtoexam.apk,False,N/A,N/A
com.daveyhollenberg.electronicstoolkit.apk,False,N/A,N/A
jp.neoscorp.edu.shinchan.apk,True,jp.neoscorp.edu.shinchan/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.porolingo.econversation.apk,False,N/A,N/A
br.com.app.gpu1788917.gpu65befdddc9e5d51ef434735ea28f2542.apk,True,br.com.app.gpu1788917.gpu65befdddc9e5d51ef434735ea28f2542/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.jesusdigitalrd.jpcsim.apk,True,com.jesusdigitalrd.jpcsim/smali/com/yoyogames/runner/RunnerJNILib.smali,N/A
com.theophrast.droidpcb.apk,False,com.theophrast.droidpcb/smali_classes2/org/andengine/AndEngine.smali,N/A
kdev.prayertimes.apk,False,N/A,N/A
daldev.android.gradehelper.apk,False,N/A,N/A
com.abaenglish.videoclass.apk,True,com.abaenglish.videoclass/smali/com/getkeepsafe/relinker/d.smali,N/A
yucheyahya.mobileexamreg.apk,False,N/A,N/A
co.thoron.langmate.apk,True,N/A,N/A
com.miga.myfirestation.apk,True,com.miga.myfirestation/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.group747.betaphysics.apk,False,N/A,N/A
com.ted.android.apk,True,com.ted.android/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.hypertonicapps.myanmarenglishtranslator.apk,False,N/A,N/A
woongjin.co.kr.bigbox.apk,True,woongjin.co.kr.bigbox/smali_classes2/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A
com.funeasylearn.english.apk,False,N/A,N/A
com.byjus.k3.apk,True,com.byjus.k3/smali_classes52/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.vertaler.bnen.apk,False,N/A,N/A
com.Obenkyo.apk,False,N/A,N/A
me.mycake.apk,True,me.mycake/smali/com/facebook/soloader/SoLoader.smali,React
com.smartfren.lte4g.apk,False,N/A,N/A
org.geogebra.android.geometry.apk,False,N/A,N/A
air.com.ag.virtualclassroomapp.apk,True,N/A,N/A
cpp.programming.apk,False,N/A,N/A
com.sevenonelab.bangla_waz_audio.apk,False,N/A,N/A
jp.smarteducation.tofusushi.apk,True,jp.smarteducation.tofusushi/smali_classes2/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A
com.phonegap.Geography_G12_By_Tshepo.apk,False,N/A,N/A
com.vn.dic.e.v.ui.apk,True,com.vn.dic.e.v.ui/smali/com/recog/k.smali,N/A
com.blackboard.android.bbstudent.apk,True,com.blackboard.android.bbstudent/smali_classes2/com/blackboard/android/bbstudent/application/StudentApplication.smali,N/A
com.silvermoonapps.learnkoreanquicklite.apk,False,N/A,N/A
com.simri.baraem1.apk,False,N/A,N/A
world.easysolution.schoolcalc.apk,False,N/A,N/A
com.youdao.hindict.apk,True,com.youdao.hindict/smali_classes2/pl/droidsonroids/gif/h.smali,N/A
org.khanacademy.android.apk,True,org.khanacademy.android/smali/com/facebook/soloader/SoLoader.smali,React
learn.hazem.com.apk,False,N/A,N/A
com.kurddevelopers.matal.apk,False,N/A,N/A
com.ngier.roket.apk,False,N/A,N/A
com.androidarab.dic.tyeb.apk,True,com.androidarab.dic.tyeb/smali/c/a/a/t0.smali,N/A
com.rendernet.humanmale.apk,True,com.rendernet.humanmale/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.unej.sisterforstudent.apk,False,com.unej.sisterforstudent/smali/com/google/android/gms/internal/vision/zzm.smali,N/A
org.geogebra.apk,True,org.geogebra/smali/javagiac/minitest.smali,Cordova
milous.wassim.hassibelmou3adal.apk,False,N/A,N/A
ab.java.programming.apk,False,N/A,N/A
com.netso.mobileguideapp.apk,False,N/A,N/A
br.gov.sp.educacao.minhaescola.apk,False,N/A,N/A
com.learnsolo.myanmardictionaryoffline.apk,False,N/A,N/A
com.shwebook.pro.apk,False,N/A,N/A
com.suvorov.ru_en.apk,False,N/A,N/A
kidzooly.fivelittle.apk,True,kidzooly.fivelittle/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.ufo.speakkorean.apk,False,com.ufo.speakkorean/smali/com/ufo/speakkorean/utils/Native.smali,N/A
org.contentarcadeapps.plagiarismchecker.apk,True,org.contentarcadeapps.plagiarismchecker/smali_classes2/com/google/firebase/ml/naturallanguage/translate/internal/TranslateJni.smali,N/A
com.britishcouncil.ieltsprep.apk,True,com.britishcouncil.ieltsprep/smali/d/d/a/g.smali,N/A
air.com.ercangigi.sitesin3d.apk,True,air.com.ercangigi.sitesin3d/smali/com/ercangigi/sitesinvr/daydream/MainActivity.smali,N/A
com.elasthink.lyricstraining.apk,False,N/A,Cordova
com.emulestudio.math.apk,True,com.emulestudio.math/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.etarions.aksarajawa.apk,False,N/A,N/A
no.mobitroll.kahoot.android.apk,False,N/A,N/A
za.co.jsdtsolutions.grade11mathematicsmobileapplication.apk,False,N/A,N/A
haygot.togyah.app.apk,False,haygot.togyah.app/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A
free_translator.aren.apk,False,N/A,N/A
mawuoodacademy.english.phrases.apk,False,N/A,N/A
wassimtech.hassibelmou3adallycee.apk,False,N/A,N/A
frog.makcrit.mak.plekenture.apk,False,N/A,N/A
com.inc.reco.athkar.apk,False,N/A,N/A
com.moodle.moodlemobile.apk,True,com.moodle.moodlemobile/smali/io/liteglue/SQLiteConnector.smali,Cordova
ru.adhocapp.vocaberry.apk,True,ru.adhocapp.vocaberry/smali_classes2/com/snappydb/internal/DBImpl.smali,N/A
pdd.app.y2016.free.apk,False,N/A,N/A
net.zenius.mobile.apk,True,net.zenius.mobile/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,Flutter
com.microsoft.math.apk,True,com.microsoft.math/smali/com/facebook/soloader/SoLoader.smali,React
com.goodbarber.mmkcoaching.apk,True,com.goodbarber.mmkcoaching/smali_classes2/io/card/payment/CardScanner.smali,N/A
com.almaany.arar.apk,True,com.almaany.arar/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.diy.school.apk,False,N/A,N/A
com.evilduck.musiciankit.apk,True,com.evilduck.musiciankit/smali/com/evilduck/musiciankit/metronome/NativeMetronome.smali,N/A
com.freeit.java.apk,True,com.freeit.java/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.newConcept.bsatahalk.apk,False,N/A,N/A
com.PYOPYO.StarTracker.apk,True,com.PYOPYO.StarTracker/smali_classes2/jp/co/agoop/networkconnectivity/lib/alphsspeed/SpmsTools.smali,N/A
com.learning.kbzbank.apk,True,com.learning.kbzbank/smali/io/sqlc/SQLitePlugin$SQLiteNativeDatabase.smali,Cordova
com.biipbyte.dedaabox.apk,True,com.biipbyte.dedaabox/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
com.tonguc.doktor.apk,True,com.tonguc.doktor/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A
com.peat.GartenBank.apk,False,N/A,N/A
com.flowkey.app.apk,True,com.flowkey.app/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,React
ru.iiec.pydroid3.apk,True,ru.iiec.pydroid3/smali/iiec/androidterm/Exec.smali,N/A
com.controlepost.apk,False,N/A,"Capacitor, Cordova"
boris.javascript.apk,True,boris.javascript/smali/boris/javascript/JavaScript.smali,N/A
br.com.zeroum.cancionesdelagranja.apk,False,N/A,N/A
com.recognize_text.translate.screen.apk,True,com.recognize_text.translate.screen/smali/com/googlecode/tesseract/android/TessBaseAPI.smali,N/A
com.narayana.nlearn.apk,False,N/A,N/A
com.edriving.mentor.amazon.apk,False,com.edriving.mentor.amazon/smali_classes2/org/apache/log4j/nt/NTEventLogAppender.smali,N/A
seduce.go.gov.br.palmadamao.activities.apk,False,N/A,N/A
com.QuranReading.urduquran.apk,False,N/A,N/A
com.ichi2.anki.apk,True,com.ichi2.anki/smali/io/requery/android/database/sqlite/SQLiteDatabase.smali,N/A
com.chinhvd.gradereport.apk,False,N/A,N/A
andrei.brusentcov.schoolcalculator.free.apk,False,N/A,N/A
org.geogebra.android.apk,False,N/A,N/A
appinventor.ai_itiel_maimon.Rubiks_cube.apk,False,N/A,N/A
com.motorolainsiders.global.apk,False,N/A,N/A
air.cbn.superbook.bible.app.android.apk,True,N/A,N/A
id.cerebrum.app.apk,False,N/A,N/A
