Apk name,Native library so file exist,Source file name load library,Platform name
com.vlogstar.staryoutube.video.videoeditor.star.apk,True,com.vlogstar.staryoutube.video.videoeditor.star/smali_classes2/org/bytedeco/javacpp/Loader.smali,N/A
ru.cn.tv.apk,True,ru.cn.tv/smali_classes2/ru/inetra/bytefog/service/BytefogLibrary.smali,N/A
com.newandrogo.newanimegonontonanimechannelandtvindonesia.apk,True,com.newandrogo.newanimegonontonanimechannelandtvindonesia/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A
fs20.news.apk,True,fs20.news/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A
com.devidev.asianuplivegirls.apk,False,N/A,N/A
nickname.generator.free.apk,False,N/A,N/A
com.Funimation.FunimationNow.apk,True,com.Funimation.FunimationNow/smali_classes2/com/labgency/tools/security/CryptoManager.smali,N/A
foralgozze.notelsoft.gozze.apk,False,foralgozze.notelsoft.gozze/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.crunchyroll.crunchyroid.apk,True,com.crunchyroll.crunchyroid/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A
me.zepeto.main.apk,True,me.zepeto.main/smali_classes2/com/yusufolokoba/natrender/AsyncGPUReadback.smali,N/A
com.hbo.android.app.apk,False,N/A,N/A
com.textingstory.textingstory.apk,True,com.textingstory.textingstory/smali/com/facebook/crypto/e/c.smali,N/A
com.ryzenrise.thumbnailmaker.apk,True,com.ryzenrise.thumbnailmaker/smali/com/ryzenrise/thumbnailmaker/MyWrapperProxyApplication.smali,N/A
com.hibox.movie.play.lite.apk,True,com.hibox.movie.play.lite/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.shinemusicplayer.androidgpmusic.apk,True,com.shinemusicplayer.androidgpmusic/smali/com/shinemusicplayer/androidgpmusic/MyWrapperProxyApplication.smali,N/A
com.curiousbrain.popcornflix.apk,True,com.curiousbrain.popcornflix/smali_classes2/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A
com.hulu.plus.apk,False,N/A,N/A
com.xumo.xumo.apk,True,com.xumo.xumo/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
xyz.gl.moviein.apk,True,xyz.gl.moviein/smali/com/facebook/soloader/SoLoader.smali,N/A
bbc.iplayer.android.apk,True,bbc.iplayer.android/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.bskyb.skygo.apk,True,com.bskyb.skygo/smali_classes2/com/sky/vault/cipher/KeyManager.smali,N/A
com.ninegag.android.app.apk,True,com.ninegag.android.app/smali_classes2/com/instabug/library/internal/storage/Encryptor.smali,N/A
com.next.fm.fmwa.phone.app.apk,False,N/A,N/A
com.valvesoftware.android.steam.community.apk,False,N/A,N/A
com.remotrapp.remotr.apk,True,com.remotrapp.remotr/smali/com/razerzone/turretmouse/HidJni.smali,N/A
com.cineplay.premiumapp.apk,False,com.cineplay.premiumapp/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.no.color.apk,False,N/A,N/A
tv.twitch.android.app.apk,True,tv.twitch.android.app/smali_classes2/tv/twitch/Library.smali,N/A
com.viusasa.apk,False,com.viusasa/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.evdtvplus.evdtvplusiptvbox.apk,True,com.evdtvplus.evdtvplusiptvbox/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
com.iqiyi.i18n.apk,Error,Error,Error
tuananh.hotvideo2019.apk,False,N/A,N/A
com.picsart.draw.apk,True,com.picsart.draw/smali/com/picsart/draw/util/math/bezier/Path.smali,N/A
com.apyar.app.apk,False,N/A,N/A
org.xbmc.vavoo.apk,True,org.xbmc.vavoo/smali/org/xbmc/vavoo/Main.smali,N/A
com.p.series.apk,True,com.p.series/smali/com/facebook/soloader/SoLoader.smali,N/A
mm.com.mptvas.apk,True,mm.com.mptvas/smali/org/vudroid/core/VuDroidLibraryLoader.smali,N/A
com.cerdillac.storymaker.apk,True,com.cerdillac.storymaker/smali/com/cerdillac/storymaker/MyApplication.smali,N/A
com.mistplay.mistplay.apk,True,com.mistplay.mistplay/smali/com/facebook/soloader/SoLoader.smali,N/A
com.techroid.fakechat.apk,False,N/A,N/A
com.abscbn.iwantv.apk,True,com.abscbn.iwantv/smali_classes2/com/akamai/exoplayer2/util/LibraryLoader.smali,N/A
com.plexapp.android.apk,True,com.plexapp.android/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A
com.vizer.plus.apk,True,com.vizer.plus/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A
com.peliculas.movie.go.apk,False,N/A,Cordova
com.kayenworks.mcpeaddons.apk,True,com.kayenworks.mcpeaddons/smali_classes2/com/kayenworks/mcpeaddons/Native.smali,N/A
com.netflix.android_vr.apk,True,com.netflix.android_vr/smali/com/google/vr/ndk/base/GvrApi.smali,N/A
theme.gold.diamond.pink.apk,True,theme.gold.diamond.pink/smali/com/cm/ʻ/ⁱˋ.smali,N/A
com.imdb.mobile.apk,True,com.imdb.mobile/smali_classes2/com/comscore/util/setup/Setup.smali,N/A
gift.wojingdaile.apk,True,gift.wojingdaile/smali_classes2/gift/wallet/uninstallfeedbackjni/NDK.smali,N/A
com.tubemote.app.apk,False,N/A,N/A
es.treebit.decisionroulette.apk,True,es.treebit.decisionroulette/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.huya.nimo.apk,True,com.huya.nimo/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.lanparty.app.apk,True,com.lanparty.app/smali/androidx/renderscript/RenderScript.smali,N/A
com.abccontent.mahartv.apk,True,com.abccontent.mahartv/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
kr.co.nowcom.mobile.afreeca.apk,True,kr.co.nowcom.mobile.afreeca/smali_classes2/com/google/vr/cardboard/api/CardboardApi.smali,N/A
lanc.was12.apk,True,lanc.was12/smali/srv/app/Fz.smali,N/A
com.boredinglabs.videoabg.apk,True,com.boredinglabs.videoabg/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.adsk.sketchbook.apk,True,com.adsk.sketchbook/smali/c/a/c/i0/v.smali,N/A
com.ismaker.android.simsimi.apk,True,com.ismaker.android.simsimi/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A
com.WatchMoviesOnline.apk,False,N/A,N/A
com.huya.nimogameassist.apk,True,com.huya.nimogameassist/smali_classes2/io/agora/rtc/internal/RtcEngineImpl.smali,N/A
com.solidict.gnc2.apk,False,N/A,N/A
com.suatelav27.apk,True,com.suatelav27/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.moonstudio.mapcoc.apk,False,N/A,N/A
com.hbo.hbonow.apk,True,com.hbo.hbonow/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.kondi.wifihackerp.apk,False,N/A,N/A
com.astro.astro.apk,True,com.astro.astro/smali_classes2/com/nds/vgdrm/impl/generic/VGDrmFactoryImpl.smali,N/A
com.ideacellular.digitalvideo.apk,True,com.ideacellular.digitalvideo/smali/com/facebook/soloader/SoLoader.smali,N/A
com.xxi.movie.apk,False,N/A,Cordova
com.fittv.fittviptvbox.apk,True,com.fittv.fittviptvbox/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
ht.nct.apk,True,ht.nct/smali_classes2/com/google/android/gms/internal/vision/zzm.smali,N/A
com.canal.android.canal.apk,True,com.canal.android.canal/smali_classes2/com/google/vr/ndk/base/DefaultNativeLibraryLoader.smali,N/A
com.fta.rctitv.apk,True,com.fta.rctitv/smali/z0/h/a/h.smali,N/A
net.videosoverload.topvideos2019.apk,False,net.videosoverload.topvideos2019/smali/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
com.windm.soccar.sejutaumat.apk,False,N/A,N/A
com.suatelav2.apk,True,com.suatelav2/smali/org/chromium/base/library_loader/Linker.smali,Cordova
com.fakecallgame.apk,False,N/A,N/A
com.tv.sonyliv.apk,False,N/A,N/A
com.eai.tv.eaitv.apk,True,com.eai.tv.eaitv/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.gamefly.android.gamecenter.apk,False,N/A,N/A
com.tubitv.apk,False,N/A,N/A
com.pelix.peliculasgratishd.apk,False,com.pelix.peliculasgratishd/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.nvidia.tegrazone3.apk,True,com.nvidia.tegrazone3/smali/com/nvidia/grid/RemoteVideoUtil.smali,N/A
com.gotv.crackle.handset.apk,True,com.gotv.crackle.handset/smali/com/adobe/ave/VideoEngine.smali,N/A
lufferentroall.softentro.luffer.apk,False,lufferentroall.softentro.luffer/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.tru.apk,False,com.tru/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.ionitech.airscreen.apk,True,com.ionitech.airscreen/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
net.telewebion.apk,True,net.telewebion/smali/androidx/renderscript/RenderScript.smali,N/A
com.science.yarnapp.apk,False,com.science.yarnapp/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.ciberdroix.ghostsandspirits.apk,False,N/A,N/A
com.lyxoto.master.forminecraftpe.apk,True,com.lyxoto.master.forminecraftpe/smali_classes2/com/litl/leveldb/DB.smali,N/A
com.starmakerinteractive.thevoice.apk,True,com.starmakerinteractive.thevoice/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.directv.dvrscheduler.apk,True,com.directv.dvrscheduler/smali_classes2/com/morega/qew/engine/jnilayer/DeviceCommunicationManager.smali,N/A
id.tix.android.apk,True,id.tix.android/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.prankbuzz.wifihacker.apk,False,N/A,N/A
com.ringpro.popular.ringtones.apk,False,N/A,N/A
club.summertime.summercompletewalkthrough.apk,False,club.summertime.summercompletewalkthrough/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.ryzenrise.vaporcam.apk,True,com.ryzenrise.vaporcam/smali/com/ryzenrise/vaporcam/MyWrapperProxyApplication.smali,N/A
net.mbc.shahid.apk,False,net.mbc.shahid/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.tva.z5.apk,True,com.tva.z5/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.lge.app1.apk,False,com.lge.app1/smali_classes2/org/apache/log4j/nt/NTEventLogAppender.smali,N/A
es.plus.yomvi.apk,True,es.plus.yomvi/smali/nagra/nmp/sdk/NMPSDK.smali,N/A
com.cerdillac.persetforlightroom.apk,True,com.cerdillac.persetforlightroom/smali/com/cerdillac/persetforlightroom/MyWrapperProxyApplication.smali,N/A
vn.vmg.videohot.apk,True,vn.vmg.videohot/smali/vn/vmg/videohot/FlashScreen.smali,N/A
com.jio.media.ondemand.apk,False,com.jio.media.ondemand/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.roku.remote.apk,True,com.roku.remote/smali_classes2/roku/audio/OpenSLES.smali,N/A
hojo.playhojo.forU.apk,False,N/A,N/A
com.playstation.remoteplay.apk,True,com.playstation.remoteplay/smali/o/ϲı.smali,N/A
com.shabakaty.TV.apk,True,com.shabakaty.TV/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A
