Apk name,Native library so file exist,Source file name load library,Platform name
com.pixmob.klik.event_app_android.apk,False,N/A,N/A
appinventor.ai_fabio23ita.campaniaeventiconcertisagre.apk,False,N/A,N/A
com.pluginbim.plugin.apk,False,N/A,N/A
com.jigneshdada.bhajan.radhe_radhe.apk,False,com.jigneshdada.bhajan.radhe_radhe/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
net.ebazar.mercadolivreexperience.apk,True,net.ebazar.mercadolivreexperience/smali/com/badlogic/gdx/backends/android/AndroidGL20.smali,N/A
com.wegow.wegow.apk,True,com.wegow.wegow/smali_classes2/io/card/payment/CardScanner.smali,N/A
io.gonative.android.lpmpjd.apk,False,N/A,N/A
br.com.adaltech.bilheteriavirtual.apk,True,br.com.adaltech.bilheteriavirtual/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.unilodge.app.apk,True,com.unilodge.app/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.nestedif.nullapp.apk,False,N/A,N/A
psyar.volam.app.apk,False,psyar.volam.app/smali/rapid/decoder/builtin/PngDecoder.smali,N/A
hk.com.cmahk.apk,True,hk.com.cmahk/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React
com.ftcapp.apk,True,com.ftcapp/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React
com.developergroup.personalWallet.apk,False,N/A,N/A
com.app_sstar16.layout.apk,True,com.app_sstar16.layout/smali_classes2/com/snappydb/internal/DBImpl.smali,N/A
com.autuskey.eztickets.apk,True,com.autuskey.eztickets/smali/com/facebook/soloader/SoLoader.smali,React
efe.com.movilapp76.apk,True,efe.com.movilapp76/smali/io/liteglue/SQLiteConnector.smali,Cordova
ch.rts.rtsfevi.apk,True,ch.rts.rtsfevi/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
ru.moscowseasons.moscowfest.apk,False,ru.moscowseasons.moscowfest/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
appinventor.ai_FranklinMinu.San_Agustin.apk,False,N/A,N/A
com.mifthi.niskarasamayam.apk,False,N/A,N/A
