Apk name,Native library so file exist,Source file name load library,Platform name
com.tencent.iglite.apk,True,com.tencent.iglite/smali/com/epicgames/ue4/GameActivity.smali,N/A
com.lulu.lulubox.apk,True,com.lulu.lulubox/smali_classes2/tv/athena/klog/hide/writer/a.smali,N/A
com.tencent.ig.apk,True,com.tencent.ig/smali/com/epicgames/ue4/GameActivity.smali,N/A
com.instagram.android.apk,True,com.instagram.android/smali/X/0E2.smali,React
com.facebook.orca.apk,True,com.facebook.orca/smali/X/0Mn.smali,React
com.kiloo.subwaysurf.apk,True,com.kiloo.subwaysurf/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A
com.android.vending.apk,True,com.android.vending/smali/dyc.smali,N/A
com.nemo.vidmate.apk,True,com.nemo.vidmate/smali_classes2/com/frostwire/jlibtorrent/swig/libtorrent_jni.smali,N/A
com.UCMobile.intl.apk,True,com.UCMobile.intl/smali_classes2/com/uc/base/rism/fgappinfo/policy/ProcFileCheckPolicy.smali,N/A
com.whatsapp.apk,True,com.whatsapp/smali/pl/droidsonroids/gif/GifInfoHandle.smali,N/A
com.mobile.legends.apk,True,com.mobile.legends/smali/tv/cjump/jni/NativeBitmapFactory.smali,N/A
