Apk name,Native library so file exist,Source file name load library,Platform name
com.RABAH.MOHAMMED.apk,True,com.RABAH.MOHAMMED/smali/com/facebook/soloader/SoLoader.smali,N/A
dil.diet_food.apk,False,N/A,N/A
com.myanplaystore.myanmarfood.apk,False,N/A,N/A
com.wolt.android.apk,True,com.wolt.android/smali_classes2/io/card/payment/CardScanner.smali,N/A
com.littlecaesars.apk,True,com.littlecaesars/smali_classes2/pl/droidsonroids/gif/GifInfoHandle.smali,N/A
apps.elckik.Cake.apk,False,N/A,N/A
com.appfarms.monsieurcuisine.apk,True,com.appfarms.monsieurcuisine/smali/com/yalantis/ucrop/task/BitmapCropTask.smali,N/A
br.com.bffc.bobs.app.apk,False,N/A,Cordova
com.monita.apk,False,N/A,N/A
uz.olim.tort_retsept.apk,False,N/A,N/A
com.krwassa.devlorida.apk,False,N/A,N/A
com.lafourchette.lafourchette.apk,True,com.lafourchette.lafourchette/smali/com/facebook/soloader/SoLoader.smali,N/A
com.regular.cake.apk,False,N/A,N/A
com.mrd.food.apk,True,com.mrd.food/smali_classes2/org/conscrypt/NativeCryptoJni.smali,N/A
br.com.deliverymuch.gastro.apk,True,br.com.deliverymuch.gastro/smali_classes2/io/card/payment/CardScanner.smali,N/A
com.gofood.customer.apk,False,com.gofood.customer/smali/io/card/payment/CardScanner.smali,N/A
com.mcdonalds.app.uk.apk,True,com.mcdonalds.app.uk/smali/com/autonavi/amap/mapcore/AMapNativeRenderer.smali,N/A
apps.abdo.sweetart.apk,False,N/A,N/A
dil.healthy_recipe.apk,False,N/A,N/A
com.cookomix.mobile.apk,True,com.cookomix.mobile/smali/com/frostwire/jlibtorrent/swig/libtorrent_jni.smali,N/A
mobi.debonairspizza.iosapp.apk,False,N/A,N/A
com.loya.privoz.apk,False,N/A,Cordova
jp.co.akindo_sushiro.sushiroapp.apk,False,N/A,N/A
com.hungerbox.customer.common.apk,True,com.hungerbox.customer.common/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.fineapp.yogiyo.apk,True,N/A,N/A
com.dow.sayedaty.apk,True,com.dow.sayedaty/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.woowahan.vn.baemin.apk,True,com.woowahan.vn.baemin/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,React
com.adventoris.bws.apk,True,com.adventoris.bws/smali/com/adventoris/swiftcloud/BarcodeScan.smali,N/A
com.dominospizza.apk,False,N/A,N/A
com.loyaltyplant.partner.lightroom2.apk,True,com.loyaltyplant.partner.lightroom2/smali/mono/MonoPackageManager.smali,Mono
dil.cook_recipe.apk,False,N/A,N/A
com.cook.cookinggamesmarch2.apk,True,com.cook.cookinggamesmarch2/smali/com/unity3d/player/UnityPlayer.smali,N/A
za.mcdonalds.delivery.apk,False,N/A,N/A
com.ajvierci.burgerking.apk,True,com.ajvierci.burgerking/smali/com/facebook/soloader/SoLoader.smali,React
com.tweglobal.ar19crimes.apk,True,com.tweglobal.ar19crimes/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.puresoft.salads.apk,True,com.puresoft.salads/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React
io.appery.project320490.apk,False,N/A,Cordova
com.grab.merchant.apk,True,com.grab.merchant/smali/io/flutter/view/FlutterMain.smali,Flutter
ru.dodopizza.app.apk,True,ru.dodopizza.app/smali/io/card/payment/CardScanner.smali,N/A
com.andromo.dev494239.app578430.apk,False,N/A,N/A
com.winesearcher.apk,True,N/A,N/A
com.emn8.mobilem8.nativeapp.popeyes.apk,False,N/A,"Capacitor, Cordova"
com.yourdelivery.pyszne.apk,False,N/A,N/A
