Apk name,Native library so file exist,Source file name load library,Platform name
com.pokedex_v1.apk,True,com.pokedex_v1/smali/com/facebook/soloader/SoLoader.smali,React
com.n0n3m4.gcc4droid.apk,True,N/A,N/A
com.backup.dataos.apk,False,N/A,N/A
com.agf.usb.formatter.apk,False,N/A,N/A
com.coolringtones.topringtones2017.ringtonesforoppo.apk,False,N/A,N/A
com.house_minecraft.peli.apk,True,com.house_minecraft.peli/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,N/A
com.finestandroid.voiceeffect.apk,False,N/A,N/A
com.ranat_iraqi_ringtones.ranatiraqia.chilatiraqia.dandaniraq.apk,False,N/A,N/A
com.agf.usbotg.Endoscope.apk,False,N/A,N/A
com.froop.app.kegs.apk,True,com.froop.app.kegs/smali/com/froop/app/kegs/KegsMain.smali,N/A
com.kava4g.zombie.apk,True,com.kava4g.zombie/smali/org/godotengine/godot/GodotLib.smali,N/A
com.desarrollodroide.repos.apk,True,N/A,N/A
com.startialab.actibook.apk,False,N/A,N/A
com.anysoftkeyboard.theme.three_d.apk,False,N/A,N/A
inc.trilokia.gfxtool.free.apk,False,N/A,N/A
com.bytestorm.artflow.input.sonarpen.apk,False,N/A,N/A
com.olaolaolaiptvdroid6.olav7byerezis1.apk,True,com.olaolaolaiptvdroid6.olav7byerezis1/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.dft.onyxdemo.apk,True,com.dft.onyxdemo/smali/org/opencv/osgi/OpenCVNativeLoader.smali,Cordova
com.macrovideo.v380s.apk,True,com.macrovideo.v380s/smali/com/macrovideo/sdk/smartlink/IoTManagerNative.smali,N/A
appinventor.ai_franck_arnel.JoseFelixRibas148.apk,False,N/A,N/A
com.re_coded.nds_quest.apk,False,N/A,N/A
com.xxmassdeveloper.mpchartexample.apk,False,N/A,N/A
com.gifs.flowers.apk,False,N/A,N/A
com.joker.quote.wallpapers.apk,False,N/A,N/A
com.perfecto.wifipassword.apk,False,N/A,N/A
avm.androiddukkan.ism.apk,False,N/A,N/A
com.selfhealing.chakrasnumber1.apk,False,com.selfhealing.chakrasnumber1/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
jp.kddilabs.n2tts.apk,True,jp.kddilabs.n2tts/smali/jp/kddilabs/n2tts/N2tts.smali,N/A
com.anysoftkeyboard.languagepack.thai.apk,False,N/A,N/A
com.sedevelop.dict.fritfl.free.apk,False,com.sedevelop.dict.fritfl.free/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.exapps.notepad.apk,False,N/A,N/A
com.mapbox.mapboxandroiddemo.apk,True,com.mapbox.mapboxandroiddemo/smali/com/a/a/l.smali,N/A
com.otg.micro.usb.mouse.settings.apk,False,N/A,N/A
com.chic.torch.apk,False,N/A,N/A
