Apk name,Native library so file exist,Source file name load library,Platform name
com.fabernovel.ratp.apk,True,com.fabernovel.ratp/smali_classes2/com/snappydb/internal/DBImpl.smali,N/A
com.getaround.android.apk,True,com.getaround.android/smali_classes2/io/flutter/view/FlutterMain.smali,Flutter
lk.icta.mobile.apps.dmt.apk,False,N/A,Cordova
com.underwood.route_optimiser.apk,True,com.underwood.route_optimiser/smali/com/google/android/apps/gmm/map/util/jni/NativeHelper.smali,N/A
com.telkka.apk,False,N/A,N/A
com.gps.navigation.map.route.finder.app.apk,True,com.gps.navigation.map.route.finder.app/smali/pl/droidsonroids/gif/GifInfoHandle.smali,N/A
com.artds.gps.camera.apk,True,com.artds.gps.camera/smali/com/artds/gps/camera/FireBaseInitializeApp.smali,N/A
ee.mtakso.client.apk,True,ee.mtakso.client/smali_classes2/io/card/payment/CardScanner.smali,N/A
de.schildbach.oeffi.apk,False,N/A,N/A
com.codigo.comfort.apk,True,com.codigo.comfort/smali_classes2/vkey/android/vos/VosWrapperBase.smali,N/A
com.getride.customer.apk,True,com.getride.customer/smali/com/getkeepsafe/relinker/SystemLibraryLoader.smali,N/A
com.bigbangdev.bussonora.apk,True,com.bigbangdev.bussonora/smali/com/facebook/soloader/SoLoader.smali,React
com.hubbmap.apk,True,com.hubbmap/smali/b/d/a/g.smali,N/A
tw.com.thsrc.texpress.apk,True,tw.com.thsrc.texpress/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A
com.fakegps.joystick.apk,False,N/A,N/A
com.gurtam.wialon_client.apk,True,com.gurtam.wialon_client/smali_classes2/com/gurtam/vtm/TextureMapView.smali,N/A
com.careem.bus.customer.apk,True,com.careem.bus.customer/smali_classes2/io/chirp/connect/ChirpConnectNative.smali,N/A
com.ticker.truck.driver.cargo.apk,True,com.ticker.truck.driver.cargo/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.psa.mym.mycitroen.apk,False,N/A,N/A
com.taxsee.driver.apk,True,com.taxsee.driver/smali/ru/taxsee/voiplib/VoIpService.smali,N/A
com.taxislibres.conductor.apk,False,N/A,N/A
com.olacabs.customer.apk,True,com.olacabs.customer/smali_classes2/com/scottyab/rootbeer/RootBeerNative.smali,N/A
com.hi.earthonline.livestreetview.liveworldwebcams.apk,False,N/A,N/A
com.bykea.pk.partner.apk,True,com.bykea.pk.partner/smali/top/oply/opuslib/OpusTool.smali,N/A
com.ftrt.phonelink.apk,False,N/A,N/A
find.my.cellphone.apk,False,N/A,N/A
com.calimoto.calimoto.apk,True,com.calimoto.calimoto/smali/org/oscim/a/b.smali,N/A
com.gokada.userapp.apk,True,com.gokada.userapp/smali/com/facebook/soloader/SoLoader.smali,React
xyz.be.driver.apk,True,xyz.be.driver/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,N/A
com.VoDrive.apk,False,N/A,N/A
com.topa.topaapp.apk,False,N/A,N/A
com.apsrtc.apk,False,N/A,N/A
com.yandex.courier.apk,True,com.yandex.courier/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,React
yanzm.products.suicareader.apk,False,N/A,N/A
com.mlubv.uber.az.apk,True,com.mlubv.uber.az/smali_classes2/io/card/payment/CardScanner.smali,N/A
com.megafreeapps.free.gps.navigation.speedometer.compass.apk,False,N/A,N/A
com.heetch.apk,True,com.heetch/smali/com/facebook/soloader/SoLoader.smali,N/A
com.tomtom.speedcams.android.map.apk,False,N/A,N/A
ru.yandex.taximeter.beta.apk,True,ru.yandex.taximeter.beta/smali_classes2/in/uncod/android/bypass/Bypass.smali,N/A
suntaxi.app.adsun.vn.apk,False,N/A,N/A
com.unicell.pangoandroid.apk,True,com.unicell.pangoandroid/smali_classes2/com/neura/wtf/hd.smali,N/A
com.vietmap.s1OBU.apk,True,com.vietmap.s1OBU/smali/com/papago/S1/Papago.smali,N/A
com.lenzetech.isearchingx.apk,True,com.lenzetech.isearchingx/smali/com/nlspeech/nlscodec/NlsCodec2.smali,N/A
com.waze.apk,True,com.waze/smali/com/waze/NativeManager.smali,N/A
com.company.ahmed.waen.apk,False,N/A,N/A
de.eos.uptrade.android.fahrinfo.berlin.apk,True,de.eos.uptrade.android.fahrinfo.berlin/smali_classes2/de/hafas/android/d.smali,N/A
com.generalmagic.magicearth.apk,True,com.generalmagic.magicearth/smali/com/generalmagic/android/engine/Native.smali,N/A
com.viamichelin.android.viamichelinmobile.apk,True,com.viamichelin.android.viamichelinmobile/smali/com/facebook/soloader/SoLoader.smali,N/A
est.driver.apk,False,N/A,N/A
com.jvstudios.gpstracker.apk,True,com.jvstudios.gpstracker/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.njtransit.njtapp.apk,True,com.njtransit.njtapp/smali/net/sqlcipher/database/SQLiteDatabase.smali,Cordova
