Apk name,Native library so file exist,Source file name load library,Platform name
com.alatorax.apk,False,N/A,Cordova
com.ionicframework.vezeetapatientsmobile694843.apk,True,com.ionicframework.vezeetapatientsmobile694843/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.medicaljoyworks.prognosis.apk,False,com.medicaljoyworks.prognosis/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
medicaljoyworks.com.explainmedicine.apk,False,N/A,N/A
in.co.nxs.oneceph.apk,False,N/A,N/A
ru.ymka.medic.apk,False,N/A,N/A
air.CT.apk,False,N/A,N/A
com.edoctores.android.apps.idoctus.apk,True,com.edoctores.android.apps.idoctus/smali_classes2/com/google/android/gms/vision/EngineManager.smali,React
com.onedroid.herbs_onedroid.apk,False,N/A,N/A
com.ciremai.isro.simanis.apk,False,N/A,N/A
com.doctoranywhere.apk,True,com.doctoranywhere/smali_classes2/com/google/android/gms/internal/vision/zzm.smali,N/A
com.qxmd.calculate.apk,True,com.qxmd.calculate/smali/org/liquidplayer/javascript/JSContext.smali,N/A
com.dexcom.cgm.apk,True,com.dexcom.cgm/smali/net/sqlcipher/database/SQLiteDatabase.smali,N/A
joydo.dakror.com.mymedicine5.apk,False,N/A,N/A
com.kbf.app22694583.apk,False,N/A,Cordova
com.herbal.encyclopedia.apk,True,com.herbal.encyclopedia/smali/com/facebook/soloader/SoLoader.smali,N/A
com.sminq.user.apk,False,N/A,N/A
com.aranoah.healthkart.plus.apk,False,N/A,N/A
com.mydiabetes.apk,True,com.mydiabetes/smali_classes2/com/google/android/gms/internal/vision/zzm.smali,N/A
ru.yandex.med.apk,True,ru.yandex.med/smali_classes2/org/webrtc/FileVideoCapturer.smali,N/A
plants.com.apk,False,N/A,N/A
com.myancaredoctor.apk,True,com.myancaredoctor/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.mobostudio.nightclock.apk,False,N/A,N/A
air.laboratory.test.values.apk,True,N/A,N/A
com.cube.arc.blood.apk,False,com.cube.arc.blood/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.app.taqiga.shwankdl.apk,False,N/A,N/A
com.apteka.sklad.apk,True,com.apteka.sklad/smali_classes2/io/objectbox/internal/NativeLibraryLoader.smali,N/A
pe.codespace.nanda.apk,False,N/A,N/A
com.anaskhattab.millidose2.apk,False,N/A,N/A
io.pacify.android.patient.apk,True,io.pacify.android.patient/smali_classes2/org/webrtc/PeerConnection.smali,N/A
andrei.brusentcov.eye_exercises.free.apk,False,N/A,N/A
com.signia.mobilefitting.apk,True,com.signia.mobilefitting/smali/mono/MonoPackageManager.smali,Mono
com.tkm.crf.apk,False,com.tkm.crf/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.mediquo.main.apk,True,N/A,N/A
com.rsudsidoarjo.santri.apk,False,N/A,Cordova
com.lyric.disorder_disease.apk,False,N/A,N/A
com.quartertone.medcalc.obwheel.apk,False,N/A,N/A
com.lbrc.PeriodCalendar.apk,True,com.lbrc.PeriodCalendar/smali/io/flutter/view/FlutterMain.smali,Flutter
com.woebot.apk,True,com.woebot/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.mfine.apk,True,com.mfine/smali/pl/droidsonroids/gif/h.smali,React
com.emri.emripilotapp.apk,False,N/A,N/A
com.jardogs.fmhmobile.apk,True,com.jardogs.fmhmobile/smali_classes2/com/vidyo/VidyoClient/Endpoint/EndpointPkg.smali,N/A
com.andromo.dev706301.app757834.apk,False,N/A,N/A
com.medex.yodawy.apk,True,com.medex.yodawy/smali/androidx/renderscript/RenderScript.smali,React
de.streuer.alexander.anatomyquiz.apk,False,N/A,N/A
ru.vigroup.apteka.apk,False,N/A,N/A
com.programmisty.emiasapp.apk,True,com.programmisty.emiasapp/smali/com/facebook/soloader/SoLoader.smali,React
com.v83043567.pzz.apk,True,com.v83043567.pzz/smali_classes68/org/android/spdy/SoInstallMgrSdk.smali,N/A
com.hoopoejourney.pronunciationassistant.apk,False,N/A,N/A
com.cdac.DWH.apk,False,N/A,Cordova
com.antonelyramelison.raokandro.apk,False,N/A,N/A
com.aptekarsk.pz.apk,True,com.aptekarsk.pz/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A
com.freestylelibre.app.es.apk,True,com.freestylelibre.app.es/smali/com/abbottdiabetescare/flashglucose/sensorabstractionservice/dataprocessing/DataProcessingNative.smali,N/A
com.artech.miips.escuchaips.apk,False,com.artech.miips.escuchaips/smali/com/genexus/LoadLibrary$1.smali,N/A
com.Halza.apk,True,com.Halza/smali/mono/MonoPackageManager.smali,Mono
com.appvise.apteca.apk,True,com.appvise.apteca/smali/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
com.sauvlife.app.apk,True,com.sauvlife.app/smali/com/facebook/soloader/SoLoader.smali,React
com.mobicrea.vidal.apk,True,com.mobicrea.vidal/smali/com/tns/RuntimeHelper.smali,N/A
org.mobil_med.android.apk,True,org.mobil_med.android/smali_classes2/com/yandex/runtime/internal/ReLinker.smali,N/A
net.tecseo.pharmadirectory.apk,False,N/A,N/A
com.philips.hc.ultrasound.lumify.apk,True,com.philips.hc.ultrasound.lumify/smali/philips/ultrasound/logging/Logger.smali,N/A
ab.damumed.apk,False,ab.damumed/smali/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A
ir.aftabeshafa.shafadoc.apk,False,N/A,N/A
com.oticon.remotecontrol.apk,True,com.oticon.remotecontrol/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A
org.msf.medical.guidelines.apk,True,org.msf.medical.guidelines/smali/org/appcelerator/kroll/runtime/v8/V8Runtime.smali,N/A
com.EAGINsoftware.dejaloYa.apk,True,com.EAGINsoftware.dejaloYa/smali_classes2/io/objectbox/internal/NativeLibraryLoader.smali,N/A
asu.mcq.apk,True,asu.mcq/smali/net/sqlcipher/database/SQLiteDatabase.smali,N/A
com.infusionesuci2.apk,False,N/A,N/A
com.applee.car.medsc.apk,False,N/A,N/A
com.ovuline.pregnancy.apk,True,com.ovuline.pregnancy/smali_classes2/pl/droidsonroids/gif/g.smali,N/A
com.amikulich.pregnancycalculator.apk,False,com.amikulich.pregnancycalculator/smali/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
com.philips.sleepmapper.root.apk,True,com.philips.sleepmapper.root/smali/com/philips/dreammapper/barcodescanner/ScannerView.smali,N/A
com.beltone.hearplusapp.apk,True,com.beltone.hearplusapp/smali/mono/MonoPackageManager.smali,Mono
com.resmed.myair.apk,True,com.resmed.myair/smali/com/shockwave/pdfium/PdfiumCore.smali,N/A
ehsanApp.example.ehsan.clinicalpracticeguidelinecpg.apk,True,ehsanApp.example.ehsan.clinicalpracticeguidelinecpg/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A
androiddeveloperjoe.pickacolornightlightfree.apk,False,androiddeveloperjoe.pickacolornightlightfree/smali/com/samsung/android/sdk/imagefilter/Sif.smali,N/A
org.auanet.Guidelines.apk,False,N/A,Cordova
com.mccalendar.apk,False,N/A,N/A
com.msd.professionalSpanish.apk,False,N/A,N/A
com.medelement.diseases.apk,False,N/A,N/A
com.liberathor.diapason.apk,True,com.liberathor.diapason/smali_classes2/org/sqlite/core/NativeDB.smali,N/A
ru.mobiledimension.kbr.apk,True,ru.mobiledimension.kbr/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.gmail.kinradiology.Navi_Rad_Free.apk,True,com.gmail.kinradiology.Navi_Rad_Free/smali_classes4/com/ansca/corona/JavaToNativeShim.smali,N/A
at.appingo.android.inject.apk,False,N/A,Cordova
b4a.ecgread.apk,False,N/A,N/A
com.minerva_medical.minerva.apk,False,N/A,N/A
com.graphicvizion.visualAnatomyHumanFr.apk,True,com.graphicvizion.visualAnatomyHumanFr/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.twgbd.dims.apk,True,com.twgbd.dims/smali/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.roche.glucichek.apk,True,com.roche.glucichek/smali_classes2/org/appcelerator/titanium/TiVerify.smali,N/A
