Apk name,Native library so file exist,Source file name load library,Platform name
com.songler.descargar.musica.gratis.apk,False,N/A,N/A
com.streema.simpleradio.apk,True,com.streema.simpleradio/smali_classes2/com/mosteknoloji/radiostreams/core/radio/Decoder.smali,N/A
com.download.music.musicmp3pro.apk,False,com.download.music.musicmp3pro/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.mp3downloader.downloadmusic.musicdownloadall.apk,True,com.mp3downloader.downloadmusic.musicdownloadall/smali_classes2/com/tencent/bugly/crashreport/crash/jni/NativeCrashHandler.smali,N/A
com.jn.latinartv.apk,True,com.jn.latinartv/smali_classes2/net/butterflytv/rtmp_client/RtmpClient.smali,N/A
com.autotunevoicechanger.dubsmash.morganfreeman.apk,True,com.autotunevoicechanger.dubsmash.morganfreeman/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
tmf.payate.slo.apk,False,N/A,N/A
com.littlepako.opusplayer3.apk,True,com.littlepako.opusplayer3/smali/com/littlepako/opuslibrary/OpusDecoder.smali,N/A
com.unlimitedmusic.app.freemusic.apk,True,com.unlimitedmusic.app.freemusic/smali/b/f/b/a/e1/j.smali,N/A
com.mrgreensoft.nrg.player.apk,True,com.mrgreensoft.nrg.player/smali/com/ffmpeg/nrg/player/Tag.smali,N/A
deezer.android.app.apk,True,deezer.android.app/smali_classes2/hgd.smali,N/A
com.freedomlabs.tagger.music.tag.editor.apk,False,N/A,N/A
com.stonekick.tempo.apk,True,com.stonekick.tempo/smali/com/stonekick/speedadjuster/superpowered/SPSpeedChanger.smali,N/A
com.djit.apps.stream.apk,True,com.djit.apps.stream/smali_classes2/com/mwm/android/sdk/strangervalues/StrangerValues.smali,N/A
vividmusic.freemusic.gptubeplayer.apk,True,vividmusic.freemusic.gptubeplayer/smali/vividmusic/freemusic/gptubeplayer/MyWrapperProxyApplication.smali,N/A
com.windforce.android.suaraku.apk,True,com.windforce.android.suaraku/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.musicplayer.blackplayerfree.apk,True,com.musicplayer.blackplayerfree/smali/c/b/b/a/r0/k.smali,N/A
com.pioneerdj.WeDJ.apk,True,com.pioneerdj.WeDJ/smali/com/pioneerdj/WeDJ/JuceActivity.smali,N/A
com.kabouzeid.gramophone.apk,False,N/A,N/A
com.ultimateguitar.ugpro.apk,True,com.ultimateguitar.ugpro/smali_classes2/com/google/android/gms/vision/EngineManager.smali,React
com.musicplayer.playermusic.apk,False,N/A,N/A
feniksenia.app.speakerbooster11.apk,False,N/A,N/A
com.voice.music.tone.changer.must.have.apk,True,com.voice.music.tone.changer.must.have/smali/com/tencent/StubShell/TxAppEntry.smali,N/A
com.gameg.samplerdd.apk,False,N/A,N/A
com.flsudiotutos.musicbeat.apk,False,N/A,N/A
grant.opus.to.mp3.apk,True,grant.opus.to.mp3/smali/com/netcompss/loader/LoadJNI.smali,N/A
com.djit.apps.edjing.expert.le.apk,True,com.djit.apps.edjing.expert.le/smali_classes2/com/threatmetrix/TrustDefenderMobile/NativeGatherer$NativeGathererHelper.smali,N/A
com.clogica.mp3cutter.apk,True,com.clogica.mp3cutter/smali/com/clogica/mp3cutter/recording/libnative/lame/Lame.smali,N/A
com.rokaud.audioelementsdemo.apk,True,com.rokaud.audioelementsdemo/smali/com/rokaud/audioelementsdemo/AEHome.smali,N/A
com.search.music.mp3.musicplayer.apk,False,N/A,N/A
com.tteamdev.mp3ringtone.apk,False,N/A,N/A
com.djremix.musicmixer.dj3dmusic.djmixer.apk,True,com.djremix.musicmixer.dj3dmusic.djmixer/smali_classes2/com/mixvibes/crossdj/services/MusicService.smali,N/A
com.stereomatch.voice.changer.gaming.apk,True,com.stereomatch.voice.changer.gaming/smali/org/vinuxproject/sonic/Sonic.smali,N/A
