Apk name,Native library so file exist,Source file name load library,Platform name
com.zinkia.nina.book.apk,True,com.zinkia.nina.book/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
us.FamilyLocating.NumberLocator.apk,False,N/A,N/A
com.haiyuan.shicinaming.apk,True,com.haiyuan.shicinaming/smali/com/tencent/bugly/yaq/crashreport/crash/jni/NativeCrashHandler.smali,N/A
com.hamariweb.android.babynames.apk,False,N/A,N/A
sasha.malysh.com.apk,True,sasha.malysh.com/smali/org/chromium/base/library_loader/Linker.smali,Cordova
by.si.soundsleeper.free.apk,False,N/A,N/A
com.timo.time.apk,True,com.timo.time/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.lab78.BabySootherSEALFree.apk,False,N/A,N/A
com.app.cocuktube.apk,False,N/A,N/A
com.assets.effective.mozartbabysleep.apk,False,com.assets.effective.mozartbabysleep/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
appinventor.ai_giordiberna.SimpleWebviewerJavascriptProcessor.apk,False,N/A,N/A
com.illumine.app.apk,True,com.illumine.app/smali/com/facebook/soloader/SoLoader.smali,N/A
com.lolitacomplementos.shop.apk,False,N/A,Cordova
com.SAO.BabyTime.apk,False,N/A,N/A
apps.konbrand2.BabyCare.apk,False,N/A,N/A
com.diarybunda.apk,True,com.diarybunda/smali/com/facebook/soloader/SoLoader.smali,React
com.kksal55.pregnancydaybyday.apk,False,N/A,N/A
com.facemama.gestograma.apk,False,com.facemama.gestograma/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.avast.android.familyspace.companion.apk,True,com.avast.android.familyspace.companion/smali/f/m/a/g.smali,N/A
com.assets.effective.babyrussian.apk,False,com.assets.effective.babyrussian/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.daycarewebwatch.apk,False,com.daycarewebwatch/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A
com.kozlov.penek35.fen.apk,False,N/A,N/A
com.cittacode.trocandofraldas.apk,False,N/A,N/A
com.AntonBergov.SoundsAll.apk,True,com.AntonBergov.SoundsAll/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.manage.parent.apk,False,N/A,N/A
com.dw.babytime.apk,True,com.dw.babytime/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.unboundapplications.theshortyears.apk,True,com.unboundapplications.theshortyears/smali/android/support/v8/renderscript/RenderScript.smali,Cordova
redstain.bad.blocker.apk,True,redstain.bad.blocker/smali/de/blinkt/openvpn/core/NativeUtils.smali,N/A
br.com.guardian.apk,True,br.com.guardian/smali/mono/MonoPackageManager.smali,Mono
com.bivooo.pregnancymonthbymontharabic.apk,False,N/A,N/A
com.sun.dnjyxl.apk,False,N/A,N/A
org.pbskids.danieltigerforparents.apk,False,org.pbskids.danieltigerforparents/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
me.jiminy.child.apk,True,me.jiminy.child/smali/com/facebook/soloader/SoLoader.smali,React
pl.agora.mojedziecko.apk,True,pl.agora.mojedziecko/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.quis.apk,False,N/A,N/A
com.vss.virtual.pregnant.mom.apk,True,com.vss.virtual.pregnant.mom/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.jamesots.android.contractiontimer.apk,False,N/A,N/A
net.seescope.socialMediaMonitor.apk,True,net.seescope.socialMediaMonitor/smali_classes2/org/whispersystems/curve25519/NativeCurve25519Provider.smali,React
com.amanefactory.totsukitoka.apk,True,com.amanefactory.totsukitoka/smali/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A
com.goodbaby.babycam.apk,True,com.goodbaby.babycam/smali_classes2/org/webrtc/FileVideoCapturer.smali,N/A
au.com.familyzone.apk,True,au.com.familyzone/smali/de/blinkt/openvpn/core/NativeUtils.smali,N/A
kr.co.noldam.noldam.apk,True,kr.co.noldam.noldam/smali/com/facebook/soloader/SoLoader.smali,React
com.cihancil.bebekuyutucu.apk,True,com.cihancil.bebekuyutucu/smali/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React
com.rotation5.smoresup.apk,False,N/A,Cordova
ru.fedr.pregnancy.apk,False,N/A,N/A
com.zdp72.audio.book.fairy.tales.rus1.apk,False,N/A,N/A
com.elffermar.HERBASSS.apk,False,N/A,N/A
com.ourfamilywizard.apk,False,N/A,N/A
com.lenastudio.nuttri.apk,False,N/A,N/A
it.rai.digital.yoyo.apk,True,it.rai.digital.yoyo/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.kidscareapp.apk,True,com.kidscareapp/smali/com/facebook/soloader/SoLoader.smali,React
com.babyfirstgoodnight.apk,True,com.babyfirstgoodnight/smali_classes2/com/facebook/common/soloader/SoLoaderShim$DefaultHandler.smali,React
com.amazon.tahoe.freetime.apk,True,com.amazon.tahoe.freetime/smali/com/facebook/soloader/SoLoader.smali,React
com.fz.funnyslime.apk,False,N/A,N/A
de.wonderkind.puzzleplay.apk,True,de.wonderkind.puzzleplay/smali/com/unity3d/player/UnityPlayer.smali,N/A
jp.co.plusr.android.stepbabyfood.apk,True,jp.co.plusr.android.stepbabyfood/smali/io/realm/internal/RealmCore.smali,N/A
com.andromo.dev825100.app1000591.apk,False,N/A,N/A
com.preemptivetechnologies.daddyup.apk,True,com.preemptivetechnologies.daddyup/smali/io/liteglue/SQLiteConnector.smali,Cordova
com.dreamstudio.babysleepsounds.apk,True,com.dreamstudio.babysleepsounds/smali/org/xiph/vorbis/decoder/VorbisDecoder.smali,N/A
cube.loco.craft.dduto.crafting.exploration.apk,True,cube.loco.craft.dduto.crafting.exploration/smali/com/mojang/minecraftpe/MainActivity.smali,N/A
com.tokyocoldstudio.blockpuzzle.CutePetsCatDog.cubeBlock.apk,True,com.tokyocoldstudio.blockpuzzle.CutePetsCatDog.cubeBlock/smali/org/cocos2dx/lib/Cocos2dxActivity.smali,N/A
com.sarnavsky.pasz.nightlight.apk,False,N/A,N/A
com.koben.thumbs.apk,False,N/A,N/A
org.d1p_kind.st.apk,False,N/A,Cordova
com.loco.craft.adtset.lococraft.creative.maps.apk,True,com.loco.craft.adtset.lococraft.creative.maps/smali/com/mojang/minecraftpe/MainActivity.smali,N/A
mynder.mynder_android2.apk,True,mynder.mynder_android2/smali_classes2/com/instabug/library/internal/storage/Encryptor.smali,N/A
com.skor.app.player.free.apk,False,N/A,N/A
com.aikeeper.bluetoothle.apk,False,N/A,N/A
