Apk name,Native library so file exist,Source file name load library,Platform name
io.faceapp.apk,True,io.faceapp/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.tclhz.gallery.apk,True,com.tclhz.gallery/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.foap.android.apk,True,com.foap.android/smali/com/facebook/soloader/SoLoader.smali,N/A
media.hd.photo.selfie.camera.apk,True,media.hd.photo.selfie.camera/smali/com/lb/library/AndroidUtil.smali,N/A
photoeditorfree.photoeditorpro.photoeditor.apk,False,photoeditorfree.photoeditorpro.photoeditor/smali/com/doozy/image/photolib/PhotoLibV1.smali,N/A
mixerappco.motion.stickers.apk,True,mixerappco.motion.stickers/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.fa.oghgrw.apk,Error,Error,Error
com.lyrebirdstudio.tbt.apk,True,com.lyrebirdstudio.tbt/smali_classes2/c/e/q/b.smali,N/A
com.hodanny.instagrid.apk,False,N/A,N/A
com.camera.s9.camera.apk,True,com.camera.s9.camera/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.pinguo.edit.sdk.apk,True,com.pinguo.edit.sdk/smali/com/pinguo/edit/sdk/MyWrapperProxyApplication.smali,N/A
com.avryphoshp.apk,True,com.avryphoshp/smali/com/aviary/android/feather/headless/utils/CameraUtils.smali,N/A
com.adobe.psmobile.apk,True,com.adobe.psmobile/smali_classes2/com/crashlytics/android/ndk/JniNativeApi.smali,N/A
com.vtcreator.android360.apk,True,com.vtcreator.android360/smali_classes2/pl/droidsonroids/gif/f.smali,N/A
com.Photo.Emoji.Photo.Sticker.Maker.pro.apk,False,N/A,N/A
com.inglesdivino.addtexttophoto.apk,False,N/A,N/A
ru.kdnsoft.android.blendcollage.free.apk,False,N/A,N/A
com.caddish_hedgehog.hedgecam2.apk,False,N/A,N/A
com.tudasoft.android.BeMakeup.apk,True,com.tudasoft.android.BeMakeup/smali/com/tudasoft/android/BeMakeup/AppMain.smali,N/A
com.clicklab.nature.photo.frame.apk,True,com.clicklab.nature.photo.frame/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.camera.note10.camerax.apk,False,com.camera.note10.camerax/smali/com/lemon/faceu/sdk/utils/JniEntry.smali,N/A
com.enchantedcloud.photovault.apk,True,com.enchantedcloud.photovault/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.volio.stickers.heart.crown.camera.photoeditor.apk,True,com.volio.stickers.heart.crown.camera.photoeditor/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.neuralprisma.apk,True,com.neuralprisma/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.lyrebirdstudio.colorizer.lite.apk,True,com.lyrebirdstudio.colorizer.lite/smali_classes2/c/g/o/b.smali,N/A
image.photoedit.photogallery.apk,True,image.photoedit.photogallery/smali/com/lb/library/AndroidUtil.smali,N/A
com.alishroot.photovideomakerwithsong.apk,True,com.alishroot.photovideomakerwithsong/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.falstad.megaphotofree.apk,True,com.falstad.megaphotofree/smali/org/bytedeco/javacpp/Loader.smali,N/A
com.snaptools.auto.background.changer.apk,True,N/A,N/A
com.snaperfect.inframe1.apk,True,com.snaperfect.inframe1/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.owner.glitchee.apk,False,N/A,N/A
com.tj.dslrprofessional.hdcamera.apk,True,com.tj.dslrprofessional.hdcamera/smali/dauroi/photoeditor/blur/NativeBlurProcess.smali,N/A
com.kinteks.xhdcamera.apk,False,N/A,N/A
com.estsoft.picnic.apk,True,com.estsoft.picnic/smali_classes2/org/tensorflow/lite/TensorFlowLite.smali,N/A
com.google.android.apps.photos.apk,True,com.google.android.apps.photos/smali/com/frostwire/jlibtorrent/swig/libtorrent_jni.smali,N/A
com.r22software.fisheyepro.apk,True,com.r22software.fisheyepro/smali/com/r22software/lib/Capture.smali,N/A
dreamphotolab.instamag.photo.collage.maker.grid.apk,True,dreamphotolab.instamag.photo.collage.maker.grid/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
pl.vipek.camera2_compatibility_test.apk,False,N/A,N/A
com.zwp.ggg.apk,Error,Error,Error
com.dumplingsandwich.pencilsketch.apk,True,com.dumplingsandwich.pencilsketch/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.Smart_Studio_Smd.Banramaj_Tarkib_Sowar_Jadid_Barnamaj_Damj_Sowar.apk,True,com.Smart_Studio_Smd.Banramaj_Tarkib_Sowar_Jadid_Barnamaj_Damj_Sowar/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
maa.vaporwave_editor_glitch_vhs_trippy.apk,True,maa.vaporwave_editor_glitch_vhs_trippy/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
