Apk name,Native library so file exist,Source file name load library,Platform name
com.mhn.ponta.apk,True,com.mhn.ponta/smali_classes2/jp/ponta/pgacout/CryptManager.smali,N/A
com.qiwibonus.apk,True,com.qiwibonus/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A
com.galwaykart.apk,True,com.galwaykart/smali/c/b/a/g.smali,N/A
com.marktguru.mg2.de.apk,False,N/A,N/A
com.contextlogic.home.apk,True,com.contextlogic.home/smali_classes2/com/onfido/android/sdk/capture/native_detector/NativeDetector.smali,N/A
com.pozitron.hepsiburada.apk,True,com.pozitron.hepsiburada/smali/com/frostwire/jlibtorrent/swig/libtorrent_jni.smali,N/A
com.mobincube.whaff_rewards.sc_57P67J.apk,False,N/A,N/A
com.fitfully.apk,False,N/A,N/A
com.noon.buyerapp.apk,True,com.noon.buyerapp/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,React
fr.leboncoin.apk,True,fr.leboncoin/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
ua.silpo.android.apk,True,ua.silpo.android/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.chilindo.apk,True,com.chilindo/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.privalia.mex.apk,False,N/A,N/A
com.huawei.global.apk,True,com.huawei.global/smali/com/huawei/secure/android/common/detect/SD.smali,N/A
com.onekyat.app.apk,False,N/A,N/A
br.com.sbf.centauro.apk,False,N/A,N/A
com.appemirates.clubapparel.apk,True,com.appemirates.clubapparel/smali_classes2/net/sourceforge/zbar/Symbol.smali,N/A
ru.beru.android.apk,True,ru.beru.android/smali_classes2/com/yandex/runtime/internal/ReLinker.smali,N/A
de.bonprix.apk,False,N/A,N/A
com.molo.dominos.apk,True,com.molo.dominos/smali_classes2/io/card/payment/CardScanner.smali,N/A
com.lenskart.app.apk,False,N/A,N/A
com.etsy.android.apk,True,com.etsy.android/smali/com/bugsnag/android/ndk/NativeBridge.smali,N/A
com.zegobird.shop.apk,True,com.zegobird.shop/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,React
com.tokopedia.sellerapp.apk,True,com.tokopedia.sellerapp/smali_classes10/net/butterflytv/rtmp_client/RtmpClient.smali,React
com.ibstel.eshop.apk,True,com.ibstel.eshop/smali/io/realm/internal/RealmCore.smali,N/A
com.quikr.apk,True,com.quikr/smali_classes2/com/packetzoom/speed/Session.smali,N/A
com.ua.shop.apk,True,com.ua.shop/smali_classes2/io/card/payment/CardScanner.smali,N/A
www.undostres.com.mx.apk,False,www.undostres.com.mx/smali/com/google/android/gms/vision/EngineManager.smali,N/A
com.supbot.supremebot.apk,True,com.supbot.supremebot/smali/com/facebook/soloader/SoLoader.smali,React
com.dealspure.wild.apk,False,N/A,N/A
com.btechapp.apk,False,N/A,N/A
com.shopee.th.apk,True,com.shopee.th/smali_classes2/com/facebook/soloader/nativeloader/SystemDelegate.smali,React
com.olx.ssa.za.apk,False,N/A,N/A
de.aboutyou.mobile.app.apk,True,de.aboutyou.mobile.app/smali/com/facebook/soloader/SoLoader.smali,React
com.privalia.privalia.apk,False,N/A,N/A
com.usablenet.mobile.walgreen.apk,True,com.usablenet.mobile.walgreen/smali_classes8/fm/icelink/Global.smali,Cordova
com.amazon.windowshop.apk,True,com.amazon.windowshop/smali_classes8/com/amazon/wakeword/SystemLibraryLoader.smali,"React, Cordova"
com.tapgen.featurepoints.apk,False,N/A,N/A
com.dollargeneral.android.apk,False,N/A,N/A
com.flexiplan.droidbd.apk,True,com.flexiplan.droidbd/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A
fr.casino.fidelite.apk,True,fr.casino.fidelite/smali_classes2/e2/o/a/b/e/b/g/a.smali,N/A
com.ithappens.maismateus.apk,True,com.ithappens.maismateus/smali/com/facebook/soloader/SoLoader.smali,React
com.korchix.chineoapp.apk,False,N/A,N/A
com.ruten.android.rutengoods.rutenbid.apk,True,com.ruten.android.rutengoods.rutenbid/smali/com/facebook/soloader/SoLoader.smali,React
com.thehomedepot.apk,True,com.thehomedepot/smali_classes2/com/thehomedepot/maps/InStoreMapNativeActivity.smali,N/A
vip.iqtrivia.android.apk,True,vip.iqtrivia.android/smali_classes2/com/shockwave/pdfium/PdfiumCore.smali,N/A
com.shopee.tw.apk,True,com.shopee.tw/smali_classes2/com/facebook/soloader/nativeloader/SystemDelegate.smali,React
in.amazon.mShop.android.shopping.apk,True,in.amazon.mShop.android.shopping/smali_classes8/com/facebook/soloader/SoLoader.smali,"React, Cordova"
com.bikroy.apk,True,com.bikroy/smali/com/bugsnag/android/AnrPlugin.smali,N/A
com.faberlic.apk,False,N/A,N/A
com.androidrocker.qrscanner.apk,False,com.androidrocker.qrscanner/smali/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
