Apk name,Native library so file exist,Source file name load library,Platform name
com.datemyage.apk,True,com.datemyage/smali_classes2/com/google/vr/ndk/base/GvrApi.smali,N/A
com.yourtravelmates.apk,True,com.yourtravelmates/smali/androidx/renderscript/RenderScript.smali,React
com.chatiw.me.apk,False,N/A,N/A
com.uc.vmlite.apk,True,com.uc.vmlite/smali/com/uc/vmlite/manager/d.smali,N/A
com.dating.android.apk,True,com.dating.android/smali_classes2/com/google/vr/ndk/base/GvrApi.smali,N/A
com.noyesrun.meeff.kr.apk,False,com.noyesrun.meeff.kr/smali/com/tapjoy/Tapjoy.smali,N/A
com.instagram.threadsapp.apk,True,com.instagram.threadsapp/smali_classes2/X/4q0.smali,React
com.tubebuddy.tubebuddy_mobile.apk,True,com.tubebuddy.tubebuddy_mobile/smali/mono/MonoPackageManager.smali,Mono
com.snapchat.android.apk,True,com.snapchat.android/smali_classes5/jep.smali,N/A
sami.pro.rendomchat.apk,False,N/A,N/A
messenger.pro.messenger.apk,True,messenger.pro.messenger/smali_classes2/pl/droidsonroids/gif/q10.smali,N/A
com.opengarden.firechat.apk,True,com.opengarden.firechat/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,React
com.ashabe.www.apk,True,com.ashabe.www/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,React
bigprofilephoto.bigprofilepicture.apk,False,N/A,N/A
com.beakerapps.qeek.apk,True,com.beakerapps.qeek/smali/io/realm/internal/RealmCore.smali,N/A
com.empireth.instagramfollowback.apk,True,com.empireth.instagramfollowback/smali/com/facebook/soloader/SoLoader.smali,React
com.kimcy929.hashtags.apk,False,N/A,N/A
app.buzz.share.apk,True,app.buzz.share/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.sntown.messengerpal.apk,False,N/A,Cordova
sg.omi.apk,True,sg.omi/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.herzick.houseparty.apk,True,com.herzick.houseparty/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,N/A
hfast.facebook.lite.apk,False,N/A,N/A
ir.nasim.apk,True,ir.nasim/smali_classes2/org/tensorflow/lite/TensorFlowLite.smali,N/A
com.meetup.apk,False,N/A,N/A
com.p1.mobile.putong.apk,Error,Error,Error
com.globfone.messenger.apk,False,N/A,N/A
com.adam4adam.radar2.ui.apk,True,com.adam4adam.radar2.ui/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.getsamosa.apk,True,com.getsamosa/smali/com/inka/appsealing/Covault.smali,React
com.videodownloader.darkmode.apk,True,com.videodownloader.darkmode/smali/com/videodownloader/darkmode/Secure.smali,N/A
com.amberfog.vkfree.apk,True,com.amberfog.vkfree/smali_classes2/top/oply/opuslib/OpusTool.smali,N/A
us.VirtualAssistant.VirtualGirl2.apk,False,N/A,N/A
im.kumu.ph.apk,True,im.kumu.ph/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
com.kikitime.app.apk,True,com.kikitime.app/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,Cordova
com.likee.video.downloader.like.apk,False,N/A,N/A
com.imvu.mobilecordova.apk,True,com.imvu.mobilecordova/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
cool.f3.apk,True,cool.f3/smali_classes2/com/snapchat/kit/sdk/core/security/Fingerprint.smali,N/A
com.getaction.apk,True,com.getaction/smali/io/realm/internal/RealmCore.smali,N/A
com.finchmil.thtclub.apk,True,com.finchmil.thtclub/smali_classes2/com/yandex/metrica/impl/NativeCrashesHelper.smali,N/A
com.tangerine.live.cake.apk,True,com.tangerine.live.cake/smali/com/stub/StubApp.smali,N/A
com.simple.tok.apk,True,com.simple.tok/smali/com/stub/StubApp.smali,N/A
ve.jmtsolutiontechnologyca.veqr.apk,False,ve.jmtsolutiontechnologyca.veqr/smali/com/google/android/gms/vision/EngineManager.smali,N/A
org.thunderdog.challegram.apk,True,org.thunderdog.challegram/smali/d/b/a/e.smali,N/A
com.facebook.lite.apk,True,com.facebook.lite/smali/X/02C.smali,N/A
com.infiniti.kalimat.apk,False,N/A,N/A
com.myyearbook.m.apk,True,com.myyearbook.m/smali/androidx/renderscript/RenderScript.smali,N/A
com.stackwares.android.storysaver.facebook.apk,True,com.stackwares.android.storysaver.facebook/smali/io/flutter/embedding/engine/loader/FlutterLoader.smali,Flutter
com.hi5.app.apk,True,com.hi5.app/smali/com/faceunity/wrapper/faceunity.smali,N/A
com.matchtech.solive.apk,True,com.matchtech.solive/smali_classes2/com/mintegral/msdk/mtgdownload/a.smali,N/A
com.jaumo.lesbian.apk,True,com.jaumo.lesbian/smali/com/facebook/soloader/SoLoader.smali,N/A
net.wtsplus.frolic.apk,True,net.wtsplus.frolic/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.vk.im.apk,True,com.vk.im/smali_classes5/ru/mail/voip2/LibLoader2.smali,N/A
com.blued.international.apk,True,com.blued.international/smali_classes2/com/blued/international/ui/home/SoLosingWarningFragment.smali,N/A
com.vicinfotech.vicappmarket.appmarket.apk,False,N/A,N/A
in.isunny.antidelete.apk,False,N/A,N/A
io.walkietalkie.apk,True,io.walkietalkie/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,N/A
com.narvii.amino.x102292403.apk,True,com.narvii.amino.x102292403/smali_classes2/com/narvii/chat/audio/Resampler.smali,N/A
app.follow.unfollow.apk,True,app.follow.unfollow/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.status.saver.free.mwa.apk,False,N/A,N/A
io.friendly.apk,True,io.friendly/smali_classes2/io/realm/internal/RealmCore.smali,N/A
mozat.rings.loops.apk,True,mozat.rings.loops/smali_classes2/com/zego/zegoliveroom/ZegoLiveRoomJNI.smali,N/A
ro.novasoft.cleanerig.apk,True,ro.novasoft.cleanerig/smali/net/sqlcipher/database/SQLiteDatabase$1.smali,N/A
sg.bigo.live.lite.apk,True,sg.bigo.live.lite/smali/sg/bigo/common/ae.smali,N/A
com.redcactus.repost.apk,False,N/A,N/A
com.naseemprojects.audiostatusmaker.apk,True,com.naseemprojects.audiostatusmaker/smali/com/facebook/soloader/SoLoader.smali,N/A
com.weheartit.apk,True,com.weheartit/smali_classes2/com/weheartit/upload/v2/PostActivity2.smali,N/A
com.instagram.igtv.apk,True,com.instagram.igtv/smali_classes2/org/webrtc/NativeLibrary$DefaultLoader.smali,React
io.keybase.ossifrage.apk,True,io.keybase.ossifrage/smali/go/LoadJNI.smali,React
com.asia.asiatube.apk,False,N/A,N/A
