Apk name,Native library so file exist,Source file name load library,Platform name
confirmbets.com.footballpredictions.apk,False,N/A,N/A
com.winjii.mobiscore.apk,True,com.winjii.mobiscore/smali_classes2/com/google/android/play/core/splitinstall/SplitInstallHelper.smali,N/A
com.infogol.www.apk,False,N/A,Cordova
com.scores365.apk,False,N/A,N/A
com.fubo.firetv.screen.apk,True,com.fubo.firetv.screen/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
game.wonder.sports.indoor.futsal.apk,True,game.wonder.sports.indoor.futsal/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.fdj.parionssport.apk,True,com.fdj.parionssport/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.nestsport.tournament.apk,False,N/A,N/A
com.padcmyanmar.goldengoal.apk,False,N/A,N/A
com.dream.siapsiapsiapsipapanenrayasekalikuat.apk,False,N/A,N/A
com.gluak.f24.apk,True,com.gluak.f24/smali/com/facebook/soloader/SoLoader.smali,N/A
english.premier.live.apk,False,english.premier.live/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.clansoft.tacticalpadintlite.apk,True,com.clansoft.tacticalpadintlite/smali/com/unity3d/player/UnityPlayer.smali,N/A
app.arabiaseo.koraonline2.com.apk,False,N/A,Cordova
pes2019.guide19.socooeryen.apk,False,N/A,N/A
com.ideastek.esporteinterativo3.apk,True,com.ideastek.esporteinterativo3/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.raysoft.vipbettingtipsexpertprediction.apk,False,N/A,N/A
eu.livesport.CanliSkor_com.apk,False,N/A,N/A
com.betmines.apk,False,N/A,N/A
com.gregacucnik.fishingpoints.apk,True,N/A,N/A
holoduke.soccer_gen.apk,False,N/A,N/A
com.nhl.gc1112.free.apk,True,com.nhl.gc1112.free/smali_classes2/com/sun/jna/Native.smali,N/A
com.kokteyl.goal.apk,True,com.kokteyl.goal/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.prodesignr.betkingmobile.apk,False,com.prodesignr.betkingmobile/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.mobile.afootballreport.apk,False,N/A,N/A
com.dslnsports.appfreetips.apk,False,N/A,N/A
es.lfp.laligatv.apk,False,N/A,N/A
com.bet007.mobile.score.d.apk,True,com.bet007.mobile.score.d/smali/com/stub/StubApp.smali,N/A
com.elaralykapps.findmiband.apk,False,N/A,N/A
com.rivalesoft.bettingtips.apk,False,com.rivalesoft.bettingtips/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.oplay.football.apk,False,N/A,N/A
com.ionicframework.elbotola609035.apk,True,com.ionicframework.elbotola609035/smali/com/crashlytics/android/ndk/JniNativeApi.smali,Cordova
com.bangoo.sportsmyanmar.apk,False,N/A,N/A
com.neulion.smartphone.ufc.android.apk,True,com.neulion.smartphone.ufc.android/smali_classes2/io/realm/internal/RealmCore.smali,React
com.pandads.livescore.apk,True,com.pandads.livescore/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A
king.ofcorrectscores.apk,True,king.ofcorrectscores/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.paninidigitalinc.fifatrader.apk,True,com.paninidigitalinc.fifatrader/smali/com/adcolony/sdk/l.smali,N/A
com.july.cricinfo.apk,True,com.july.cricinfo/smali/com/espn/flatbuffer/parsing/utils/FBParserHelper.smali,N/A
com.mitsoftwares.newappbancaapostas.apk,False,N/A,N/A
com.lmgoing.lmfootball.apk,False,com.lmgoing.lmfootball/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.bettingtips.bettingunionsport.apk,False,N/A,N/A
com.mcentric.mcclient.MyMadrid.apk,True,com.mcentric.mcclient.MyMadrid/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.softpauer.f1timingapp2014.basic.apk,True,com.softpauer.f1timingapp2014.basic/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,React
com.app.cricketapp.apk,True,com.app.cricketapp/smali_classes3/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.wallpapers.football.players.apk,False,N/A,N/A
com.futbin.apk,True,N/A,N/A
com.pl.premierleague.apk,True,com.pl.premierleague/smali/com/digimarc/dms/internal/readers/imagereader/ReaderDigimarc.smali,N/A
com.allfootball.manchester.united.news.apk,True,com.allfootball.manchester.united.news/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
eu.livesport.MyScore_ru.apk,False,N/A,N/A
com.ifg.soccergames.soccerball.footballchampionship.apk,True,com.ifg.soccergames.soccerball.footballchampionship/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.bskyb.sportnews.international.apk,True,com.bskyb.sportnews.international/smali/com/sky/vault/cipher/KeyManager.smali,N/A
com.esportesbr.app.apk,False,com.esportesbr.app/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.Nova.Peshub20.apk,True,com.Nova.Peshub20/smali/com/unity3d/player/UnityPlayer.smali,N/A
bbc.mobile.sport.ww.apk,True,bbc.mobile.sport.ww/smali/com/comscore/utils/cpp/CppJavaBinder.smali,N/A
com.intigral.splive.apk,False,com.intigral.splive/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.hdstream.game.free.nba.basketball.apk,False,N/A,N/A
com.Nova.CompletePES.apk,True,com.Nova.CompletePES/smali/com/unity3d/player/UnityPlayer.smali,N/A
com.manutd.mutv.apk,True,com.manutd.mutv/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
app.excellencejerseys.kitserverr.apk,False,N/A,N/A
ptv.bein.ui.apk,True,ptv.bein.ui/smali_classes2/com/labgency/splayer/LgySDRMPlayer.smali,N/A
com.rogiestudio.naijajabet.apk,True,com.rogiestudio.naijajabet/smali/android/support/v8/renderscript/RenderScript.smali,N/A
com.bskyb.fbscore.apk,False,N/A,N/A
com.devclev.forebet.apk,False,N/A,N/A
it.sportube.sportube.apk,True,it.sportube.sportube/smali/com/facebook/crypto/util/SystemNativeCryptoLibrary.smali,N/A
net.appquick.maker.android5a7ed6e959d3d.apk,True,net.appquick.maker.android5a7ed6e959d3d/smali/io/realm/internal/RealmCore.smali,Cordova
com.softmedya.footballprediction.apk,False,N/A,N/A
kr.co.psynet.apk,True,kr.co.psynet/smali/com/jbtechads/JbTechFunc.smali,N/A
com.supersport.android.phone.apk,True,com.supersport.android.phone/smali_classes2/io/realm/internal/RealmCore.smali,N/A
com.app.app0216969dea2e.apk,True,com.app.app0216969dea2e/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,Cordova
com.gc.teammanager.apk,True,com.gc.teammanager/smali_classes2/i/f/a/e.smali,N/A
go.day.liveresult.apk,False,N/A,N/A
com.sfr.android.sfrsport.apk,True,com.sfr.android.sfrsport/smali_classes3/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.sbweb.worldcupjersey.apk,False,N/A,N/A
euro.pccw.view.apk,True,euro.pccw.view/smali_classes2/com/pccw/nowtv/nmaf/nowID/NMAFnowID.smali,N/A
com.turkcell.gollercepte1903.apk,True,com.turkcell.gollercepte1903/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.juventus.app.android.apk,True,com.juventus.app.android/smali_classes2/org/webrtc/Metrics.smali,N/A
com.exatools.skitracker.apk,False,N/A,N/A
hsp.developers.hsplivecwc19.apk,False,N/A,N/A
com.great.betting.tips.apk,False,N/A,N/A
com.alternativebettingtips.apk,False,N/A,N/A
com.handmark.sportcaster.apk,True,com.handmark.sportcaster/smali_classes2/com/comscore/util/setup/Setup.smali,N/A
com.elbotola.apk,False,com.elbotola/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.guigoevo.guideforpes2020.apk,False,N/A,N/A
com.Tobit.android.Slitte7241313298.apk,False,com.Tobit.android.Slitte7241313298/smali_classes2/com/google/android/gms/vision/EngineManager.smali,N/A
com.dido.matche.apk,True,com.dido.matche/smali/pl/droidsonroids/gif/LibraryLoader.smali,N/A
com.paninidigitalinc.nbadunk.apk,True,com.paninidigitalinc.nbadunk/smali/com/adcolony/sdk/l.smali,N/A
com.dazn.apk,True,com.dazn/smali_classes2/com/threatmetrix/TrustDefender/internal/VW.smali,N/A
com.ronalo.sportstv.apk,True,com.ronalo.sportstv/smali/com/ronalo/sportstv/DataModelWrapper.smali,N/A
com.bluelinden.coachboard.apk,False,N/A,N/A
au.com.kayosports.apk,False,au.com.kayosports/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.planetumcodes.jogadores.apk,True,com.planetumcodes.jogadores/smali/com/facebook/soloader/SoLoader.smali,N/A
com.pronosoft.livescore.apk,False,N/A,N/A
juv.cristianoronaldo.cr7wallpapers.apk,False,N/A,N/A
ma.halfdroid.football.apk,True,ma.halfdroid.football/smali/org/chromium/base/library_loader/Linker.smali,N/A
com.fanduel.android.self.apk,True,com.fanduel.android.self/smali/com/facebook/soloader/SoLoader.smali,React
com.livescore.apk,False,N/A,N/A
pl.tvp.tvp_sport.apk,False,N/A,Cordova
com.evolutio.sporteventz.apk,False,N/A,N/A
eu.livesport.FlashScore_ge.apk,False,N/A,N/A
com.mapbile.karatewkf.apk,False,N/A,N/A
com.funngage.funngage.apk,True,com.funngage.funngage/smali_classes2/pl/droidsonroids/gif/h.smali,N/A
com.bskyb.boxoffice.apk,True,com.bskyb.boxoffice/smali/android/support/v8/renderscript/RenderScript.smali,React
me.tipster.vip.apk,True,me.tipster.vip/smali/mono/MonoPackageManager.smali,Mono
com.dream.dls.league.kit.mod.apk,False,N/A,N/A
net.footmercato.mobile.apk,True,net.footmercato.mobile/smali/com/facebook/soloader/SoLoader.smali,React
com.tuttur.iddaaMacSonuclari.apk,False,N/A,N/A
com.tribuna.fcbarcelona.apk,False,com.tribuna.fcbarcelona/smali_classes2/com/yandex/metrica/impl/ac/NativeCrashesHelper.smali,N/A
com.amgadlive.apk,True,com.amgadlive/smali/com/facebook/soloader/SoLoader.smali,N/A
com.Yalla_shoot_7.app.apk,False,N/A,N/A
com.hiba.supertipsbet.apk,False,N/A,N/A
com.codehaha.football.apk,False,N/A,N/A
com.infinitysports.manchesterunitedfansclub.apk,False,com.infinitysports.manchesterunitedfansclub/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
