Apk name,Native library so file exist,Source file name load library,Platform name
com.blacklion.browser.apk,False,com.blacklion.browser/smali/com/tencent/bugly/crashreport/crash/jni/NativeCrashHandler.smali,N/A
com.gamesoft.handsfreeyoutube.apk,False,N/A,N/A
com.gotit.gotitiptvbox.apk,True,com.gotit.gotitiptvbox/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
com.nathnetwork.dreamott.apk,True,com.nathnetwork.dreamott/smali/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
com.zenjoy.musicvideo.apk,True,com.zenjoy.musicvideo/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.zentertain.videoeditor.apk,True,com.zentertain.videoeditor/smali_classes2/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
com.mp4video.downloader.free.apk,True,com.mp4video.downloader.free/smali_classes2/freenet/support/CPUInformation/CPUID.smali,N/A
com.alivestory.android.alive.apk,True,com.alivestory.android.alive/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.vuclip.android.apk,True,com.vuclip.android/smali/com/nexstreaming/httpretrievestoresample/HTTPRetrieveDataManager.smali,N/A
free.video.downloader.freevideodownloader.apk,True,N/A,N/A
com.google.android.apps.youtube.mango.apk,True,com.google.android.apps.youtube.mango/smali_classes2/org/chromium/net/impl/CronetLibraryLoader.smali,N/A
com.hikvision.hikconnect.apk,True,com.hikvision.hikconnect/smali_classes2/com/hikvision/audio/AudioCodec.smali,React
com.vaultmicro.camerafi.apk,True,N/A,N/A
facebookvideodownloader.videodownloaderforfacebook.apk,True,facebookvideodownloader.videodownloaderforfacebook/smali_classes2/com/zj/lib/zoe/ZoeUtils.smali,N/A
hd.video.downloader.app.hdvideodownloaderapp.apk,False,N/A,N/A
kts.hide.video.apk,False,N/A,N/A
tikmate.tiktokvideodownloader.savetiktokvideo.nowatermark.apk,False,tikmate.tiktokvideodownloader.savetiktokvideo.nowatermark/smali/polaris/player/videoplayer/player/PolarisMediaPlayer$1.smali,N/A
online.video.hd.videoplayer.apk,True,online.video.hd.videoplayer/smali/com/lb/library/AndroidUtil.smali,N/A
videoeditor.vlogeditor.youtubevlog.vlogstar.apk,True,videoeditor.vlogeditor.youtubevlog.vlogstar/smali_classes2/pl/droidsonroids/gif/q.smali,N/A
com.jb.screenrecorder.screen.record.video.apk,True,com.jb.screenrecorder.screen.record.video/smali_classes2/pl/droidsonroids/gif/LibraryLoader.smali,N/A
mobisocial.arcade.apk,True,mobisocial.arcade/smali_classes2/mobisocial/arcade/sdk/util/Mineshaft.smali,N/A
newyearphoto.diwalimoviemaker.apk,False,N/A,N/A
video.downloader.videodownloader.apk,True,video.downloader.videodownloader/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A
com.net.iptv.apk,True,com.net.iptv/smali/org/videolan/libvlc/LibVLC.smali,N/A
com.giphy.messenger.apk,True,com.giphy.messenger/smali_classes2/pl/droidsonroids/gif/o.smali,N/A
video.player.mediaplayer.hdvideoplayer.apk,True,video.player.mediaplayer.hdvideoplayer/smali/com/lb/library/AndroidUtil.smali,N/A
com.koushikdutta.cast.apk,False,N/A,N/A
com.shenyaocn.android.usbcamera.apk,True,com.shenyaocn.android.usbcamera/smali/com/serenegiant/usb/UVCCamera.smali,N/A
com.snowwhiteapps.downloader.apk,False,N/A,N/A
com.PICCHAT.RecScreenRecorder.apk,True,com.PICCHAT.RecScreenRecorder/smali_classes2/com/yalantis/ucrop/task/BitmapCropTask.smali,N/A
com.screenrecorder.recorder.editor.apk,True,com.screenrecorder.recorder.editor/smali_classes2/pl/droidsonroids/gif/g.smali,N/A
com.redbox.tv.apk,False,N/A,N/A
com.music.videosmaker.editor.photos.apk,False,com.music.videosmaker.editor.photos/smali/jp/co/cyberagent/android/gpuimage/GPUImageNativeLibrary.smali,N/A
co.triller.droid.apk,True,co.triller.droid/smali_classes2/com/waynejo/androidndkgif/GifEncoder.smali,N/A
com.stupeflix.replay.apk,True,com.stupeflix.replay/smali/com/crashlytics/android/ndk/JniNativeApi.smali,N/A
com.nightdroid.daydroidppgop.apk,False,N/A,N/A
com.lgremote.view.apk,False,N/A,N/A
com.mad.videovk.apk,False,com.mad.videovk/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
jaineel.videoconvertor.apk,True,jaineel.videoconvertor/smali/com/arthenica/mobileffmpeg/Config.smali,N/A
com.clogica.videoeditor.apk,True,com.clogica.videoeditor/smali/com/clogica/fmpegmediaconverter/ffmpeg/archextractor/NativeLoader.smali,N/A
videoeditor.videorecorder.screenrecorder.apk,True,videoeditor.videorecorder.screenrecorder/smali/com/zjlib/permissionguide/utils/DataUtils.smali,N/A
com.app.player.lts.apk,False,N/A,N/A
com.novaiptv.novaiptviptvbox.apk,True,com.novaiptv.novaiptviptvbox/smali_classes2/tv/danmaku/ijk/media/player/IjkMediaPlayer$1.smali,N/A
com.aesoftware.tubio.apk,True,com.aesoftware.tubio/smali_classes2/org/chromium/base/library_loader/Linker.smali,N/A
com.mobilemotion.dubsmash.apk,True,com.mobilemotion.dubsmash/smali_classes2/pl/droidsonroids/gif/h.smali,N/A
