Apk name,Native library so file exist,Source file name load library,Platform name
com.handmark.expressweather.apk,False,com.handmark.expressweather/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.ntech.weather.free.apk,False,N/A,N/A
ovh.sauzanaprod.meteomadagascar.apk,False,ovh.sauzanaprod.meteomadagascar/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.kiwiapple.taiwansuperweather.apk,True,com.kiwiapple.taiwansuperweather/smali/android/support/v8/renderscript/RenderScript.smali,N/A
webfreak.si.rainradar.apk,False,N/A,N/A
com.aqamob.weatherclimateforecast.apk,False,N/A,N/A
mobi.infolife.ezweather.widget.batteryandclock.apk,True,mobi.infolife.ezweather.widget.batteryandclock/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.snowthority.apk,True,com.snowthority/smali/com/facebook/soloader/SoLoader.smali,React
com.williamking.whattheforecast.apk,False,N/A,N/A
com.PYOPYO.SunMoonTracker.apk,True,com.PYOPYO.SunMoonTracker/smali/jp/co/agoop/networkconnectivity/lib/alphsspeed/SpmsTools.smali,N/A
com.kurdishdeveloper.Weather.apk,False,N/A,N/A
mobi.infolife.ezweather.widget.clock.liveweather.apk,False,mobi.infolife.ezweather.widget.clock.liveweather/smali_classes2/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
hu.idokep.idokep.apk,True,hu.idokep.idokep/smali/com/google/android/exoplayer2/util/LibraryLoader.smali,N/A
com.kytv.android.weather.apk,True,com.kytv.android.weather/smali_classes2/com/weather/pangea/mapbox/custom/MapboxLibraryLoader.smali,N/A
de.dwd.warnapp.apk,True,de.dwd.warnapp/smali/de/dwd/warnapp/DwdApplication.smali,N/A
com.telekom.wetterinfo.apk,False,N/A,N/A
weather.alert.storm.radar.apk,True,weather.alert.storm.radar/smali/com/stub/StubApp.smali,N/A
com.cmgdigital.android.kokiweather.apk,True,com.cmgdigital.android.kokiweather/smali_classes2/com/weather/pangea/mapbox/custom/MapboxLibraryLoader.smali,N/A
weather.forecast.live.weather.apk,True,weather.forecast.live.weather/smali/com/lb/library/AndroidUtil.smali,N/A
de.hochwasserzentralen.app.apk,False,N/A,Cordova
com.vultosoft.mozweather.apk,False,N/A,N/A
com.dtston.ambienttoolplus.apk,False,N/A,N/A
com.macropinch.swan.apk,False,N/A,N/A
com.gau.go.launcherex.gowidget.weatherwidget.apk,True,com.gau.go.launcherex.gowidget.weatherwidget/smali_classes2/com/jiubang/commerce/dyload/core/SystemProxy.smali,N/A
com.voyagegames.weatherroute.apk,False,N/A,N/A
weather.forecast.live.update.radar.clock.apk,False,N/A,N/A
